k,lambda,delta_eig,tier_eig
0,276.03,-4.10868,relevant
1,38.7674,-1.27677,relevant
2,17.2044,-0.104708,relevant
3,-15.8983,nan,n/a
4,-23.7161,nan,n/a
5,null,null,n/a
