#,M_ab(b=4)
row\col,JJ,divJ2,curlJ2,JdotDivJ,J4,stateSq
JJ,254.359,-10.5638,-167.708,252.867,37.9861,nan
divJ2,0.0353416,8.92395,0.36412,19.3081,-0.734341,nan
curlJ2,0.699384,675.592,0.232862,-76.6688,-26.2142,nan
JdotDivJ,-0.0412392,-29.1499,-0.424059,-2.29881,1.07714,nan
J4,-1204.98,1937.7,-1159.8,2813.36,65318.2,nan
stateSq,nan,nan,nan,nan,nan,nan
