k,lambda,delta_eig,tier_eig
0,255.886,-3.99936,relevant
1,27.3993,-0.776067,relevant
2,16.4101,-0.0365163,relevant
3,2.36325,2.75923,relevant
4,-18.7965,nan,n/a
5,null,null,n/a
