tick,L,b,e_flux,v_coupling,total_q,total_sq,reaction_l1
1039,32,1,496365,111.554,-331,27837,3624
1039,32,2,194208,169.159,-331,90885,2090
1039,32,4,96759.4,81.2869,-331,535551,866
1040,32,1,493922,-67.4208,-393,27863,3466
1040,32,2,194049,-5.1907,-393,91549,2104
1040,32,4,96637.1,4.23604,-393,540295,826
1041,32,1,493169,80.1569,-368,27858,3633
1041,32,2,193210,119.737,-368,91836,2133
1041,32,4,96529,89.932,-368,542238,873
1042,32,1,494325,35.3598,-287,27795,3581
1042,32,2,193011,51.3609,-287,91763,2097
1042,32,4,96557.5,31.3985,-287,538645,823
1043,32,1,492202,102.564,-249,27857,3492
1043,32,2,192925,122.887,-249,91327,2056
1043,32,4,97160.7,139.649,-249,535989,804
1044,32,1,490942,-91.241,-235,27805,3508
1044,32,2,192443,-26.8398,-235,91167,2082
1044,32,4,97043,59.7771,-235,537829,816
1045,32,1,491947,110.729,-314,27928,3543
1045,32,2,192680,-18.3,-314,92424,2049
1045,32,4,96934.7,-57.3587,-314,544790,867
1046,32,1,490587,138.064,-260,27770,3626
1046,32,2,192046,-14.0735,-260,92630,2118
1046,32,4,97286.5,-90.3769,-260,546728,874
1047,32,1,489966,-39.3153,-235,27935,3437
1047,32,2,191476,42.0414,-235,92611,2011
1047,32,4,97535.7,145.242,-235,545793,843
1048,32,1,485782,76.8827,-225,27905,3480
1048,32,2,190746,5.52097,-225,92519,2034
1048,32,4,97070.3,63.4951,-225,546585,816
1049,32,1,483268,124.047,-213,27903,3450
1049,32,2,190015,-18.7973,-213,92351,2076
1049,32,4,97018.2,1.48718,-213,546305,810
1050,32,1,484565,65.6059,-167,27857,3430
1050,32,2,190165,113.108,-167,92401,2020
1050,32,4,98010.6,72.2365,-167,547949,852
1051,32,1,484813,12.379,-155,27891,3460
1051,32,2,190411,77.2451,-155,92015,2074
1051,32,4,98211.4,154.862,-155,544827,870
1052,32,1,483984,18.1582,-87,27881,3490
1052,32,2,190728,67.6282,-87,92359,2046
1052,32,4,98652.1,97.5926,-87,546965,776
1053,32,1,486986,78.6016,-96,27794,3541
1053,32,2,191548,16.1296,-96,92016,2081
1053,32,4,98934.5,-2.26412,-96,548466,807
1054,32,1,488955,101.127,-97,27803,3429
1054,32,2,192071,131.376,-97,92323,2033
1054,32,4,98816,160.644,-97,545515,815
1055,32,1,488770,96.5359,-124,27810,3507
1055,32,2,192124,-21.0814,-124,92496,2067
1055,32,4,99015.8,47.9151,-124,541470,847
1056,32,1,490428,50.9588,-60,27804,3546
1056,32,2,192345,95.6754,-60,93222,2124
1056,32,4,99456.8,174.046,-60,542892,894
1057,32,1,489653,179.583,-115,27923,3437
1057,32,2,191848,124.259,-115,94045,2067
1057,32,4,99408.3,177.334,-115,545753,827
1058,32,1,490606,126.314,-49,27919,3596
1058,32,2,192126,186.927,-49,93637,2156
1058,32,4,98982.7,149.054,-49,549061,840
1059,32,1,490106,185.613,-19,27937,3340
1059,32,2,192434,94.3284,-19,93277,2002
1059,32,4,99696.7,82.2191,-19,544519,814
1060,32,1,492915,101.091,-13,28039,3360
1060,32,2,193057,148.531,-13,92929,2004
1060,32,4,100064,-31.0197,-13,543181,864
