k,lambda,delta_eig,tier_eig
0,278.243,-4.1202,relevant
1,40.0696,-1.32444,relevant
2,17.0895,-0.0950356,relevant
3,-18.3006,nan,n/a
4,-24.4854,nan,n/a
5,null,null,n/a
