backend,L,orientation,direction,stage,tick,transported_events,annihilation_pairs,reaction_sites,reaction_l1,current_l1,transport_residual,curl_l1,curl_divergence,gauss_residual,total_state,radius,boundary_flux,divergence_sum,telescope_residual,plateau,valid
wsl2_gcc_cpu,32,1,+x,moving,1,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,1.1102230246251565e-16,0,2,0.99999999999999989,1,-1.1102230246251565e-16,0,1
wsl2_gcc_cpu,32,1,+x,moving,1,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,1.1102230246251565e-16,0,3,0.99999999999999989,1,-1.1102230246251565e-16,0,1
wsl2_gcc_cpu,32,1,+x,moving,1,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,1.1102230246251565e-16,0,4,0.99999999999999989,1,-1.1102230246251565e-16,0,1
wsl2_gcc_cpu,32,1,+x,moving,2,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,3.3306690738754696e-16,0,2,0.99999999999999978,0.99999999999999967,1.1102230246251565e-16,0,1
wsl2_gcc_cpu,32,1,+x,moving,2,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,3.3306690738754696e-16,0,3,0.99999999999999978,0.99999999999999967,1.1102230246251565e-16,0,1
wsl2_gcc_cpu,32,1,+x,moving,2,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,3.3306690738754696e-16,0,4,0.99999999999999978,0.99999999999999967,1.1102230246251565e-16,0,1
wsl2_gcc_cpu,32,1,+x,moving,3,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,2.2204460492503131e-16,0,2,0.99999999999999978,0.99999999999999978,0,0,1
wsl2_gcc_cpu,32,1,+x,moving,3,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,2.2204460492503131e-16,0,3,0.99999999999999978,0.99999999999999978,0,0,1
wsl2_gcc_cpu,32,1,+x,moving,3,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,2.2204460492503131e-16,0,4,0.99999999999999978,0.99999999999999978,0,0,1
wsl2_gcc_cpu,32,1,+x,moving,4,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,3.3306690738754696e-16,0,2,0.99999999999999967,0.99999999999999956,1.1102230246251565e-16,0,1
wsl2_gcc_cpu,32,1,+x,moving,4,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,3.3306690738754696e-16,0,3,0.99999999999999967,0.99999999999999956,1.1102230246251565e-16,0,1
wsl2_gcc_cpu,32,1,+x,moving,4,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,3.3306690738754696e-16,0,4,0.99999999999999967,0.99999999999999956,1.1102230246251565e-16,0,1
wsl2_gcc_cpu,32,1,+x,moving,5,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,4.4408920985006262e-16,0,2,0.99999999999999956,0.99999999999999967,-1.1102230246251565e-16,0,1
wsl2_gcc_cpu,32,1,+x,moving,5,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,4.4408920985006262e-16,0,3,0.99999999999999956,0.99999999999999967,-1.1102230246251565e-16,0,1
wsl2_gcc_cpu,32,1,+x,moving,5,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,4.4408920985006262e-16,0,4,0.99999999999999956,0.99999999999999967,-1.1102230246251565e-16,0,1
wsl2_gcc_cpu,32,1,+x,moving,6,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,5.5511151231257827e-16,0,2,0.99999999999999944,0.99999999999999933,1.1102230246251565e-16,0,1
wsl2_gcc_cpu,32,1,+x,moving,6,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,5.5511151231257827e-16,0,3,0.99999999999999944,0.99999999999999933,1.1102230246251565e-16,0,1
wsl2_gcc_cpu,32,1,+x,moving,6,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,5.5511151231257827e-16,0,4,0.99999999999999944,0.99999999999999933,1.1102230246251565e-16,0,1
wsl2_gcc_cpu,32,1,+x,moving,7,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,6.6613381477509392e-16,0,2,0.99999999999999956,0.99999999999999967,-1.1102230246251565e-16,2.2204460492503131e-16,1
wsl2_gcc_cpu,32,1,+x,moving,7,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,6.6613381477509392e-16,0,3,0.99999999999999933,0.99999999999999944,-1.1102230246251565e-16,2.2204460492503131e-16,1
wsl2_gcc_cpu,32,1,+x,moving,7,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,6.6613381477509392e-16,0,4,0.99999999999999933,0.99999999999999944,-1.1102230246251565e-16,2.2204460492503131e-16,1
wsl2_gcc_cpu,32,1,+x,moving,8,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,7.7715611723760958e-16,0,2,0.99999999999999967,0.99999999999999967,0,3.3306690738754696e-16,1
wsl2_gcc_cpu,32,1,+x,moving,8,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,7.7715611723760958e-16,0,3,0.99999999999999944,0.99999999999999944,0,3.3306690738754696e-16,1
wsl2_gcc_cpu,32,1,+x,moving,8,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,7.7715611723760958e-16,0,4,0.99999999999999933,0.99999999999999922,1.1102230246251565e-16,3.3306690738754696e-16,1
wsl2_gcc_cpu,32,1,+x,moving,9,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,7.7715611723760958e-16,0,2,0.99999999999999956,0.99999999999999944,1.1102230246251565e-16,3.3306690738754696e-16,1
wsl2_gcc_cpu,32,1,+x,moving,9,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,7.7715611723760958e-16,0,3,0.99999999999999933,0.99999999999999922,1.1102230246251565e-16,3.3306690738754696e-16,1
wsl2_gcc_cpu,32,1,+x,moving,9,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,7.7715611723760958e-16,0,4,0.99999999999999922,0.999999999999999,2.2204460492503131e-16,3.3306690738754696e-16,1
wsl2_gcc_cpu,32,1,+x,moving,10,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,8.8817841970012523e-16,0,2,0.99999999999999967,0.99999999999999978,-1.1102230246251565e-16,3.3306690738754696e-16,1
wsl2_gcc_cpu,32,1,+x,moving,10,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,8.8817841970012523e-16,0,3,0.99999999999999944,0.99999999999999956,-1.1102230246251565e-16,3.3306690738754696e-16,1
wsl2_gcc_cpu,32,1,+x,moving,10,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,8.8817841970012523e-16,0,4,0.99999999999999933,0.99999999999999933,0,3.3306690738754696e-16,1
wsl2_gcc_cpu,32,1,+x,moving,11,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,9.9920072216264089e-16,0,2,0.99999999999999956,0.99999999999999956,0,3.3306690738754696e-16,1
wsl2_gcc_cpu,32,1,+x,moving,11,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,9.9920072216264089e-16,0,3,0.99999999999999933,0.99999999999999933,0,3.3306690738754696e-16,1
wsl2_gcc_cpu,32,1,+x,moving,11,0,0,0,0,0,0,13.046196549861568,3.2526065174565133e-19,9.9920072216264089e-16,0,4,0.99999999999999922,0.99999999999999911,1.1102230246251565e-16,3.3306690738754696e-16,1
wsl2_gcc_cpu,32,1,+x,moving,12,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,1.1102230246251565e-15,0,2,0.99999999999999956,0.99999999999999967,-1.1102230246251565e-16,2.2204460492503131e-16,1
wsl2_gcc_cpu,32,1,+x,moving,12,1,0,0,0,1,0,13.046196549861568,3.2526065174565133e-19,1.1102230246251565e-15,0,3,0.99999999999999944,0.99999999999999956,-1.1102230246251565e-16,2.2204460492503131e-16,1
