backend,L,orientation,direction,stage,tick,transported_events,annihilation_pairs,reaction_sites,reaction_l1,current_l1,transport_residual,curl_l1,curl_divergence,gauss_residual,total_state,radius,boundary_flux,divergence_sum,telescope_residual,plateau,valid
windows_msvc_cpu,64,1,+x,moving,1,1,0,0,0,1,0,52.255977501521357,4.3368086899420177e-19,4.3368086899420177e-19,0,2,1,1,0,0,1
windows_msvc_cpu,64,1,+x,moving,1,1,0,0,0,1,0,52.255977501521357,4.3368086899420177e-19,4.3368086899420177e-19,0,3,1,1,0,0,1
windows_msvc_cpu,64,1,+x,moving,1,1,0,0,0,1,0,52.255977501521357,4.3368086899420177e-19,4.3368086899420177e-19,0,4,1,1,0,0,1
windows_msvc_cpu,64,1,+x,moving,2,0,0,0,0,0,0,52.255977501521357,4.3368086899420177e-19,2.2204460492503131e-16,0,2,1.0000000000000002,1.0000000000000002,0,0,1
windows_msvc_cpu,64,1,+x,moving,2,0,0,0,0,0,0,52.255977501521357,4.3368086899420177e-19,2.2204460492503131e-16,0,3,1.0000000000000002,1.0000000000000002,0,0,1
windows_msvc_cpu,64,1,+x,moving,2,0,0,0,0,0,0,52.255977501521357,4.3368086899420177e-19,2.2204460492503131e-16,0,4,1.0000000000000002,1.0000000000000002,0,0,1
windows_msvc_cpu,64,1,+x,moving,3,1,0,0,0,1,0,52.255977501521357,4.3368086899420177e-19,2.2204460492503131e-16,0,2,1.0000000000000002,1,2.2204460492503131e-16,0,1
windows_msvc_cpu,64,1,+x,moving,3,1,0,0,0,1,0,52.255977501521357,4.3368086899420177e-19,2.2204460492503131e-16,0,3,1.0000000000000002,1,2.2204460492503131e-16,0,1
windows_msvc_cpu,64,1,+x,moving,3,1,0,0,0,1,0,52.255977501521357,4.3368086899420177e-19,2.2204460492503131e-16,0,4,1.0000000000000002,1,2.2204460492503131e-16,0,1
windows_msvc_cpu,64,1,+x,moving,4,0,0,0,0,0,0,52.255977501521357,4.3368086899420177e-19,2.2204460492503131e-16,0,2,1.0000000000000002,1.0000000000000004,-2.2204460492503131e-16,0,1
windows_msvc_cpu,64,1,+x,moving,4,0,0,0,0,0,0,52.255977501521357,4.3368086899420177e-19,2.2204460492503131e-16,0,3,1.0000000000000002,1.0000000000000004,-2.2204460492503131e-16,0,1
windows_msvc_cpu,64,1,+x,moving,4,0,0,0,0,0,0,52.255977501521357,4.3368086899420177e-19,2.2204460492503131e-16,0,4,1.0000000000000002,1.0000000000000004,-2.2204460492503131e-16,0,1
