k,lambda,delta_eig,tier_eig
0,277.938,-4.11862,relevant
1,121.046,-2.91941,relevant
2,38.6604,-1.27278,relevant
3,-24.9744,nan,n/a
4,-109.444,nan,n/a
5,null,null,n/a
