tick,total_energy,manifested,positive,negative,n_clusters,max_cluster_voxels,total_cluster_energy
250,22439,26,10,16,25,2,14.7974
300,24578.6,76,32,44,68,3,40.3358
350,25543.9,185,80,105,155,4,90.5617
400,26614.1,341,162,179,229,9,194.369
450,28932.2,702,347,355,354,17,440.756
500,32615.9,1551,778,773,437,61,1145.91
550,61593.9,9989,5051,4938,20,9964,16467.8
600,125983,32630,16515,16115,1,32630,108080
650,110942,32761,16577,16184,1,32761,95047.2
700,103260,32764,16579,16185,1,32764,87987.9
750,111780,32765,16580,16185,1,32765,96712.5
800,113378,32767,16581,16186,1,32767,98285
850,111215,32768,16582,16186,1,32768,96067.4
900,109304,32768,16582,16186,1,32768,94281.4
950,110834,32768,16582,16186,1,32768,95792.5
1000,118957,32768,16582,16186,1,32768,104016
1050,124010,32768,16582,16186,1,32768,109087
1100,130862,32768,16582,16186,1,32768,115872
1150,146003,32768,16582,16186,1,32768,130941
1200,167881,32768,16582,16186,1,32768,152907
1250,181325,32768,16582,16186,1,32768,166331
1300,173342,32768,16582,16186,1,32768,158492
1350,174344,32768,16582,16186,1,32768,159436
1400,174334,32768,16582,16186,1,32768,159339
1450,184365,32768,16582,16186,1,32768,169354
1500,181050,32768,16582,16186,1,32768,165986
1550,167721,32768,16582,16186,1,32768,152695
1600,165389,32768,16582,16186,1,32768,150419
1650,154364,32768,16582,16186,1,32768,139406
1700,148524,32768,16582,16186,1,32768,133541
1750,154216,32768,16582,16186,1,32768,139253
1800,156190,32768,16582,16186,1,32768,141225
1850,180243,32768,16582,16186,1,32768,165303
1900,168833,32768,16582,16186,1,32768,153766
1950,155134,32768,16582,16186,1,32768,140141
2000,148086,32768,16582,16186,1,32768,133050
2050,154177,32768,16582,16186,1,32768,139206
2100,157054,32768,16582,16186,1,32768,142036
2150,156345,32768,16582,16186,1,32768,141384
2200,165270,32768,16582,16186,1,32768,150336
2250,157784,32768,16582,16186,1,32768,142719
2300,144289,32768,16582,16186,1,32768,129293
2350,133605,32768,16582,16186,1,32768,118625
2400,129663,32768,16582,16186,1,32768,114747
2450,129027,32768,16582,16186,1,32768,114055
2500,122086,32768,16582,16186,1,32768,107087
2550,120128,32768,16582,16186,1,32768,105167
2600,114381,32768,16582,16186,1,32768,99411
2650,101243,32768,16582,16186,1,32768,86267.7
2700,88921.7,32768,16582,16186,1,32768,73958.1
