tick,total_density,total_charge,manifested,Q_top,W_R,E_tube,tube_length,monopole_core,centroid_x,centroid_y,centroid_z
250,1186.09,0,0,3.51361,0,0,0,1601,16.0436,16.3136,16.236
300,1332.78,0,0,4.44643,0,0,0,1776,15.991,16.1128,16.1008
350,1399.17,0,0,-0.0222106,0,0,0,1771,16.0643,15.8242,15.7963
400,1461.64,0,0,1.80003,0,0,0,1812,15.9077,16.0072,16.1394
450,1667.22,0,0,1.24939,0,0,0,1949,15.9304,15.7393,16.0903
500,1865.03,0,0,5.33196,0,0,0,2059,15.624,16.0061,15.9575
550,1867.73,0,0,2.07254,0,0,0,2049,15.8551,15.7724,15.9835
600,1740.09,0,0,3.79366,0,0,0,2047,15.6738,15.7323,16.0521
650,1570.22,0,0,-1.24243,0,0,0,1856,15.6576,16.4044,15.8483
700,1641.71,0,0,1.95332,0,0,0,1884,15.855,16.0644,15.8891
750,1759.39,0,0,-0.320226,0,0,0,2048,16.1973,16.1028,15.9491
800,1603.02,0,0,3.72797,0,0,0,1954,16.0772,16.1232,15.8774
850,1394.4,0,0,-1.28244,0,0,0,1871,16.4145,15.8691,16.1226
900,1264.46,0,0,0.73991,0,0,0,1709,15.9519,16.2715,15.8993
950,1192.08,0,0,-0.38919,0,0,0,1504,15.8155,15.7946,15.8062
1000,1222.03,0,0,-3.69291,0,0,0,1644,16.1125,15.836,16.3784
1050,1146.5,0,0,-2.34616,0,0,0,1493,16.0258,16.1681,16.0366
1100,1173.8,0,0,2.81062,0,0,0,1516,15.9728,16.0399,16.2004
1150,1196.48,0,0,2.54094,0,0,0,1519,15.9633,15.7375,15.8315
1200,1119.03,0,0,0.598388,0,0,0,1477,16.1396,16.1311,16.004
1250,1129.71,0,0,-2.64741,0,0,0,1383,16.18,16.0176,15.9352
1300,1091.97,0,0,-2.12659,0,0,0,1440,15.9649,15.7649,16.3975
1350,1096.06,0,0,0.279939,0,0,0,1464,15.9554,16.0412,15.794
1400,1337.01,0,0,-0.931554,0,0,0,1745,15.8724,15.7623,16.2081
1450,1597.05,0,0,-2.21424,0,0,0,1879,16.1179,16.0022,15.9366
1500,1822.68,0,0,4.38509,0,0,0,2020,15.9913,16.0869,15.9482
1550,1870.98,0,0,1.23582,0,0,0,2044,16.1132,15.9698,16.0392
1600,2101.56,0,0,4.90995,0,0,0,2142,16.1647,16.057,16.1072
1650,2054.94,0,0,-1.7772,0,0,0,2140,15.8138,16.0584,15.798
1700,1896.44,0,0,1.94782,0,0,0,2115,16.1099,15.9462,15.8812
1750,1998.3,0,0,0.558094,0,0,0,2103,16.1693,15.999,16.0671
1800,2281.22,0,0,-2.60264,0,0,0,2140,15.9281,15.9355,16.1338
1850,2365.22,0,0,-0.0662844,0,0,0,2171,15.9655,15.8615,16.1406
1900,1981.02,0,0,-1.71337,0,0,0,2121,15.9076,15.8664,15.9368
1950,1893.86,0,0,-3.7685,0,0,0,2059,16.0658,16.1485,15.9037
2000,1666.29,0,0,-1.79732,0,0,0,1939,15.9476,15.7929,15.6493
2050,1663.2,0,0,-2.19804,0,0,0,2010,16.0945,15.805,16.1935
2100,1826.68,0,0,-0.144567,0,0,0,2047,15.7808,15.7736,16.0918
2150,2238.09,0,0,0.62968,0,0,0,2123,15.8761,15.9018,15.7636
2200,2829.4,0,0,-3.78416,0,0,0,2183,16.047,15.9816,15.9727
