tick,total_density,total_charge,manifested,Q_top,W_R,E_tube,tube_length,monopole_core,centroid_x,centroid_y,centroid_z
250,1574.76,0,0,-1.75513,0,0,0,1915,15.5519,16.3753,15.9136
300,1746.75,0,0,-1.46928,0,0,0,1978,15.4914,15.7187,16.0194
350,1842.7,0,0,0.0466548,0,0,0,1970,15.8327,15.6256,16.0242
400,1868.58,0,0,-0.0929367,0,0,0,2083,16.077,15.8778,16.0153
450,2026.75,0,0,-0.608191,0,0,0,2113,16.2402,15.5633,16.1773
500,2102.08,0,0,2.10269,0,0,0,2134,16.0907,15.7484,15.882
550,2241.98,0,0,-4.13797,0,0,0,2143,16.0571,15.8424,16.106
600,2440.86,0,0,-3.56509,0,0,0,2160,16.1253,15.7843,15.8874
650,2643.38,0,0,-1.87797,0,0,0,2160,16.0027,16.0116,15.8666
700,3061.88,0,0,1.63279,0,0,0,2191,15.8541,15.9099,16.1418
750,3111.7,0,0,4.59826,0,0,0,2192,15.9516,15.9009,16.0597
800,2669.86,0,0,-0.606079,0,0,0,2175,16.1032,15.9564,15.8761
850,2731.43,0,0,4.00179,0,0,0,2176,15.866,16.0733,15.9829
900,2835.59,0,0,-1.36266,0,0,0,2186,16.0921,16.3573,16.1506
950,3108.59,0,0,-0.661353,0,0,0,2191,15.9489,15.9886,16.0764
1000,3339.81,0,0,-2.79755,0,0,0,2196,16.0237,16.0923,15.9893
1050,3597.15,0,0,-0.400332,0,0,0,2195,16.0396,16.1922,16.1779
1100,4359.47,0,0,1.13052,0,0,0,2196,16.0187,16.0609,15.9569
1150,4772.29,0,0,-2.05949,0,0,0,2197,15.9561,15.9728,15.9247
1200,5453.04,0,0,-2.42898,0,0,0,2197,16.1717,16.042,15.9867
1250,5043.17,0,0,-3.11601,0,0,0,2197,16.0224,16.1708,15.9815
1300,4575.25,0,0,-1.05019,0,0,0,2197,16.01,15.9584,16.1025
1350,4310.31,0,0,-2.05862,0,0,0,2197,15.9897,15.8469,15.869
1400,4267.54,0,0,2.45846,0,0,0,2197,15.9375,15.9595,16.0742
1450,3756.96,0,0,-1.58367,0,0,0,2194,16.0471,16.1289,16.0318
1500,3499.08,0,0,4.64544,0,0,0,2195,15.9335,15.9076,15.8462
1550,3490.61,0,0,0.0803075,0,0,0,2192,15.9927,15.9059,15.9362
1600,3619.27,0,0,-1.15651,0,0,0,2193,15.9994,15.9715,16.0658
1650,3924.26,0,0,-0.802439,0,0,0,2196,16.0365,15.9785,16.1004
1700,4445.12,0,0,-0.11132,0,0,0,2197,15.8891,15.7297,16.0288
1750,5005.95,0,0,-2.30564,0,0,0,2197,15.7886,15.9973,16.1656
1800,5331.87,0,0,2.71088,0,0,0,2197,15.8156,15.9559,16.0577
1850,5235.63,0,0,0.945279,0,0,0,2197,16.1202,15.904,15.866
1900,5563.1,0,0,0.280839,0,0,0,2197,16.2206,16.0119,15.977
1950,5355.53,0,0,-1.44018,0,0,0,2197,16.0701,16.0652,16.0867
2000,5065.96,0,0,-3.47176,0,0,0,2196,16.0777,16.3133,16.2572
2050,4832.78,0,0,1.66742,0,0,0,2197,16.1114,15.9539,15.9767
2100,4635.94,0,0,0.25785,0,0,0,2196,16.0898,15.9642,16.163
2150,4660.69,0,0,-6.36999,0,0,0,2197,15.994,16.0691,16.0835
2200,4849.82,0,0,-6.32013,0,0,0,2197,15.7665,15.9389,16.0479
