tick,total_energy,manifested,positive,negative,n_clusters,max_cluster_voxels,total_cluster_energy
250,7825.77,25,12,13,1,25,0.421976
300,7969.11,25,12,13,1,25,0.465589
350,8076.91,25,12,13,1,25,0.386595
400,8087.84,25,12,13,1,25,0.365176
450,8131.96,25,12,13,1,25,0.385106
500,8104.33,25,12,13,1,25,0.521074
550,8127.56,25,12,13,1,25,0.313906
600,8417.48,25,12,13,1,25,0.460553
650,8522.35,25,12,13,1,25,0.423642
700,8536.61,25,12,13,1,25,0.604426
750,8849.99,25,12,13,1,25,0.734481
800,8655.23,25,12,13,1,25,0.554486
850,8398.75,25,12,13,1,25,0.440354
900,8409.32,25,12,13,1,25,0.309316
950,8341.13,25,12,13,1,25,0.313842
1000,8283.22,25,12,13,1,25,0.521088
1050,8237.98,25,12,13,1,25,0.365431
1100,8038.78,25,12,13,1,25,0.325406
1150,8069.01,25,12,13,1,25,0.674565
1200,8092.3,25,12,13,1,25,0.503159
1250,8183.83,25,12,13,1,25,0.535056
1300,8126.71,25,12,13,1,25,0.424465
1350,8058.19,25,12,13,1,25,0.472483
1400,8111.09,25,12,13,1,25,0.595957
1450,8308.3,25,12,13,1,25,0.382938
1500,8251.57,25,12,13,1,25,0.284849
1550,8267.22,25,12,13,1,25,0.407659
1600,8376.08,25,12,13,1,25,0.308429
1650,8344.78,25,12,13,1,25,0.565596
1700,8456.52,25,12,13,1,25,0.362217
1750,8531.44,25,12,13,1,25,0.508393
1800,8598.45,25,12,13,1,25,0.466381
1850,8551.63,25,12,13,1,25,0.544594
1900,8532.78,25,12,13,1,25,0.509948
1950,8479.43,25,12,13,1,25,0.389638
2000,8463.77,25,12,13,1,25,0.5027
2050,8152.17,25,12,13,1,25,0.362053
2100,7975.31,25,12,13,1,25,0.440015
2150,7954.09,25,12,13,1,25,0.426545
2200,7929.72,25,12,13,1,25,0.38795
2250,8025.58,25,12,13,1,25,0.452993
2300,8236.24,25,12,13,1,25,0.276771
2350,8257,25,12,13,1,25,0.40361
2400,8217.24,25,12,13,1,25,0.425956
2450,8227.39,25,12,13,1,25,0.477538
2500,8148.59,25,12,13,1,25,0.341362
2550,8156.99,25,12,13,1,25,0.40458
2600,8096.46,25,12,13,1,25,0.365425
2650,8218.11,25,12,13,1,25,0.471628
2700,8277.38,25,12,13,1,25,0.396316
