tick,total_energy,manifested,positive,negative,n_clusters,max_cluster_voxels,total_cluster_energy
250,7790.6,7,4,3,2,5,0.0443225
300,7916.92,7,4,3,2,5,0.126934
350,8016.88,7,4,3,2,5,0.127877
400,8041.81,7,4,3,2,5,0.0892768
450,8101.64,7,4,3,2,5,0.074169
500,8089.74,7,4,3,2,5,0.0924553
550,8123.39,7,4,3,2,5,0.095237
600,8441.85,7,4,3,2,5,0.073317
650,8584.13,7,4,3,2,5,0.14828
700,8591.33,7,4,3,2,5,0.159727
750,8935.58,7,4,3,2,5,0.14472
800,8765.69,7,4,3,2,5,0.153679
850,8521.62,7,4,3,2,5,0.12901
900,8562.75,7,4,3,2,5,0.164178
950,8448.35,7,4,3,2,5,0.157781
1000,8354.62,7,4,3,2,5,0.133769
1050,8267.34,7,4,3,2,5,0.102236
1100,8061.18,7,4,3,2,5,0.0399779
1150,8128.13,7,4,3,2,5,0.0999836
1200,8157.35,7,4,3,2,5,0.15738
1250,8226.91,7,4,3,2,5,0.114436
1300,8189.58,7,4,3,2,5,0.138144
1350,8056.58,7,4,3,2,5,0.161016
1400,8075.11,7,4,3,2,5,0.117094
1450,8166.98,7,4,3,2,5,0.0606111
1500,8131.69,7,4,3,2,5,0.145203
1550,8199.06,7,4,3,2,5,0.194629
1600,8350.7,7,4,3,2,5,0.0874552
1650,8216.53,7,4,3,2,5,0.172646
1700,8187.88,7,4,3,2,5,0.112569
1750,8309,7,4,3,2,5,0.0373271
1800,8473.92,7,4,3,2,5,0.148481
1850,8542.43,7,4,3,2,5,0.118918
1900,8753.96,7,4,3,2,5,0.0807077
1950,8861.7,7,4,3,2,5,0.154559
2000,9003.3,7,4,3,2,5,0.224846
2050,8645.72,7,4,3,2,5,0.118794
2100,8455.86,7,4,3,2,5,0.0677114
2150,8517.99,7,4,3,2,5,0.0925182
2200,8493.6,7,4,3,2,5,0.134536
2250,8694.92,7,4,3,2,5,0.119342
2300,8993.65,7,4,3,2,5,0.138732
2350,8852.4,7,4,3,2,5,0.139311
2400,8852.29,7,4,3,2,5,0.170258
2450,8869.79,7,4,3,2,5,0.059809
2500,8748.9,7,4,3,2,5,0.116301
2550,8682.49,7,4,3,2,5,0.155218
2600,8551.23,7,4,3,2,5,0.141659
2650,8392.07,7,4,3,2,5,0.176324
2700,8449.38,7,4,3,2,5,0.0844237
