snapshot,fine_JJ,fine_divJ2,fine_curlJ2,fine_JdotDivJ,fine_J4,fine_stateSq,coarse_JJ,coarse_divJ2,coarse_curlJ2,coarse_JdotDivJ,coarse_J4,coarse_stateSq
0,0.74236,0.00239695,0.0734195,-0.00106542,0.606438,0.000976562,11.1932,0.0110313,0.367457,-0.00330731,129.392,0.0078125
1,0.267816,0.00224655,0.0739159,-0.00104112,0.0924179,0.000244141,3.60498,0.00884102,0.380338,-0.00237669,14.5343,0.00195312
2,0.26884,0.00229049,0.0756623,-0.00109685,0.0920996,0.000244141,3.60792,0.00866619,0.429165,-0.00270772,14.3863,0.00195312
3,0.263514,0.00240391,0.0754897,-0.00111358,0.0890992,0.000244141,3.54316,0.00881422,0.425406,-0.00242624,14.0664,0.00195312
4,0.272501,0.00232851,0.0755265,-0.00102605,0.094321,0.000244141,3.66632,0.00904215,0.38823,-0.00230663,14.7481,0.00195312
5,0.27299,0.0023539,0.076427,-0.00110955,0.095207,0.000244141,3.66182,0.00885384,0.404158,-0.00246791,15.087,0.00195312
6,0.264518,0.00243519,0.0740022,-0.00121546,0.0891572,0.000244141,3.54171,0.0097321,0.388546,-0.00388104,14.0533,0.00195312
7,0.251556,0.00234078,0.0727088,-0.00115963,0.0800838,0.000244141,3.34756,0.00858698,0.346742,-0.00242001,12.4367,0.00195312
8,0.253399,0.00221175,0.075345,-0.00107802,0.0834775,0.000244141,3.36565,0.00868161,0.365388,-0.00327552,12.8299,0.00195312
9,0.245212,0.00226642,0.0729924,-0.00109077,0.0757682,0.000244141,3.25277,0.0093897,0.367148,-0.00325126,11.7622,0.00195312
10,0.239322,0.00233094,0.0726076,-0.00111642,0.0746504,0.000244141,3.16414,0.00829447,0.355485,-0.00333062,11.2936,0.00195312
11,0.237482,0.00223813,0.0740388,-0.00102502,0.0734745,0.000244141,3.12136,0.00855724,0.398685,-0.00206567,11.0154,0.00195312
12,0.257661,0.00234558,0.0755907,-0.00118474,0.0858795,0.000244141,3.43351,0.00836033,0.413489,-0.00237393,13.2542,0.00195312
13,0.274446,0.00232093,0.0740794,-0.00109888,0.0952085,0.000244141,3.71241,0.00875231,0.363934,-0.00286669,15.3267,0.00195312
