N_f,bare_match_per_g2,eta_reference_per_g2,residual_per_g2,residual_at_alpha,residual_after_137_cubed
1,-0.326969056650,0.326969056650,0.000000000000,0.000000000000e+00,0.000000000000e+00
2,-0.341681299015,0.326969056650,-0.014712242365,-1.073604196e-04,-4.175109273e-11
3,-0.356393541380,0.326969056650,-0.029424484730,-2.147208392e-04,-8.350218546e-11
6,-0.400530268474,0.326969056650,-0.073561211824,-5.368020981e-04,-2.087554637e-10
