k,lambda,delta_eig,tier_eig
0,196.521,-3.61854,relevant
1,112.033,-2.80778,relevant
2,65.7401,-2.0387,relevant
3,-35.2241,nan,n/a
4,-107.625,nan,n/a
5,null,null,n/a
