backend,L,arm,polarity,direction,radius,ticks,init_valid,init_iterations,solver_residual,gauss_max,curl_residual,surface_flux,surface_error,minimum_energy,string_energy,modified_energy_initial,energy_drift_max,current_l1,reaction_l1,stationary_current_max,voxel_sync_max,support_initial,support_tick12,support_final,support_excess,valid
wsl2-gcc,32,static_dressing,1,diagonal,2,32,1,111,7.5888330296815707e-13,7.5887950437558693e-13,2.7755575615628914e-17,0.99999999999650535,3.4946490146126052e-12,0.24766152405562283,22.5,0.24766152405562283,2.7755575615628914e-17,0,0,0,0,0,0,0,0,1
wsl2-gcc,32,static_dressing,1,diagonal,3,32,1,111,7.5888330296815707e-13,7.5887950437558693e-13,2.7755575615628914e-17,0.99999999999821365,1.7863488466218769e-12,0.24766152405562283,22.5,0.24766152405562283,2.7755575615628914e-17,0,0,0,0,0,0,0,0,1
wsl2-gcc,32,static_dressing,1,diagonal,4,32,1,111,7.5888330296815707e-13,7.5887950437558693e-13,2.7755575615628914e-17,0.99999999998799283,1.2007173033623531e-11,0.24766152405562283,22.5,0.24766152405562283,2.7755575615628914e-17,0,0,0,0,0,0,0,0,1
wsl2-gcc,32,static_dressing,1,diagonal,5,32,1,111,7.5888330296815707e-13,7.5887950437558693e-13,2.7755575615628914e-17,0.99999999996140243,3.8597569584908342e-11,0.24766152405562283,22.5,0.24766152405562283,2.7755575615628914e-17,0,0,0,0,0,0,0,0,1
wsl2-gcc,32,movement,1,+x,2,20,1,112,9.1456760745175009e-13,9.1456616585494643e-13,2.7755575615628914e-17,1.0000000000016589,1.6588952433949089e-12,0.24699990950135503,0,0,0,7,0,0,0,0,0,0,0,1
wsl2-gcc,32,movement,1,+y,2,20,1,112,9.1456762525009133e-13,9.1456227627965264e-13,2.7755575615628914e-17,1.0000000000016596,1.659561377209684e-12,0.24699990950135503,0,0,0,7,0,0,0,0,0,0,0,1
wsl2-gcc,32,movement,1,+z,2,20,1,112,9.1456761367762392e-13,9.1456703321668442e-13,2.7755575615628914e-17,1.0000000000016596,1.659561377209684e-12,0.246999909501355,0,0,0,7,0,0,0,0,0,0,0,1
wsl2-gcc,32,movement,-1,+x,2,20,1,112,9.1456760745175009e-13,9.1456616585494643e-13,2.7755575615628914e-17,-1.0000000000016589,1.6588952433949089e-12,0.24699990950135503,0,0,0,7,0,0,0,0,0,0,0,1
wsl2-gcc,32,movement,-1,+y,2,20,1,112,9.1456762525009133e-13,9.1456227627965264e-13,2.7755575615628914e-17,-1.0000000000016596,1.659561377209684e-12,0.24699990950135503,0,0,0,7,0,0,0,0,0,0,0,1
wsl2-gcc,32,movement,-1,+z,2,20,1,112,9.1456761367762392e-13,9.1456703321668442e-13,2.7755575615628914e-17,-1.0000000000016596,1.659561377209684e-12,0.246999909501355,0,0,0,7,0,0,0,0,0,0,0,1
wsl2-gcc,32,transverse_wave,0,edge-z,0,32,1,0,0,3.8914864190127355e-19,0,0,0,0,0,1.9999999999999999e-06,1.2705494208814505e-21,0,0,0,0,1,13,16,0,1
