backend,L,arm,polarity,direction,radius,ticks,init_valid,init_iterations,solver_residual,gauss_max,curl_residual,surface_flux,surface_error,minimum_energy,string_energy,modified_energy_initial,energy_drift_max,current_l1,reaction_l1,stationary_current_max,voxel_sync_max,support_initial,support_tick12,support_final,support_excess,valid
windows-msvc-14.44,32,static_dressing,1,diagonal,2,32,1,111,7.5888319093930987e-13,7.5889519820203366e-13,3.4694469519536142e-17,0.99999999999650557,3.4944269700076802e-12,0.24766152405561703,22.5,0.24766152405561703,5.5511151231257827e-17,0,0,0,0,0,0,0,0,1
windows-msvc-14.44,32,static_dressing,1,diagonal,3,32,1,111,7.5888319093930987e-13,7.5889519820203366e-13,3.4694469519536142e-17,0.99999999999821254,1.787459069646502e-12,0.24766152405561703,22.5,0.24766152405561703,5.5511151231257827e-17,0,0,0,0,0,0,0,0,1
windows-msvc-14.44,32,static_dressing,1,diagonal,4,32,1,111,7.5888319093930987e-13,7.5889519820203366e-13,3.4694469519536142e-17,0.99999999998799205,1.2007950189740768e-11,0.24766152405561703,22.5,0.24766152405561703,5.5511151231257827e-17,0,0,0,0,0,0,0,0,1
windows-msvc-14.44,32,static_dressing,1,diagonal,5,32,1,111,7.5888319093930987e-13,7.5889519820203366e-13,3.4694469519536142e-17,0.99999999996140099,3.8599012874840355e-11,0.24766152405561703,22.5,0.24766152405561703,5.5511151231257827e-17,0,0,0,0,0,0,0,0,1
windows-msvc-14.44,32,movement,1,+x,2,20,1,112,9.1456761404138609e-13,9.1456529849320845e-13,2.7755575615628914e-17,1.0000000000016593,1.659339332604759e-12,0.24699990950135131,0,0,0,7,0,0,0,0,0,0,0,1
windows-msvc-14.44,32,movement,1,+y,2,20,1,112,9.1456773409911448e-13,9.1456226272712549e-13,3.4694469519536142e-17,1.0000000000016593,1.659339332604759e-12,0.24699990950135256,0,0,0,7,0,0,0,0,0,0,0,1
windows-msvc-14.44,32,movement,1,+z,2,20,1,112,9.1456765891939774e-13,9.145609616845185e-13,2.7755575615628914e-17,1.0000000000016591,1.6591172879998339e-12,0.24699990950135908,0,0,0,7,0,0,0,0,0,0,0,1
windows-msvc-14.44,32,movement,-1,+x,2,20,1,112,9.1456761404138609e-13,9.1456529849320845e-13,2.7755575615628914e-17,-1.0000000000016593,1.659339332604759e-12,0.24699990950135131,0,0,0,7,0,0,0,0,0,0,0,1
windows-msvc-14.44,32,movement,-1,+y,2,20,1,112,9.1456773409911448e-13,9.1456226272712549e-13,3.4694469519536142e-17,-1.0000000000016593,1.659339332604759e-12,0.24699990950135256,0,0,0,7,0,0,0,0,0,0,0,1
windows-msvc-14.44,32,movement,-1,+z,2,20,1,112,9.1456765891939774e-13,9.145609616845185e-13,2.7755575615628914e-17,-1.0000000000016591,1.6591172879998339e-12,0.24699990950135908,0,0,0,7,0,0,0,0,0,0,0,1
windows-msvc-14.44,32,transverse_wave,0,edge-z,0,32,1,0,0,3.8914864190127355e-19,0,0,0,0,0,1.9999999999999999e-06,2.5029823591364575e-19,0,0,0,0,1,13,16,0,1
