record,key,value,details
protocol,L,33,ticks,48,speed,0.14999999999999999,kinetic_energy,0.0060571804287415654,linear_gate,9.9999999999999998e-13
attempt,tick,6,full,-0.014433673011440832,packet,2.2907817654623037e-20,dressing,0.00021316111525079932,static,-0.014646834126691627,curl,-3.4694469519536142e-18,sum,-0.01443367301144083,closure,1.7347234759768071e-18,full_kinematic,false,source_free_kinematic,true
attempt,tick,7,full,-0.007638417628295072,packet,-9.1688441899489496e-20,dressing,-1.6835369983450622e-05,static,-0.007621582258311623,curl,0,sum,-0.0076384176282950737,closure,1.7347234759768071e-18,full_kinematic,false,source_free_kinematic,true
attempt,tick,8,full,-0.001908912196713391,packet,-2.3928563234096434e-20,dressing,-0.00020022353923891209,static,-0.001708688657474481,curl,0,sum,-0.001908912196713393,closure,1.951563910473908e-18,full_kinematic,true,source_free_kinematic,true
attempt,tick,9,full,-0.0056280183894637887,packet,1.0120587209440836e-19,dressing,-7.1909880533133433e-05,static,-0.005556108508930656,curl,0,sum,-0.0056280183894637896,closure,8.6736173798840355e-19,full_kinematic,true,source_free_kinematic,true
attempt,tick,10,full,-0.012558267279228688,packet,4.9721280783305333e-20,dressing,0.0001526447872858726,static,-0.012710912066514559,curl,1.7347234759768071e-18,sum,-0.012558267279228685,closure,3.4694469519536142e-18,full_kinematic,false,source_free_kinematic,true
attempt,tick,11,full,-0.012142711754104517,packet,-4.4903982768280723e-20,dressing,0.0001318433528555785,static,-0.012274555106960097,curl,0,sum,-0.012142711754104519,closure,1.7347234759768071e-18,full_kinematic,false,source_free_kinematic,true
attempt,tick,12,full,-0.0055152539804970866,packet,-7.9560792758809458e-20,dressing,-8.5047746641014288e-05,static,-0.0054302062338560733,curl,-1.7347234759768071e-18,sum,-0.0055152539804970892,closure,2.6020852139652106e-18,full_kinematic,true,source_free_kinematic,true
attempt,tick,13,full,-0.0030113703111530796,packet,-3.1797416359102174e-20,dressing,-0.00015909992999151623,static,-0.0028522703811615637,curl,0,sum,-0.0030113703111530801,closure,4.3368086899420177e-19,full_kinematic,true,source_free_kinematic,true
attempt,tick,14,full,-0.0081059242701875343,packet,3.86813017027392e-20,dressing,1.1150656512320158e-05,static,-0.0081170749266998524,curl,0,sum,-0.0081059242701875325,closure,1.7347234759768071e-18,full_kinematic,false,source_free_kinematic,true
attempt,tick,15,full,-0.012666035930839696,packet,1.2426534047130482e-21,dressing,0.00015358382396897535,static,-0.012819619754808668,curl,-1.7347234759768071e-18,sum,-0.012666035930839694,closure,1.7347234759768071e-18,full_kinematic,false,source_free_kinematic,true
