tick,total_density,total_charge,manifested,Q_top,W_R,E_tube,tube_length,monopole_core,centroid_x,centroid_y,centroid_z
250,1324.02,0,0,3.05087,0,0,0,0,0,0,0
300,1572.28,0,0,4.33755,0,0,0,0,0,0,0
350,1668.44,0,0,-2.17293,0,0,0,0,0,0,0
400,1856.89,0,0,4.74162,0,0,0,0,0,0,0
450,1873.09,0,0,1.87328,0,0,0,0,0,0,0
500,1945.44,0,0,-4.13001,0,0,0,0,0,0,0
550,1852.94,0,0,-2.6954,0,0,0,0,0,0,0
600,1714.38,0,0,-1.98032,0,0,0,0,0,0,0
650,1785.63,0,0,4.44795,0,0,0,0,0,0,0
700,1718.55,0,0,3.44953,0,0,0,0,0,0,0
750,1813.11,0,0,3.62908,0,0,0,0,0,0,0
800,1528.24,0,0,-3.2874,0,0,0,0,0,0,0
850,1492.47,0,0,2.14411,0,0,0,0,0,0,0
900,1635.55,0,0,-1.78488,0,0,0,0,0,0,0
950,1750.6,0,0,1.46393,0,0,0,0,0,0,0
1000,1836.52,0,0,-7.88768,0,0,0,0,0,0,0
1050,2340.63,0,0,3.73183,0,0,0,0,0,0,0
1100,2582.89,0,0,0.44162,0,0,0,0,0,0,0
1150,2853.97,0,0,-2.9598,0,0,0,0,0,0,0
1200,3345.74,0,0,1.32387,0,0,0,0,0,0,0
1250,3836.36,0,0,-1.67343,0,0,0,0,0,0,0
1300,3888.78,0,0,-0.400475,0,0,0,0,0,0,0
1350,3555.47,0,0,-1.06069,0,0,0,0,0,0,0
1400,3528.59,0,0,-3.49824,0,0,0,0,0,0,0
1450,3307.38,0,0,1.97007,0,0,0,0,0,0,0
1500,3198.36,0,0,1.14805,0,0,0,0,0,0,0
1550,2941.49,0,0,1.68511,0,0,0,0,0,0,0
1600,3183.31,0,0,6.14497,0,0,0,0,0,0,0
1650,3208.89,0,0,4.46988,0,0,0,0,0,0,0
1700,3503.66,0,0,-0.467287,0,0,0,0,0,0,0
1750,3463.5,0,0,1.16892,0,0,0,0,0,0,0
1800,3905.63,0,0,6.42855,0,0,0,0,0,0,0
1850,4126.58,0,0,6.30064,0,0,0,0,0,0,0
1900,5222.87,0,0,5.32258,0,0,0,0,0,0,0
1950,6124.49,0,0,0.0130343,0,0,0,0,0,0,0
2000,6374.23,0,0,-1.03688,0,0,0,0,0,0,0
2050,6007.37,0,0,4.92429,0,0,0,0,0,0,0
2100,5322.3,0,0,-6.77147,0,0,0,0,0,0,0
2150,5147.87,0,0,-2.49661,0,0,0,0,0,0,0
2200,5811.24,0,0,-1.05354,0,0,0,0,0,0,0
