tick,total_density,total_charge,manifested,Q_top,W_R,E_tube,tube_length,monopole_core,centroid_x,centroid_y,centroid_z
250,1123.36,0,0,-1.23793,0,0,0,0,0,0,0
300,1148.58,0,0,0.182837,0,0,0,0,0,0,0
350,1163.25,0,0,0.607645,0,0,0,0,0,0,0
400,1200.69,0,0,2.13743,0,0,0,0,0,0,0
450,1239.43,0,0,8.0034,0,0,0,0,0,0,0
500,1158.79,0,0,4.69297,0,0,0,0,0,0,0
550,1125.97,0,0,4.21035,0,0,0,0,0,0,0
600,1071.92,0,0,3.22305,0,0,0,0,0,0,0
650,1119.92,0,0,0.867784,0,0,0,0,0,0,0
700,1130.44,0,0,3.21609,0,0,0,0,0,0,0
750,1091.92,0,0,-0.434048,0,0,0,0,0,0,0
800,1156.63,0,0,-1.83635,0,0,0,0,0,0,0
850,1307.39,0,0,2.3014,0,0,0,0,0,0,0
900,1484.73,0,0,1.76809,0,0,0,0,0,0,0
950,1606.09,0,0,-1.83375,0,0,0,0,0,0,0
1000,1751.13,0,0,1.82515,0,0,0,0,0,0,0
1050,1877.48,0,0,1.78576,0,0,0,0,0,0,0
1100,1773.01,0,0,0.884211,0,0,0,0,0,0,0
1150,1574.29,0,0,-1.06285,0,0,0,0,0,0,0
1200,1540.64,0,0,-1.93792,0,0,0,0,0,0,0
1250,1651.06,0,0,4.3606,0,0,0,0,0,0,0
1300,1824.99,0,0,2.07359,0,0,0,0,0,0,0
1350,1981.19,0,0,-0.450767,0,0,0,0,0,0,0
1400,2112.67,0,0,-2.24368,0,0,0,0,0,0,0
1450,1926.13,0,0,0.122657,0,0,0,0,0,0,0
1500,1728,0,0,0.198475,0,0,0,0,0,0,0
1550,1693.74,0,0,-0.811199,0,0,0,0,0,0,0
1600,1471.84,0,0,3.10335,0,0,0,0,0,0,0
1650,1379.94,0,0,1.96024,0,0,0,0,0,0,0
1700,1352.79,0,0,1.42559,0,0,0,0,0,0,0
1750,1564.34,0,0,-0.887348,0,0,0,0,0,0,0
1800,1956.65,0,0,-1.25133,0,0,0,0,0,0,0
1850,2013.51,0,0,-3.73156,0,0,0,0,0,0,0
1900,2034.61,0,0,3.76087,0,0,0,0,0,0,0
1950,2077.23,0,0,-3.99514,0,0,0,0,0,0,0
2000,2399.72,0,0,-3.97455,0,0,0,0,0,0,0
2050,2634.35,0,0,0.406301,0,0,0,0,0,0,0
2100,2546.7,0,0,1.1176,0,0,0,0,0,0,0
2150,2608.83,0,0,-2.89833,0,0,0,0,0,0,0
2200,2822.36,0,0,0.619302,0,0,0,0,0,0,0
