identifier,L,orbit_count,shell_count,maximizing_removed_count,distance_distribution_bound,threshold,margin,primal_verified,dual_verified,verdict
FTD-0596,9,34,29,8,1.5218539833164362,1.516386059151978,-0.005467924164458182,true,true,TEN_SOURCE_DISTANCE_DISTRIBUTION_LP_INCONCLUSIVE
FTD-0596,17,164,164,8,1.5741191331652207,1.516386059151978,-0.05773307401324268,true,true,TEN_SOURCE_DISTANCE_DISTRIBUTION_LP_INCONCLUSIVE
FTD-0596,33,968,947,8,1.5852789946030676,1.516386059151978,-0.06889293545108965,true,true,TEN_SOURCE_DISTANCE_DISTRIBUTION_LP_INCONCLUSIVE
FTD-0596,65,6544,6544,8,1.5932999259156457,1.516386059151978,-0.07691386676366774,true,true,TEN_SOURCE_DISTANCE_DISTRIBUTION_LP_INCONCLUSIVE
