arm,L,direction,amplitude,tick,activity,centroid_x,displacement,width_x,core_fraction,leading_fraction,trailing_fraction,normalized_divergence,exact_tick_energy,relative_energy_drift,best_shift,overlap,explained_fraction,leading_excess_fraction,trailing_excess_fraction,bound_clause,trailing_wake_clause,symmetric_dispersion_clause,valid
localized_finite,49,-1,0.5,0,4.0880197450679452,34.595392615164478,0,2.3070114643053872,0.99350776108996475,0.0023188806822722792,0.0041733582277579551,2.0507051522043438e-17,3.703324682318061,0,0,1,1,0,0,0,0,0,1
localized_finite,49,-1,0.5,4,4.1720010386011337,32.904379445029285,-1.6910131701351929,2.347205288146101,0.9912525402704162,0.0033480939130866335,0.005399365816515434,1.5562323544308664e-16,3.703324682318061,3.232120597308178e-17,-2,0.93207204693276702,0.82023202541421802,0.001190563336662818,0.001238848890511071,0,0,0,1
localized_finite,49,-1,0.5,8,4.0105453507584068,31.025928190544196,-3.569464424620282,2.436028967227176,0.97658858927694636,0.013747340546890937,0.0096640701762093512,2.0142452921397621e-16,3.703324682318061,8.6072776776141697e-18,-5,0.90803750731987565,0.7506700340632767,9.2680891702781771e-12,0.009353767107983673,0,0,0,1
localized_finite,49,-1,0.5,12,4.0185335555225166,29.22773271475597,-5.3676599004085084,2.6133330181383583,0.97659270121642905,0.010365856674920798,0.013041442108687714,2.2834292812292642e-16,3.703324682318061,1.7448766992714436e-17,-4,0.91309942566832558,0.76484310589994342,0.0098443955272712845,0.008904142177278097,0,0,0,1
localized_finite,49,-1,0.5,16,4.0238636000782479,27.413191211837834,-7.1822014033266441,2.8543689145620692,0.97621027829685325,0.0079500735457590545,0.015839648157407571,2.6084546503164118e-16,3.703324682318061,3.1501465241880428e-17,-7,0.95471693334100749,0.83521612937340106,0.0056311928634867744,0.012134136277763805,0,0,0,1
localized_finite,49,-1,0.5,20,4.0239614163638571,25.571422329543051,-9.0239702856214272,3.1296488553062218,0.97465798470713982,0.006875433591520784,0.018466581701385335,2.9419124461229338e-16,3.703324682318061,4.567126930978947e-17,-9,0.98150536355594942,0.88298544288539282,0.0045565529092485039,0.014293223473627372,0,0,0,1
localized_finite,49,-1,0.5,24,4.0239634629332954,23.71280521879984,-10.882587396364638,3.4311308321889378,0.9700907536584108,0.0073356915291685259,0.022573554812424484,3.1577473156208455e-16,3.703324682318061,4.8364703140879618e-17,-11,0.96930263633340974,0.85212607670489582,0.0050168108468962476,0.018400196584666524,0,0,0,1
localized_finite,49,-1,0.5,28,4.0239645483160933,21.843459703560217,-12.751932911604261,3.6475724113474244,0.9629166121689211,0.012662562399232767,0.024420825431853387,3.4273763018167285e-16,3.703324682318061,6.5637811405479485e-17,-13,0.94333611241475801,0.81137136983007796,0.010343681716960488,0.02024746720409543,0,0,0,1
localized_finite,49,-1,0.5,32,4.0238927850833042,19.971481738729285,-14.623910876435193,3.6440367142765333,0.95375771583901781,0.019138489214777635,0.027103794946202311,3.6452620234489325e-16,3.703324682318061,5.5273946446719564e-17,-15,0.91827374086300895,0.77497921088951505,0.016819608532505352,0.022930436718444358,0,0,0,1
localized_finite,49,-1,1,0,16.352078980271781,34.595392615164478,0,2.3070114643053872,0.99350776108996475,0.0023188806822722792,0.0041733582277579551,2.0507051522043438e-17,14.813298729272244,0,0,1,1,0,0,0,0,0,1
localized_finite,49,-1,1,4,16.688004154404535,32.904379445029285,-1.6910131701351929,2.347205288146101,0.9912525402704162,0.0033480939130866335,0.005399365816515434,1.5562323544308664e-16,14.813298729272244,3.232120597308178e-17,-2,0.93207204693276702,0.82023202541421802,0.001190563336662818,0.001238848890511071,0,0,0,1
localized_finite,49,-1,1,8,16.042181403033627,31.025928190544196,-3.569464424620282,2.436028967227176,0.97658858927694636,0.013747340546890937,0.0096640701762093512,2.0142452921397621e-16,14.813298729272244,8.6072776776141697e-18,-5,0.90803750731987565,0.7506700340632767,9.2680891702781771e-12,0.009353767107983673,0,0,0,1
localized_finite,49,-1,1,12,16.074134222090066,29.22773271475597,-5.3676599004085084,2.6133330181383583,0.97659270121642905,0.010365856674920798,0.013041442108687714,2.2834292812292642e-16,14.813298729272244,1.7448766992714436e-17,-4,0.91309942566832558,0.76484310589994342,0.0098443955272712845,0.008904142177278097,0,0,0,1
localized_finite,49,-1,1,16,16.095454400312992,27.413191211837834,-7.1822014033266441,2.8543689145620692,0.97621027829685325,0.0079500735457590545,0.015839648157407571,2.6084546503164118e-16,14.813298729272244,3.1501465241880428e-17,-7,0.95471693334100749,0.83521612937340106,0.0056311928634867744,0.012134136277763805,0,0,0,1
localized_finite,49,-1,1,20,16.095845665455428,25.571422329543051,-9.0239702856214272,3.1296488553062218,0.97465798470713982,0.006875433591520784,0.018466581701385335,2.9419124461229338e-16,14.813298729272244,4.567126930978947e-17,-9,0.98150536355594942,0.88298544288539282,0.0045565529092485039,0.014293223473627372,0,0,0,1
localized_finite,49,-1,1,24,16.095853851733182,23.71280521879984,-10.882587396364638,3.4311308321889378,0.9700907536584108,0.0073356915291685259,0.022573554812424484,3.1577473156208455e-16,14.813298729272244,4.8364703140879618e-17,-11,0.96930263633340974,0.85212607670489582,0.0050168108468962476,0.018400196584666524,0,0,0,1
localized_finite,49,-1,1,28,16.095858193264373,21.843459703560217,-12.751932911604261,3.6475724113474244,0.9629166121689211,0.012662562399232767,0.024420825431853387,3.4273763018167285e-16,14.813298729272244,6.5637811405479485e-17,-13,0.94333611241475801,0.81137136983007796,0.010343681716960488,0.02024746720409543,0,0,0,1
localized_finite,49,-1,1,32,16.095571140333217,19.971481738729285,-14.623910876435193,3.6440367142765333,0.95375771583901781,0.019138489214777635,0.027103794946202311,3.6452620234489325e-16,14.813298729272244,5.5273946446719564e-17,-15,0.91827374086300895,0.77497921088951505,0.016819608532505352,0.022930436718444358,0,0,0,1
localized_finite,49,1,0.5,0,4.0880197450679034,14.404607384835515,0,2.3070114643053992,0.99350776108997474,0.0023188806822723035,0.0041733582277579985,2.0507051522043438e-17,3.703324682318061,0,0,1,1,0,0,0,0,0,1
localized_finite,49,1,0.5,4,4.1720010386012021,16.095620554970711,1.6910131701351965,2.3472052881460814,0.9912525402704,0.003348093913086578,0.0053993658165153472,1.5276859010688597e-16,3.703324682318061,4.1572565653782721e-17,2,0.93207204693276702,0.82023202541421925,0.0011905633366627488,0.0012388488905109426,0,0,0,1
localized_finite,49,1,0.5,8,4.0105453507585107,17.974071809455801,3.5694644246202856,2.436028967227144,0.97658858927692105,0.013747340546890583,0.0096640701762090997,1.9202618730872902e-16,3.703324682318061,2.1547470648721186e-17,5,0.90803750731987576,0.75067003406327948,9.2680891702779347e-12,0.0093537671079834163,0,0,0,1
localized_finite,49,1,0.5,12,4.0185335555224926,19.77226728524402,5.3676599004085048,2.6133330181383667,0.97659270121643493,0.010365856674920858,0.013041442108687797,2.2465527531532565e-16,3.703324682318061,5.796738027780971e-18,4,0.91309942566832525,0.76484310589994142,0.0098443955272713383,0.0089041421772781508,0,0,0,1
localized_finite,49,1,0.5,16,4.0238636000780641,21.586808788162156,7.1822014033266406,2.8543689145621349,0.97621027829689788,0.007950073545759417,0.015839648157408296,2.568291718164345e-16,3.703324682318061,2.3421163748609983e-19,7,0.95471693334100749,0.83521612937339962,0.0056311928634871127,0.012134136277764383,0,0,0,1
localized_finite,49,1,0.5,20,4.0239614163636652,23.428577670456946,9.0239702856214308,3.1296488553062964,0.97465798470718634,0.006875433591521111,0.018466581701386216,2.9579560339120584e-16,3.703324682318061,2.0669177008148312e-17,9,0.98150536355594986,0.88298544288539216,0.0045565529092488084,0.014293223473628217,0,0,0,1
localized_finite,49,1,0.5,24,4.0239634629330405,25.287194781200153,10.882587396364638,3.4311308321890461,0.97009075365847242,0.0073356915291689926,0.02257355481242591,3.1262369016418633e-16,3.703324682318061,3.7415309088404448e-17,11,0.96930263633340963,0.85212607670489737,0.0050168108468966873,0.018400196584667915,0,0,0,1
localized_finite,49,1,0.5,28,4.023964548315826,27.156540296439776,12.751932911604261,3.6475724113475456,0.96291661216898483,0.012662562399233612,0.024420825431855021,3.3437623145946728e-16,3.703324682318061,6.2885824665017807e-17,13,0.94333611241475779,0.81137136983007752,0.010343681716961312,0.020247467204097019,0,0,0,1
localized_finite,49,1,0.5,32,4.0238927850834898,29.028518261270705,14.62391087643519,3.6440367142764503,0.95375771583897362,0.019138489214776754,0.027103794946201059,3.6213730085171118e-16,3.703324682318061,7.2254290164461803e-17,15,0.91827374086300873,0.77497921088951305,0.016819608532504454,0.022930436718443057,0,0,0,1
localized_finite,49,1,1,0,16.352078980271614,14.404607384835515,0,2.3070114643053992,0.99350776108997474,0.0023188806822723035,0.0041733582277579985,2.0507051522043438e-17,14.813298729272244,0,0,1,1,0,0,0,0,0,1
localized_finite,49,1,1,4,16.688004154404808,16.095620554970711,1.6910131701351965,2.3472052881460814,0.9912525402704,0.003348093913086578,0.0053993658165153472,1.5276859010688597e-16,14.813298729272244,4.1572565653782721e-17,2,0.93207204693276702,0.82023202541421925,0.0011905633366627488,0.0012388488905109426,0,0,0,1
localized_finite,49,1,1,8,16.042181403034043,17.974071809455801,3.5694644246202856,2.436028967227144,0.97658858927692105,0.013747340546890583,0.0096640701762090997,1.9202618730872902e-16,14.813298729272244,2.1547470648721186e-17,5,0.90803750731987576,0.75067003406327948,9.2680891702779347e-12,0.0093537671079834163,0,0,0,1
localized_finite,49,1,1,12,16.07413422208997,19.77226728524402,5.3676599004085048,2.6133330181383667,0.97659270121643493,0.010365856674920858,0.013041442108687797,2.2465527531532565e-16,14.813298729272244,5.796738027780971e-18,4,0.91309942566832525,0.76484310589994142,0.0098443955272713383,0.0089041421772781508,0,0,0,1
localized_finite,49,1,1,16,16.095454400312256,21.586808788162156,7.1822014033266406,2.8543689145621349,0.97621027829689788,0.007950073545759417,0.015839648157408296,2.568291718164345e-16,14.813298729272244,2.3421163748609983e-19,7,0.95471693334100749,0.83521612937339962,0.0056311928634871127,0.012134136277764383,0,0,0,1
localized_finite,49,1,1,20,16.095845665454661,23.428577670456946,9.0239702856214308,3.1296488553062964,0.97465798470718634,0.006875433591521111,0.018466581701386216,2.9579560339120584e-16,14.813298729272244,2.0669177008148312e-17,9,0.98150536355594986,0.88298544288539216,0.0045565529092488084,0.014293223473628217,0,0,0,1
