k,lambda,delta_eig,tier_eig
0,275.613,-4.1065,relevant
1,38.7673,-1.27677,relevant
2,17.2445,-0.108067,relevant
3,-15.53,nan,n/a
4,-23.6819,nan,n/a
5,null,null,n/a
