k,lambda,delta_eig,tier_eig
0,265.86,-4.05452,relevant
1,125.204,-2.96813,relevant
2,38.0989,-1.25168,relevant
3,-24.3181,nan,n/a
4,-113.802,nan,n/a
5,null,null,n/a
