tag,L,A,gamma,T,thermostat,coupling,seed,n_samples,n_mean,n_min,n_max,k_mean
X,32,4.0000,0.0000,0.00000,off,on,0xE0102000,50,1.0000,1,1,0.062500
X,32,4.0000,0.0000,0.00000,off,on,0xE0102001,50,1.0000,1,1,0.062500
X,32,4.0000,0.0000,0.00000,off,on,0xE0102002,50,1.0000,1,1,0.062500
