tag,L,A,gamma,T,thermostat,coupling,seed,n_samples,n_mean,n_min,n_max,k_mean
G_g0.01,32,30.0000,0.0100,0.00500,on,on,0xE0102000,50,59.0000,59,59,0.065556
G_g0.01,32,30.0000,0.0100,0.00500,on,on,0xE0102001,50,60.0000,60,60,0.066667
G_g0.01,32,30.0000,0.0100,0.00500,on,on,0xE0102002,50,54.0000,54,54,0.060000
