tag,L,A,gamma,T,thermostat,coupling,seed,n_samples,n_mean,n_min,n_max,k_mean
N,32,20.0000,0.0200,0.00500,on,on,0xE0102000,50,28.0000,28,28,0.070000
N,32,20.0000,0.0200,0.00500,on,on,0xE0102001,50,27.0000,27,27,0.067500
N,32,20.0000,0.0200,0.00500,on,on,0xE0102002,50,26.0000,26,26,0.065000
N,32,20.0000,0.0200,0.00500,on,on,0xE0102003,50,29.0000,29,29,0.072500
N,32,20.0000,0.0200,0.00500,on,on,0xE0102004,50,27.0000,27,27,0.067500
