tick,total_density,total_charge,manifested,Q_top,W_R,E_tube,tube_length,monopole_core,centroid_x,centroid_y,centroid_z
250,1174.02,4,4,-5.47428,-0.741383,0,0,0,0,0,0
300,1215.56,4,4,3.25988,1.84599,0,0,0,0,0,0
350,1255.74,4,4,3.62137,-0.442587,0,0,0,0,0,0
400,1447.81,4,4,2.55374,0.568416,0,0,0,0,0,0
450,1383.17,4,4,1.71472,0.896943,0,0,0,0,0,0
500,1453.14,4,4,-2.43205,0.743993,0,0,0,0,0,0
550,1534.99,4,4,-0.0583548,0.784176,0,0,0,0,0,0
600,1486.23,4,4,0.628843,-0.217802,0,0,0,0,0,0
650,1440.62,4,4,-1.28492,-0.956531,0,0,0,0,0,0
700,1392.82,4,4,-2.08226,0.25176,0,0,0,0,0,0
750,1399.16,4,4,1.69598,-0.956077,0,0,0,0,0,0
800,1448.63,4,4,3.70171,0.746313,0,0,0,0,0,0
850,1525.16,4,4,2.74568,0.659297,0,0,0,0,0,0
900,1487.12,4,4,-2.5171,-0.198191,0,0,0,0,0,0
950,1371.66,4,4,-1.19978,0.0154072,0,0,0,0,0,0
1000,1354.6,4,4,-1.56369,-0.467002,0,0,0,0,0,0
1050,1469.01,4,4,2.00089,0.548828,0,0,0,0,0,0
1100,1534.81,4,4,7.51897,-0.941201,0,0,0,0,0,0
1150,1396.62,4,4,0.0698524,0.443293,0,0,0,0,0,0
1200,1342.75,4,4,0.545108,-0.671505,0,0,0,0,0,0
1250,1319.17,4,4,-2.73236,0.940741,0,0,0,0,0,0
1300,1482.5,4,4,-0.0810464,0.384869,0,0,0,0,0,0
1350,1850.73,4,4,0.456345,0.245824,0,0,0,0,0,0
1400,2390.49,4,4,1.51423,0.110591,0,0,0,0,0,0
1450,2847.59,4,4,2.51831,0.30974,0,0,0,0,0,0
1500,2821.1,4,4,-2.63031,0.107594,0,0,0,0,0,0
1550,3196.11,4,4,-1.51957,0.408903,0,0,0,0,0,0
1600,3189.31,4,4,-0.374212,-0.161888,0,0,0,0,0,0
1650,2799.82,4,4,4.37275,-0.113482,0,0,0,0,0,0
1700,2906.38,4,4,0.487056,0.189585,0,0,0,0,0,0
1750,3326.8,4,4,-0.0224178,-0.178743,0,0,0,0,0,0
1800,3785.85,4,4,1.19202,0.862975,0,0,0,0,0,0
1850,3633.93,4,4,-0.639907,-0.187995,0,0,0,0,0,0
1900,3365.06,4,4,-2.82914,0.00638951,0,0,0,0,0,0
1950,3027.77,4,4,-5.16653,-0.478826,0,0,0,0,0,0
2000,3052.88,4,4,-0.87728,0.376793,0,0,0,0,0,0
2050,3065.1,4,4,0.579365,-1.23931,0,0,0,0,0,0
2100,3131.44,4,4,-2.8736,0.666108,0,0,0,0,0,0
2150,3546.79,4,4,-1.16135,-0.564426,0,0,0,0,0,0
2200,4272.02,4,4,5.71298,0.315778,0,0,0,0,0,0
