tick,total_density,total_charge,manifested,Q_top,W_R,E_tube,tube_length,monopole_core,centroid_x,centroid_y,centroid_z
250,1196.58,4,4,3.45496,0.207231,0,0,0,0,0,0
300,1342.87,4,4,4.43292,-0.992132,0,0,0,0,0,0
350,1409.73,4,4,-0.0439211,-0.92236,0,0,0,0,0,0
400,1471.98,4,4,1.7843,-0.194738,0,0,0,0,0,0
450,1677.66,4,4,1.23016,-0.589409,0,0,0,0,0,0
500,1875.5,4,4,5.33673,0.715279,0,0,0,0,0,0
550,1878.13,4,4,2.07345,-0.0760488,0,0,0,0,0,0
600,1750.17,4,4,3.80098,0.175022,0,0,0,0,0,0
650,1580.29,4,4,-1.2246,-0.241643,0,0,0,0,0,0
700,1651.67,4,4,1.93993,-0.0121162,0,0,0,0,0,0
750,1769.83,4,4,-0.324365,-0.271855,0,0,0,0,0,0
800,1612.54,4,4,3.73922,-0.468844,0,0,0,0,0,0
850,1404.31,4,4,-1.28043,0.461729,0,0,0,0,0,0
900,1274.66,4,4,0.726702,1.24612,0,0,0,0,0,0
950,1202.08,4,4,-0.394119,-0.0455877,0,0,0,0,0,0
1000,1232.11,4,4,-3.70325,-0.788414,0,0,0,0,0,0
1050,1156.83,4,4,-2.36647,0.892111,0,0,0,0,0,0
1100,1183.65,4,4,2.82002,0.583869,0,0,0,0,0,0
1150,1206.06,4,4,2.55368,-0.00273496,0,0,0,0,0,0
1200,1128.83,4,4,0.657953,-0.272522,0,0,0,0,0,0
1250,1139.55,4,4,-2.63273,0.3222,0,0,0,0,0,0
1300,1101.7,4,4,-2.16477,-0.411999,0,0,0,0,0,0
1350,1105.29,4,4,0.272506,0.0604239,0,0,0,0,0,0
1400,1346.99,4,4,-0.925355,0.0361969,0,0,0,0,0,0
1450,1606.41,4,4,-2.20533,0.330561,0,0,0,0,0,0
1500,1832.47,4,4,4.40848,0.00207312,0,0,0,0,0,0
1550,1881.5,4,4,1.27194,0.179408,0,0,0,0,0,0
1600,2111.54,4,4,4.91356,0.439432,0,0,0,0,0,0
1650,2066.3,4,4,-1.83705,0.910983,0,0,0,0,0,0
1700,1907.13,4,4,1.93394,-0.179794,0,0,0,0,0,0
1750,2009.68,4,4,0.542106,-0.199044,0,0,0,0,0,0
1800,2292.04,4,4,-2.56853,-0.108719,0,0,0,0,0,0
1850,2375.83,4,4,-0.0355685,0.704952,0,0,0,0,0,0
1900,1991.84,4,4,-1.755,-0.402024,0,0,0,0,0,0
1950,1904.6,4,4,-3.79076,-0.0563488,0,0,0,0,0,0
2000,1677.61,4,4,-1.84971,-0.424567,0,0,0,0,0,0
2050,1674.76,4,4,-2.20848,1.18778,0,0,0,0,0,0
2100,1837.58,4,4,-0.133555,0.474011,0,0,0,0,0,0
2150,2249.41,4,4,0.631474,0.0445471,0,0,0,0,0,0
2200,2841.31,4,4,-3.7762,0.069688,0,0,0,0,0,0
