r,axis,grad_divJ_mag,density,div_J,state
1.38564065e+01,+xyz,1.18239071e-06,1.24200681e-04,5.02646655e-06,0
1.55884573e+01,+xyz,1.31374637e-06,9.15435345e-05,3.73298083e-06,0
1.73205081e+01,+xyz,9.34829551e-08,7.30963416e-05,2.42303135e-06,0
1.90525589e+01,+xyz,2.74253933e-07,5.55877927e-05,2.79729962e-06,0
2.07846097e+01,+xyz,2.06407712e-10,4.50146727e-05,3.03899869e-06,0
2.25166605e+01,+xyz,6.48882838e-08,3.61968610e-05,2.93374444e-06,0
2.42487113e+01,+xyz,4.34808398e-09,3.21901543e-05,2.87540919e-06,0
2.59807621e+01,+xyz,6.61929538e-09,2.52935461e-05,2.88728089e-06,0
2.77128129e+01,+xyz,4.21850602e-09,1.97113121e-05,2.88605964e-06,0
2.94448637e+01,+xyz,7.07687151e-09,1.43320914e-05,2.87927735e-06,0
3.11769145e+01,+xyz,2.17225409e-09,1.26147200e-05,2.86343526e-06,0
3.29089653e+01,+xyz,2.35824965e-09,1.14458996e-05,2.86967476e-06,0
3.46410162e+01,+xyz,2.06099326e-09,7.76946956e-06,2.85445121e-06,0
3.63730670e+01,+xyz,1.03189405e-09,4.52524337e-06,2.86232368e-06,0
3.81051178e+01,+xyz,1.84462237e-09,4.01075505e-06,2.85049275e-06,0
3.98371686e+01,+xyz,8.34334418e-10,5.76169962e-07,2.85531274e-06,0
