stencil,valid_n,ratio_mean,ratio_stderr,sum_mean,sum_stderr
SC,5,56.8297,33.7361,0.0572419,0.0210175
FCC,5,8.7241,2.14587,0.0264092,0.005264
BCC,5,10.3105,4.23578,0.0208685,0.0022856
FULL,7,17.4545,4.11914,0.0434144,0.00643205
