stencil,seed,L,T,gamma,N_burn,N_measure,x_plus,x_minus,sum,ratio,valid_prony,prony_failure
SC,1,32,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
SC,2,32,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
SC,3,32,0.005,0.05,500,2000,-0.000157594,-0.00888216,-0.00903975,0,1,""
SC,4,32,0.005,0.05,500,2000,0.0552486,0.00170161,0.0569502,32.4684,1,""
SC,5,32,0.005,0.05,500,2000,0.0327387,0.000852988,0.0335916,38.3811,1,""
SC,6,32,0.005,0.05,500,2000,0.0428474,0.00239863,0.045246,17.8632,1,""
SC,7,32,0.005,0.05,500,2000,0.0119103,0.00212189,0.0140322,5.61307,1,""
SC,8,32,0.005,0.05,500,2000,0.135675,0.000714745,0.13639,189.823,1,""
FCC,1,32,0.005,0.05,500,2000,0.0219112,0.00260851,0.0245198,8.39991,1,""
FCC,2,32,0.005,0.05,500,2000,0.0111066,0.00147559,0.0125822,7.5269,1,""
FCC,3,32,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
FCC,4,32,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
FCC,5,32,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
FCC,6,32,0.005,0.05,500,2000,0.0173372,0.00211198,0.0194492,8.20897,1,""
FCC,7,32,0.005,0.05,500,2000,0.024618,0.00793897,0.0325569,3.1009,1,""
FCC,8,32,0.005,0.05,500,2000,0.0404681,0.00247,0.0429381,16.3838,1,""
BCC,1,32,0.005,0.05,500,2000,0.0152639,0.00460316,0.019867,3.31596,1,""
BCC,2,32,0.005,0.05,500,2000,0.0134507,0.00193775,0.0153884,6.94137,1,""
BCC,3,32,0.005,0.05,500,2000,0.0271532,0.00113113,0.0282843,24.0054,1,""
BCC,4,32,0.005,0.05,500,2000,0.0100988,0.00730131,0.0174001,1.38315,1,""
BCC,5,32,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
BCC,6,32,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
BCC,7,32,0.005,0.05,500,2000,0.0220182,0.00138424,0.0234025,15.9064,1,""
BCC,8,32,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
FULL,1,32,0.005,0.05,500,2000,0.0573175,0.00428949,0.061607,13.3623,1,""
FULL,2,32,0.005,0.05,500,2000,0.0281769,0.00122474,0.0294016,23.0064,1,""
FULL,3,32,0.005,0.05,500,2000,0.0610458,0.00160956,0.0626554,37.9269,1,""
FULL,4,32,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
FULL,5,32,0.005,0.05,500,2000,0.0456845,0.00530538,0.0509899,8.61098,1,""
FULL,6,32,0.005,0.05,500,2000,0.0155485,0.00331748,0.018866,4.68686,1,""
FULL,7,32,0.005,0.05,500,2000,0.0296897,0.00157746,0.0312672,18.8213,1,""
FULL,8,32,0.005,0.05,500,2000,0.0461842,0.00292926,0.0491134,15.7665,1,""
