tick,total_energy,manifested,positive,negative,n_clusters,max_cluster_voxels,total_cluster_energy
250,11195.1,0,0,0,0,0,0
300,12202.5,0,0,0,0,0,0
350,12502.1,0,0,0,0,0,0
400,12657.8,0,0,0,0,0,0
450,12788.2,0,0,0,0,0,0
500,11933.5,0,0,0,0,0,0
550,11004.9,0,0,0,0,0,0
600,10706.2,0,0,0,0,0,0
650,10434.2,0,0,0,0,0,0
700,10666.2,0,0,0,0,0,0
750,10961.9,0,0,0,0,0,0
800,13100,0,0,0,0,0,0
850,14540,0,0,0,0,0,0
900,14294.7,0,0,0,0,0,0
950,12197.2,0,0,0,0,0,0
1000,12562.4,0,0,0,0,0,0
1050,12922.1,0,0,0,0,0,0
1100,14554.3,0,0,0,0,0,0
1150,18688.1,0,0,0,0,0,0
1200,21037,1,0,1,1,1,1.18243
1250,20813.5,2,1,1,2,1,0.624432
1300,18454.4,2,1,1,2,1,1.22864
1350,17930.4,3,2,1,3,1,1.6941
1400,16768,3,2,1,3,1,1.33612
1450,18307.8,3,2,1,3,1,2.0656
1500,18824.9,3,2,1,3,1,0.559768
1550,17757,3,2,1,3,1,1.05304
1600,17142.5,3,2,1,3,1,0.813403
1650,15742.3,3,2,1,3,1,0.866019
1700,15536.4,3,2,1,3,1,2.0471
1750,17085.6,3,2,1,3,1,0.951075
1800,17715.5,3,2,1,3,1,1.00338
1850,19823.4,4,3,1,4,1,1.8168
1900,17040.4,4,3,1,4,1,1.64008
1950,14893.8,4,3,1,4,1,0.700037
2000,14293.4,4,3,1,4,1,0.793431
2050,16003.4,4,3,1,4,1,1.2073
2100,16790.7,4,3,1,4,1,0.90028
2150,15118.7,4,3,1,4,1,0.995174
2200,15499.9,4,3,1,4,1,1.94794
2250,14968.2,4,3,1,4,1,1.86161
2300,13754.5,4,3,1,4,1,1.56592
2350,12708.5,4,3,1,4,1,0.625344
2400,12781.9,4,3,1,4,1,1.71326
2450,12758.3,4,3,1,4,1,1.27304
2500,13841.7,4,3,1,4,1,0.92275
2550,14672.2,4,3,1,4,1,0.498226
2600,14933.8,4,3,1,4,1,0.840856
2650,16120.8,4,3,1,4,1,0.665504
2700,16455.9,4,3,1,4,1,0.750128
2750,15464.4,4,3,1,4,1,1.36491
2800,13988.5,4,3,1,4,1,0.576012
2850,15597.9,4,3,1,4,1,1.2177
2900,16087,4,3,1,4,1,1.08525
2950,14053.9,4,3,1,4,1,1.23837
3000,13097.8,4,3,1,4,1,1.09125
3050,12164.2,4,3,1,4,1,0.725305
3100,11796.8,4,3,1,4,1,1.32304
3150,11974.9,4,3,1,4,1,1.05323
3200,12405,4,3,1,4,1,0.384085
3250,13301.5,4,3,1,4,1,0.780086
3300,13500.1,4,3,1,4,1,0.897452
3350,13148,4,3,1,4,1,1.29389
3400,11842.7,4,3,1,4,1,0.961363
3450,12303.6,4,3,1,4,1,1.17906
3500,11741.6,4,3,1,4,1,0.560455
3550,11572.2,4,3,1,4,1,1.35534
3600,12636.6,4,3,1,4,1,0.754262
3650,13170.3,4,3,1,4,1,1.30016
3700,12598.5,4,3,1,4,1,0.621913
3750,11325.4,4,3,1,4,1,0.563498
3800,10956.7,4,3,1,4,1,0.611497
3850,10559.7,4,3,1,4,1,0.46049
3900,10541.1,4,3,1,4,1,0.595561
3950,10207.2,4,3,1,4,1,0.581772
4000,9981.36,4,3,1,4,1,0.482733
4050,9749.87,4,3,1,4,1,0.941186
4100,10925.6,4,3,1,4,1,0.59403
4150,13440.3,4,3,1,4,1,1.63802
4200,16619.8,4,3,1,4,1,0.920262
4250,19770.9,4,3,1,4,1,2.28496
4300,23759.2,7,3,4,7,1,3.68375
4350,28428.8,25,14,11,25,1,19.0043
4400,30776.7,89,35,54,75,2,78.0445
4450,36427.4,411,201,210,238,12,418.753
4500,50067.1,3649,1828,1821,241,2791,5405.64
4550,141161,32647,16790,15857,1,32647,129609
4600,135416,32756,16847,15909,1,32756,126595
4650,128861,32760,16848,15912,1,32760,120872
4700,124572,32760,16848,15912,1,32760,116880
4750,129327,32760,16848,15912,1,32760,121751
4800,131443,32761,16849,15912,1,32761,123904
4850,135428,32761,16849,15912,1,32761,127924
4900,133579,32763,16850,15913,1,32763,126123
4950,134553,32763,16850,15913,1,32763,127074
5000,142538,32764,16850,15914,1,32764,135058
5050,146347,32765,16850,15915,1,32765,138789
5100,150434,32765,16850,15915,1,32765,142869
5150,156653,32767,16850,15917,1,32767,149163
5200,153213,32767,16850,15917,1,32767,145707
