tick,total_energy,manifested,positive,negative,n_clusters,max_cluster_voxels,total_cluster_energy
250,11701.6,0,0,0,0,0,0
300,14048.4,0,0,0,0,0,0
350,15049.6,0,0,0,0,0,0
400,14172.6,0,0,0,0,0,0
450,13775.7,0,0,0,0,0,0
500,12937.9,0,0,0,0,0,0
550,13910.6,0,0,0,0,0,0
600,14997.7,0,0,0,0,0,0
650,15778.6,0,0,0,0,0,0
700,18273.5,0,0,0,0,0,0
750,20128.9,2,1,1,2,1,0.462653
800,18982.8,6,5,1,6,1,3.05038
850,18705,7,6,1,7,1,2.56778
900,21004.3,7,6,1,7,1,2.89843
950,23145,10,7,3,10,1,5.72563
1000,27374.1,29,16,13,26,2,21.6932
1050,26593.7,69,33,36,57,4,46.2472
1100,24599.9,90,42,48,74,4,53.7894
1150,23953.6,100,47,53,77,4,58.2533
1200,22812.1,109,54,55,83,4,61.9104
1250,22622,121,60,61,90,4,64.956
1300,20645.3,125,62,63,92,4,59.1457
1350,19725.7,126,62,64,92,4,55.0756
1400,18316.9,128,63,65,92,4,49.093
1450,16272.3,128,63,65,92,4,43.6405
1500,16280.1,128,63,65,92,4,42.1061
1550,15603.1,128,63,65,92,4,40.9036
1600,16896,128,63,65,92,4,47.1673
1650,18770.8,128,63,65,92,4,50.4241
1700,20621.6,130,65,65,92,4,65.4214
1750,23906.1,137,70,67,96,4,74.8095
1800,30142,195,103,92,130,4,159.148
1850,37022.2,628,311,317,311,11,662.049
1900,77574.9,14094,7164,6930,11,14084,32300.3
1950,141020,32704,16242,16462,1,32704,130361
2000,143655,32760,16277,16483,1,32760,135062
2050,142746,32766,16280,16486,1,32766,134943
2100,134623,32767,16280,16487,1,32767,127039
2150,137806,32767,16280,16487,1,32767,130236
2200,141293,32767,16280,16487,1,32767,133746
2250,149144,32767,16280,16487,1,32767,141641
2300,144290,32768,16281,16487,1,32768,136836
2350,147885,32768,16281,16487,1,32768,140368
2400,154883,32768,16281,16487,1,32768,147420
2450,166038,32768,16281,16487,1,32768,158611
2500,168383,32768,16281,16487,1,32768,160882
2550,177842,32768,16281,16487,1,32768,170364
2600,181655,32768,16281,16487,1,32768,174209
2650,181066,32768,16281,16487,1,32768,173641
2700,175407,32768,16281,16487,1,32768,167960
