k,d,l,m,A_N,R_N,lambda_max,log_psi,hits_1e-03,hits_1e-04,hits_1e-05,hits_1e-06,alpha_inv_rel_residual
2,3,6,2,4.3823694988227305e-5,1.000099619616038169678411,137.0358636717561117971292,-1.0462081795717003e-5,1,1,1,1,9.881508859e-7
2,3,6,3,4.3823694987694346e-5,1.000099619616037636719635,137.0358636717561134451515,-1.0462081795674591e-5,1,1,1,1,9.881508858e-7
2,3,6,4,4.3823694987161387e-5,1.000099619616037103760859,137.0358636717561150931737,-1.046208179563218e-5,1,1,1,1,9.881508858e-7
2,3,6,5,4.3823694986628429e-5,1.000099619616036570802083,137.035863671756116741196,-1.0462081795589768e-5,1,1,1,1,9.881508858e-7
2,3,6,6,4.382369498609547e-5,1.000099619616036037843307,137.0358636717561183892183,-1.0462081795547357e-5,1,1,1,1,9.881508858e-7
2,3,6,7,4.3823694985562511e-5,1.000099619616035504884531,137.0358636717561200372405,-1.0462081795504945e-5,1,1,1,1,9.881508858e-7
2,3,6,8,4.3823694985029552e-5,1.000099619616034971925755,137.0358636717561216852628,-1.0462081795462534e-5,1,1,1,1,9.881508858e-7
2,3,7,2,4.38236949892909e-5,1.000099619616039233273666,137.0358636717561085082657,-1.0462081795801667e-5,1,1,1,1,9.881508859e-7
2,3,7,3,4.3823694989289739e-5,1.000099619616039232112518,137.0358636717561085118562,-1.0462081795801588e-5,1,1,1,1,9.881508859e-7
2,3,7,4,4.3823694989288578e-5,1.00009961961603923095137,137.0358636717561085154467,-1.0462081795801509e-5,1,1,1,1,9.881508859e-7
2,3,7,5,4.3823694989287417e-5,1.000099619616039229790221,137.0358636717561085190373,-1.046208179580143e-5,1,1,1,1,9.881508859e-7
2,3,7,6,4.3823694989286256e-5,1.000099619616039228629073,137.0358636717561085226278,-1.046208179580135e-5,1,1,1,1,9.881508859e-7
2,3,7,7,4.3823694989285094e-5,1.000099619616039227467925,137.0358636717561085262183,-1.0462081795801271e-5,1,1,1,1,9.881508859e-7
2,3,7,8,4.3823694989283933e-5,1.000099619616039226306776,137.0358636717561085298088,-1.0462081795801192e-5,1,1,1,1,9.881508859e-7
2,3,8,2,4.3823694989293218e-5,1.000099619616039235591007,137.0358636717561085011,-1.0462081795801825e-5,1,1,1,1,9.881508859e-7
2,3,8,3,4.3823694989293215e-5,1.000099619616039235588528,137.0358636717561085011077,-1.0462081795801825e-5,1,1,1,1,9.881508859e-7
2,3,8,4,4.3823694989293213e-5,1.00009961961603923558605,137.0358636717561085011153,-1.0462081795801825e-5,1,1,1,1,9.881508859e-7
2,3,8,5,4.382369498929321e-5,1.000099619616039235583572,137.035863671756108501123,-1.0462081795801825e-5,1,1,1,1,9.881508859e-7
2,3,8,6,4.3823694989293208e-5,1.000099619616039235581094,137.0358636717561085011306,-1.0462081795801825e-5,1,1,1,1,9.881508859e-7
2,3,8,7,4.3823694989293205e-5,1.000099619616039235578616,137.0358636717561085011383,-1.0462081795801825e-5,1,1,1,1,9.881508859e-7
2,3,8,8,4.3823694989293203e-5,1.000099619616039235576138,137.035863671756108501146,-1.0462081795801824e-5,1,1,1,1,9.881508859e-7
2,4,2,2,2.9215796659528815e-5,1.000085011717709471188459,137.0359088424797617581333,-6.9747211972012171e-6,1,1,1,1,6.585241896e-7
2,4,2,3,1.4607898329764408e-5,1.000070403819379706780956,137.0359540131729640445103,-3.4873605986006085e-6,1,1,1,1,3.288977155e-7
2,4,2,4,0.0,1.000055795921049942373452,137.0359991838357154217997,0.0,1,1,1,1,7.285364144e-10
2,4,2,5,-1.4607898329764408e-5,1.000041188022720177965948,137.0360443544680159515847,3.4873605986006085e-6,1,1,1,1,3.303545661e-7
