x,y,density,Jx,Jy,Jz,state
12,7,7.25512890e-03,-7.20187581e-03,-8.77428121e-04,-4.01205356e-19,0
12,8,9.81706060e-03,-9.77849171e-03,-8.69355326e-04,-5.21876218e-19,0
12,9,6.79306363e-03,-6.78413232e-03,-3.48226988e-04,-1.36667362e-09,0
12,10,3.22737575e-02,3.22505090e-02,1.22478232e-03,-1.17426266e-07,0
12,11,1.59610613e-01,1.59610472e-01,-2.11710706e-04,-3.27539973e-06,0
12,12,2.54927534e-01,2.54886021e-01,4.60025445e-03,-4.02383904e-05,0
12,13,8.28672953e-02,-7.03151380e-02,4.38487784e-02,-2.33728683e-04,0
12,14,6.75216640e-01,-6.70934509e-01,7.59205508e-02,-6.81833485e-04,0
12,15,2.79885511e-01,-2.78957533e-01,2.27280458e-02,-1.42484249e-03,0
12,16,7.37409669e-01,7.36855769e-01,-2.85753786e-02,-2.06806653e-04,-1
12,17,1.69218776e-01,-1.63698635e-01,-4.28485416e-02,1.32426177e-03,-1
12,18,5.16909278e-01,-5.16764730e-01,-1.21985100e-02,7.82369734e-04,0
12,19,1.20178581e-01,-9.95937203e-02,-6.72598853e-02,2.99963781e-04,0
12,20,2.42155957e-01,2.41191356e-01,-2.15924164e-02,6.84822200e-05,0
12,21,1.60757971e-01,1.60738808e-01,-2.48205989e-03,8.94602398e-06,0
12,22,3.31141377e-02,3.31004619e-02,-9.51598270e-04,6.86010477e-07,0
12,23,6.70741346e-03,-6.67376023e-03,-6.71058659e-04,2.91212896e-08,0
12,24,9.81307954e-03,-9.81067894e-03,2.17045207e-04,5.26633820e-10,0
12,25,7.26736176e-03,-7.25000019e-03,5.02039999e-04,-2.63569462e-19,0
12,26,5.06307171e-03,-5.03453567e-03,5.36792157e-04,-1.53585513e-19,0
12,27,3.50010037e-03,-3.46717100e-03,4.78986283e-04,-1.79126534e-19,0
12,28,2.43064130e-03,-2.39958986e-03,3.87279787e-04,2.91511878e-20,0
12,29,1.71399791e-03,-1.69121489e-03,2.78533709e-04,1.31462516e-20,0
12,30,1.25697005e-03,-1.24517940e-03,1.71761381e-04,6.31646712e-21,0
12,31,1.00148092e-03,-9.99096398e-04,6.90681841e-05,1.01275607e-20,0
13,0,8.07051959e-04,-8.06603532e-04,-2.68999506e-05,1.85858356e-20,0
13,1,9.16744703e-04,-8.70048274e-04,-2.88854380e-04,-2.10796290e-20,0
13,2,1.23069549e-03,-1.08332322e-03,-5.83971053e-04,1.13749001e-20,0
13,3,1.75486953e-03,-1.47986458e-03,-9.43169075e-04,3.54300844e-20,0
13,4,2.54301659e-03,-2.12259420e-03,-1.40054533e-03,8.01751201e-20,0
13,5,3.69485009e-03,-3.11285671e-03,-1.99048745e-03,1.14350305e-19,0
13,6,5.35959577e-03,-4.60477869e-03,-2.74249522e-03,-1.44339994e-19,0
13,7,7.76528245e-03,-6.81577014e-03,-3.72087206e-03,6.30838641e-20,0
13,8,1.07438441e-02,-9.64321599e-03,-4.73693681e-03,1.05359440e-18,0
13,9,1.02154164e-02,-8.82455013e-03,-5.14607105e-03,-2.57584540e-09,0
13,10,2.15118612e-02,2.14518633e-02,-1.60553159e-03,-1.26002270e-07,0
13,11,1.39067534e-01,1.37198674e-01,2.27222948e-02,-2.44515470e-06,0
13,12,2.80500966e-01,2.64099330e-01,9.45110329e-02,-2.46006929e-05,0
13,13,1.54057479e-01,1.00779262e-02,1.53727425e-01,-1.45877541e-04,0
13,14,6.09227994e-01,-6.05641249e-01,-6.60083873e-02,-5.64288583e-04,0
13,15,7.71459351e-01,-7.36325458e-01,-2.30156938e-01,-1.46067289e-03,0
13,16,3.77435665e-02,-3.52192710e-02,-1.35640375e-02,-4.43449013e-04,-1
13,17,5.43234185e-01,-4.70086784e-01,2.72252183e-01,7.37628304e-04,0
13,18,6.74832652e-01,-6.72189325e-01,5.96688197e-02,5.00462942e-04,0
13,19,1.46127219e-01,-5.59128370e-02,-1.35007007e-01,1.63807803e-04,0
13,20,2.84988108e-01,2.62540666e-01,-1.10863065e-01,3.00890923e-05,0
13,21,1.43509849e-01,1.41152029e-01,-2.59071685e-02,3.15384517e-06,0
13,22,2.15479684e-02,2.14865615e-02,1.62561191e-03,1.72023748e-07,0
13,23,9.94942950e-03,-9.15127487e-03,3.90452502e-03,3.73251558e-09,0
13,24,1.06535224e-02,-9.82209037e-03,4.12602483e-03,-6.76828792e-19,0
13,25,7.73584085e-03,-6.97100930e-03,3.35384301e-03,-3.32023833e-19,0
13,26,5.33400360e-03,-4.72398982e-03,2.47699708e-03,-4.82605175e-20,0
13,27,3.67818992e-03,-3.20019355e-03,1.81324084e-03,-1.21738232e-19,0
13,28,2.53001801e-03,-2.18487851e-03,1.27565554e-03,1.02888355e-19,0
13,29,1.74544325e-03,-1.52227623e-03,8.53959729e-04,2.21708907e-20,0
13,30,1.22343492e-03,-1.10960302e-03,5.15338862e-04,1.26679155e-20,0
13,31,9.12466195e-04,-8.82609664e-04,2.31505375e-04,-2.94126101e-20,0
14,0,6.01332549e-04,-6.01013849e-04,-1.95751905e-05,5.71028136e-20,0
14,1,7.67342602e-04,-6.46112319e-04,-4.13948717e-04,-5.90464984e-22,0
14,2,1.17979164e-03,-8.05535014e-04,-8.61987032e-04,5.94815751e-20,0
14,3,1.80127274e-03,-1.10675136e-03,-1.42115619e-03,6.60756889e-20,0
14,4,2.68846973e-03,-1.60182703e-03,-2.15917106e-03,1.93843342e-19,0
14,5,3.95547590e-03,-2.37978916e-03,-3.15949255e-03,2.23076961e-19,0
14,6,5.79105441e-03,-3.58960531e-03,-4.54434208e-03,2.60496302e-19,0
14,7,8.46857206e-03,-5.46055379e-03,-6.47294871e-03,4.83076595e-19,0
14,8,1.22671454e-02,-8.24843246e-03,-9.07998994e-03,7.01887376e-19,0
14,9,1.57395501e-02,-1.04857233e-02,-1.17381022e-02,-3.46602875e-19,0
14,10,1.26977238e-02,1.86641133e-03,-1.25598048e-02,-1.56274814e-08,0
14,11,7.72665134e-02,7.59418726e-02,1.42459146e-02,-6.19009448e-07,0
14,12,2.46210357e-01,2.12395996e-01,1.24529035e-01,-8.90547942e-06,0
14,13,3.07461998e-01,1.39883862e-01,2.73798068e-01,-5.88581602e-05,0
14,14,3.91811846e-01,-3.44533311e-01,1.86583166e-01,-2.06173595e-04,0
14,15,6.38391987e-01,-6.33842384e-01,-7.60785930e-02,-4.56392412e-04,0
14,16,4.41181420e-01,-4.40966714e-01,-1.37600892e-02,-2.50314651e-04,0
14,17,6.67917130e-01,-6.63524717e-01,7.64735454e-02,1.96040267e-04,0
14,18,4.13857029e-01,-3.82622053e-01,-1.57727569e-01,1.37959541e-04,0
14,19,3.06540442e-01,1.22908192e-01,-2.80821327e-01,3.86748658e-05,0
14,20,2.55432831e-01,2.13705152e-01,-1.39914399e-01,5.73576730e-06,0
14,21,7.83863302e-02,7.67708802e-02,-1.58318890e-02,4.13801195e-07,0
14,22,1.11702608e-02,6.84614137e-04,1.11492614e-02,1.11633742e-08,0
14,23,1.54865318e-02,-1.11034931e-02,1.07956060e-02,-1.18033835e-19,0
14,24,1.21859191e-02,-8.62538665e-03,8.60809678e-03,-1.40717782e-18,0
14,25,8.41412265e-03,-5.73463639e-03,6.15722384e-03,9.17457512e-20,0
14,26,5.75144597e-03,-3.77545562e-03,4.33878619e-03,-3.80827632e-19,0
14,27,3.92490609e-03,-2.50798091e-03,3.01909251e-03,1.42458342e-19,0
14,28,2.66756741e-03,-1.68843729e-03,2.06521075e-03,-8.69106498e-20,0
14,29,1.78533044e-03,-1.16387518e-03,1.35380920e-03,6.63287068e-20,0
14,30,1.16802860e-03,-8.40163962e-04,8.11427952e-04,5.69360499e-20,0
14,31,7.59785098e-04,-6.62449277e-04,3.72067670e-04,-1.54983572e-20,0
15,0,3.20970143e-04,-3.20796284e-04,-1.05629930e-05,-6.00174857e-20,0
15,1,5.99246600e-04,-3.40113304e-04,-4.93375545e-04,-3.92302018e-20,0
15,2,1.12619712e-03,-4.20844025e-04,-1.04461010e-03,1.13617389e-19,0
15,3,1.83283761e-03,-5.77554157e-04,-1.73946109e-03,5.53888056e-20,0
15,4,2.80226575e-03,-8.39422630e-04,-2.67358617e-03,5.03240209e-21,0
