x,y,density,Jx,Jy,Jz,state
0,0,9.75085859e-07,1.73624056e-07,9.59503579e-07,9.96529611e-20,0
0,1,5.10816096e-04,-5.14550068e-06,5.10790179e-04,1.26425458e-20,0
0,2,1.03508175e-03,-1.05537651e-05,1.03502795e-03,1.12504872e-19,0
0,3,1.58585596e-03,-1.62188680e-05,1.58577302e-03,-1.39195691e-20,0
0,4,2.17076291e-03,-2.22195366e-05,2.17064919e-03,-1.10735505e-19,0
0,5,2.79003415e-03,-2.85574483e-05,2.78988800e-03,7.26223894e-20,0
0,6,3.43342900e-03,-3.50668151e-05,3.43324992e-03,-1.21157875e-19,0
0,7,4.07574714e-03,-4.14110654e-05,4.07553676e-03,-7.58640886e-20,0
0,8,4.67407494e-03,-4.70845822e-05,4.67383778e-03,-1.72498796e-19,0
0,9,5.16285156e-03,-5.10934540e-05,5.16259874e-03,-1.77556085e-19,0
0,10,5.45665930e-03,-5.26008473e-05,5.45640576e-03,7.97161256e-19,0
0,11,5.45347643e-03,-4.98141867e-05,5.45324891e-03,-8.18167159e-19,0
0,12,5.05648044e-03,-4.17410464e-05,5.05630815e-03,7.27484842e-20,0
0,13,4.22318250e-03,-2.68530385e-05,4.22309712e-03,-5.22328063e-19,0
0,14,3.01058058e-03,-4.59153214e-06,3.01057708e-03,-2.40443404e-19,0
0,15,1.55738454e-03,2.13653640e-05,1.55723798e-03,-5.21419220e-19,0
0,16,5.05470178e-05,4.91748159e-05,-1.16977987e-05,-6.12905873e-19,0
0,17,1.58057423e-03,7.46050790e-05,-1.57881252e-03,-1.34342952e-19,0
0,18,3.02863252e-03,9.42448682e-05,-3.02716581e-03,-7.83024404e-19,0
0,19,4.23418952e-03,1.06134471e-04,-4.23285913e-03,-3.68239486e-19,0
0,20,5.06010731e-03,1.07697337e-04,-5.05896109e-03,-6.94028113e-19,0
0,21,5.45115298e-03,1.02533181e-04,-5.45018860e-03,-2.62597352e-19,0
0,22,5.45033246e-03,9.21785163e-05,-5.44955292e-03,1.67575306e-19,0
0,23,5.15446295e-03,7.99086801e-05,-5.15384351e-03,1.71407702e-19,0
0,24,4.66528557e-03,6.69757919e-05,-4.66480478e-03,-1.98618618e-19,0
0,25,4.06753756e-03,5.46812027e-05,-4.06716999e-03,-2.00209015e-19,0
0,26,3.42640831e-03,4.35121167e-05,-3.42613201e-03,-2.66360100e-19,0
0,27,2.78435739e-03,3.37084686e-05,-2.78415333e-03,-9.60510940e-20,0
0,28,2.16637249e-03,2.52120966e-05,-2.16622578e-03,2.07377218e-20,0
0,29,1.58253125e-03,1.78676439e-05,-1.58243037e-03,-3.89541088e-19,0
0,30,1.03253832e-03,1.14222919e-05,-1.03247513e-03,-1.39630319e-19,0
0,31,5.08744235e-04,5.61402817e-06,-5.08713258e-04,1.60466442e-19,0
