backend_label,actual_backend,L,seed,dx,dy,dz,n,tick,omega,tau,target_transition,phase_error,initial_source_real,initial_source_imag,initial_occupancy,initial_signed_state,source_before_real,source_before_imag,expected_loss_real,expected_loss_imag,predicted_next_real,predicted_next_imag,source_after_real,source_after_imag,source_hazard,expected_removals,removal_variance,actual_removed,occupancy_before,occupancy_after,signed_state_after,eligible_sites,mean_site_probability,min_site_probability,max_site_probability,mean_local_energy,max_local_energy,plane_closure_rel,history_evaporation,history_other,history_required,history_enabled,toggles_valid,structural_valid,execution_valid
windows_msvc_cpu,cpu,48,0,1,0,0,1,0,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.041666666666667712,-0.6357104870107374,0.0041504190709353711,-0.063323158293195736,0.037516247595732341,-0.57238732871754161,0.038188478406081819,-0.57235703104505364,0.099610057702455609,10740.600192126692,9690.3557669441871,10716,110592,99876,-8,110592,0.097119142362256702,0.070982009395745213,0.10000000000000001,0.0085135779917164239,0.087568230771977076,0,10716,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,1,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.038188478406082992,-0.5723570310448941,0.0035905079950558959,-0.053868212152768748,0.034597970411027093,-0.51848881889212539,0.035231293274979182,-0.51664667648022744,0.094116026144212966,8672.3458483514733,7871.7295595656051,8936,99876,90940,32,99876,0.086831129083578373,0.016991968737970611,0.10000000000000001,0.05318474868477735,0.45284126746434444,0,8936,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,2,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.03523129327498209,-0.51664667647985407,0.003052475657806301,-0.044825126119951472,0.032178817617175788,-0.47182155035990259,0.032077997394034226,-0.47168224046883372,0.086761107122926867,6915.0371163043301,6316.3406228471813,6951,90940,83989,-5,90940,0.076039554830705194,0.0013391070959202708,0.099960338454094591,0.13900071900550398,1.1019790666398943,0,6951,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,3,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.032077997394037015,-0.47168224046855184,0.0026286814902986332,-0.038514813939138456,0.029449315903738383,-0.43316742652941337,0.028990969139275683,-0.43307817127002529,0.081655499390026559,5730.0788840652858,5252.8155199504872,5744,83989,78245,-5,83989,0.068224158926350906,4.2415276710763494e-05,0.099013785761606216,0.26613635014760134,1.9840007478079218,0,5744,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,4,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.028990969139277664,-0.43307817126985065,0.0022338843004548925,-0.033540645077705364,0.026757084838822772,-0.39953752619214528,0.026708819706776667,-0.39918015433244886,0.077445340759604159,4835.0982435513743,4443.6933277206499,4893,78245,73352,-30,78245,0.061794341409053287,7.4416499070794988e-07,0.097228393156376075,0.44985456619256775,3.0169545931133666,0,4893,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,5,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.026708819706778755,-0.39918015433232668,0.00198290585020287,-0.02968788449313757,0.024725913856575885,-0.36949226983918909,0.024580786544862274,-0.36932455869518843,0.074371563666633292,4153.9952054427295,3819.8270788079553,4176,73352,69176,-82,73352,0.056630974008107883,6.3074076730958148e-09,0.097150683720321207,0.69961225111306347,4.2357881904233388,0,4176,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,6,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.024580786544863217,-0.36932455869505104,0.0016817729499617928,-0.02545534549193158,0.022899013594901426,-0.34386921320311947,0.022519366995278928,-0.34420082834536042,0.06892182215356181,3462.3747544324324,3193.5362478874049,3430,69176,65746,-102,69176,0.050051676223436342,3.9406969106977754e-11,0.095774273958903589,1.0381360455825508,5.532546637724117,0,3430,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,7,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.022519366995280635,-0.34420082834526838,0.0014245511572902624,-0.021886419529694764,0.021094815837990371,-0.32231440881557361,0.021035175428311226,-0.32266044355262952,0.063584795924951046,2897.4878015400172,2678.8689321230713,2864,65746,62882,-88,65746,0.0440709366583521,1.7620018528519039e-13,0.094620578879815759,1.4592570800588804,6.9147772873055784,0,2864,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,8,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.021035175428313596,-0.32266044355252932,0.0012475094889869676,-0.018889739621143146,0.01978766593932663,-0.30377070393138617,0.01978092524873656,-0.30345193160915362,0.058546936153715062,2438.8984008727239,2258.8127811925128,2481,62882,60401,-71,62882,0.038785318547004288,8.5003634540602096e-16,0.09369878316992844,1.9621860089424563,8.2775955996197652,0,2481,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,9,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.019780925248739367,-0.30345193160904416,0.0010910928013507517,-0.016359468719875456,0.018689832447388616,-0.28709246288916868,0.018640347943704449,-0.28720185735943082,0.053916515010416367,2066.2560628656329,1915.1559714464543,2050,60401,58351,-37,60401,0.034208971090969237,3.7605895206041243e-18,0.093659057769720389,2.5481953180001784,9.6625411515971376,0,2050,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,10,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.018640347943706836,-0.28720185735932913,0.0009317273070159072,-0.014094376848687386,0.01770862063669093,-0.27310748051064176,0.017593747538506597,-0.27287801747101476,0.049078626602585516,1744.525768986495,1618.2879216348581,1772,58351,56579,-33,58351,0.029897101489031807,1.2006606513069072e-20,0.094063087956854377,3.2154263159682248,11.13082063342679,0,1772,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,11,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.017593747538507856,-0.27287801747097956,0.00076336628454129604,-0.011787347590591427,0.016830381253966561,-0.26109066988038815,0.016684189662429946,-0.26114071413623385,0.043197193774085985,1431.8187719759389,1331.1600024132013,1424,56579,55155,9,56579,0.025306540800932129,2.444993386595947e-23,0.093698146038472652,3.9702012584605519,12.713997570880217,0,1424,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,12,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.016684189662429821,-0.26114071413622997,0.00063440398982361182,-0.0098581754075951836,0.016049785672606211,-0.25128253872863476,0.016104351681058834,-0.2506962979650133,0.037751547623339064,1177.2808139702822,1096.1079867303304,1242,55155,53913,9,55155,0.021344951753608597,2.1390523548770423e-26,0.093627261715370613,4.7901236680869355,14.513026796039203,0,1242,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,13,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.016104351681057505,-0.25069629796512771,0.00052623691416749661,-0.0081193449809361679,0.015578114766890009,-0.24257695298419155,0.015664451532677204,-0.24267337367700872,0.032388365224359755,955.58903046266005,891.08481950093267,943,53913,52970,-34,53913,0.017724649536524771,5.0258831344498273e-29,0.091284023574373985,5.6771465309673097,16.059651073424178,0,943,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,14,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.015664451532674595,-0.24267337367712311,0.00043964257060931486,-0.0066801079224035184,0.015224808962065279,-0.2359932657547196,0.015134046053185562,-0.23585874052626934,0.027529393376682275,776.02473408544517,724.3065839428923,792,52970,52178,-32,52970,0.014650268719755432,2.5226333529890086e-32,0.091901967149795163,6.6068205491197762,18.000636257395215,0,792,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,15,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.015134046053180696,-0.23585874052636946,0.00034663267863544172,-0.0052912101804557677,0.014787413374545253,-0.23056753034591368,0.014852876269269382,-0.230634915344828,0.022435738657674901,607.70932327470132,568.45719320879118,599,52178,51579,-37,52178,0.0116468496928725,5.1941726094886543e-35,0.09182076816892247,7.5898658075813286,19.580986551042365,0,599,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,16,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.014852876269263142,-0.23063491534492533,0.00026591869140921121,-0.0040414744824145699,0.014586957577853931,-0.22659344086251076,0.014598979372529823,-0.22652579210470952,0.017524825769622145,459.71253038376454,431.28878214996132,468,51579,51111,-1,51579,0.0089127848617414941,1.7658774927944969e-37,0.088777697793458607,8.608237082372348,21.033217524369626,0,468,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,17,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.014598979372522298,-0.22652579210481241,0.00019676293500316648,-0.0029902282856414052,0.014402216437519131,-0.223535563819171,0.014345829407486984,-0.22351903067847559,0.013201535409301888,337.492264023968,317.71150453080116,340,51111,50771,7,51111,0.0066031238681295221,1.8699477811568235e-40,0.090381442050956509,9.652441460751918,22.783462550483367,0,340,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,18,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.014345829407478127,-0.22351903067858422,0.00013480384387867439,-0.0020833243828518272,0.014211025563599452,-0.22143570629573239,0.014185946805112063,-0.22112382441678149,0.0093208806932945643,233.72730329697228,221.17059603341716,269,50771,50502,0,50771,0.0046035591833324587,9.1875169680588428e-44,0.086445930093764042,10.71172188043024,24.729903006256652,0,269,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,19,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.014185946805102349,-0.22112382441689288,8.6666037522088071e-05,-0.0013226891117328003,0.01409928076758026,-0.21980113530516007,0.014106174134937781,-0.21968267853514586,0.0059821902274088566,147.76420847376289,140.86312067139173,161,50502,50341,19,50502,0.0029259080526268838,4.9851928339786189e-46,0.079093375332229515,11.787381808472507,26.062687452974465,0,161,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,20,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.014106174134927648,-0.21968267853525902,5.1298684697768558e-05,-0.00075954857380852118,0.014054875450229879,-0.2189231299614505,0.014055504168682306,-0.21895512225122513,0.003458216034661751,84.607221759497236,81.433130498937885,81,50341,50260,28,50341,0.0016806821827039041,5.6680089965587011e-49,0.072513336770890655,12.866582591939842,27.794766229699832,0,81,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,21,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.014055504168672024,-0.21895512225133945,2.876284304070143e-05,-0.00042138349378122023,0.014026741325631323,-0.21853373875755824,0.014030759310483218,-0.21864057495760575,0.0019250200014440685,46.864105364406107,45.633029266101332,35,50260,50225,23,50260,0.00093243345333080202,3.7590025031670381e-52,0.051885606411601837,13.939346050173612,29.664567916088629,0,35,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,22,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.01403075931047287,-0.21864057495772043,1.7498515583052357e-05,-0.00025413051841657213,0.014013260794889817,-0.21838644443930386,0.014008354757596488,-0.21835284629305801,0.0011626688599490238,28.246405653537835,27.744663055238583,32,50225,50193,25,50225,0.00056239732510777172,5.6787589453325526e-55,0.039111773268455143,14.997075342266701,31.324032520453276,0,32,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,23,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.014008354757586076,-0.21835284629317278,1.3312859381930417e-05,-0.00019290119368476242,0.013995041898204146,-0.21815994509948802,0.013997732508880627,-0.2182088665860957,0.0008837122375834691,21.437279290207751,21.13382286831273,16,50193,50177,29,50193,0.00042709699141728433,3.874104276600789e-58,0.031104748249681863,16.039036072978952,33.18661246212509,0,16,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,24,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.013997732508870184,-0.21820886658621053,1.4488665921030986e-05,-0.0002098542491047256,0.013983243842949154,-0.21799901233710581,0.013971787206421938,-0.21794849673064701,0.00096201338791316096,23.321247982884621,22.964096651276545,29,50177,50148,34,50177,0.00046477963973303745,1.3133833202949984e-60,0.041489929176969059,17.0535363278441,34.639563506368162,0,29,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,25,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.01397178720641142,-0.21794849673076186,1.9714893414211069e-05,-0.00028623010752001199,0.013952072312997209,-0.21766226662324184,0.013950562903392508,-0.21766988766913226,0.0013136925126722451,31.811798164412998,31.157094244523073,31,50148,50117,29,50148,0.00063435826283028229,5.3166207904726735e-63,0.041639827106150364,18.045412594161466,36.047201969161144,0,31,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,26,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.013950562903381947,-0.21766988766924725,2.8323659952932424e-05,-0.00041134697415611167,0.013922239243429014,-0.21725854069509112,0.013922257101219171,-0.21730132029988958,0.0018903491775883767,45.72616488666111,44.404306908949174,41,50117,50076,44,50117,0.00091238830908995175,7.525978660364139e-65,0.048199957196430235,18.997704462916868,37.134996153801367,0,41,0,1,1,1,1,1
windows_msvc_cpu,cpu,48,0,1,0,0,1,27,0.075538987083082362,40.589022766938591,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.013922257101208538,-0.21730132030000462,3.5902570108399863e-05,-0.00052534624522936936,0.013886354531100138,-0.21677597405477525,0.01387504710692646,-0.21672586561801613,0.0024182524107788286,58.415573738876347,56.309358823579821,64,50076,50012,40,50076,0.0011665383365060378,2.2474303685960391e-67,0.059121968702018517,19.901746795377935,38.620360265262136,0,64,0,1,1,1,1,1
