backend_label,actual_backend,L,seed,tick,x,plane_loss_real,plane_loss_imag
wsl2_cuda,gpu,96,0,82,0,2.358435790683867e-117,0
wsl2_cuda,gpu,96,0,82,1,1.7500165379593492e-100,-1.1470214388179065e-101
wsl2_cuda,gpu,96,0,82,2,2.4538578238509948e-81,-3.2305651123435681e-82
wsl2_cuda,gpu,96,0,82,3,1.3404376598324626e-64,-2.666296282421242e-65
wsl2_cuda,gpu,96,0,82,4,5.0185967662197835e-51,-1.3447289506460387e-51
wsl2_cuda,gpu,96,0,82,5,1.0240637208400764e-41,-3.4762279138663955e-42
wsl2_cuda,gpu,96,0,82,6,5.262425974476536e-35,-2.1797682096126315e-35
wsl2_cuda,gpu,96,0,82,7,9.9806702366387664e-30,-4.9219218759251668e-30
wsl2_cuda,gpu,96,0,82,8,1.1056262271002725e-24,-6.3833359983945281e-25
wsl2_cuda,gpu,96,0,82,9,3.2716887605779434e-20,-2.1860725397388527e-20
wsl2_cuda,gpu,96,0,82,10,3.9789095986936906e-17,-3.0531247178062016e-17
wsl2_cuda,gpu,96,0,82,11,7.6264996579306384e-15,-6.688260695027481e-15
wsl2_cuda,gpu,96,0,82,12,8.6384204000422887e-13,-8.6384204000422877e-13
wsl2_cuda,gpu,96,0,82,13,8.7248188255852932e-11,-9.9487491326860926e-11
wsl2_cuda,gpu,96,0,82,14,1.3395779088567605e-09,-1.7457719197196924e-09
wsl2_cuda,gpu,96,0,82,15,1.4887052999101323e-08,-2.2280049307561542e-08
wsl2_cuda,gpu,96,0,82,16,1.0983236911487503e-07,-1.9023524362262204e-07
wsl2_cuda,gpu,96,0,82,17,4.4606951422552158e-07,-9.0453949419213628e-07
wsl2_cuda,gpu,96,0,82,18,1.2561860368896704e-06,-3.0327013671227475e-06
wsl2_cuda,gpu,96,0,82,19,2.5691220920913243e-06,-7.5683896283809788e-06
wsl2_cuda,gpu,96,0,82,20,3.3774124470122379e-06,-1.2604674850365179e-05
wsl2_cuda,gpu,96,0,82,21,2.4322141826753971e-06,-1.222756641387261e-05
wsl2_cuda,gpu,96,0,82,22,9.9755603394412183e-07,-7.5771903475048442e-06
wsl2_cuda,gpu,96,0,82,23,2.6925115435019069e-07,-4.1079787790460097e-06
wsl2_cuda,gpu,96,0,82,24,1.8440000957578023e-22,-3.011480693113585e-06
wsl2_cuda,gpu,96,0,82,25,-5.586183111901018e-07,-8.5228684478390028e-06
wsl2_cuda,gpu,96,0,82,26,-1.7957749653044996e-06,-1.3640265078240528e-05
wsl2_cuda,gpu,96,0,82,27,-2.7297698348018375e-06,-1.3723479694913168e-05
wsl2_cuda,gpu,96,0,82,28,-2.0778620219619281e-06,-7.7546866370797161e-06
wsl2_cuda,gpu,96,0,82,29,-1.164062882095668e-06,-3.429218669971623e-06
wsl2_cuda,gpu,96,0,82,30,-4.659432587397538e-07,-1.1248865345458294e-06
wsl2_cuda,gpu,96,0,82,31,-9.590604527833716e-08,-1.9447822126256405e-07
wsl2_cuda,gpu,96,0,82,32,-1.1241820317789566e-08,-1.9471403959971654e-08
wsl2_cuda,gpu,96,0,82,33,-1.2373869618545831e-09,-1.8518804577587142e-09
wsl2_cuda,gpu,96,0,82,34,-7.5181867657446309e-11,-9.7978917508773678e-11
wsl2_cuda,gpu,96,0,82,35,-7.8181365163533937e-13,-8.9148761070204257e-13
wsl2_cuda,gpu,96,0,82,36,-5.7735966212666302e-15,-5.7735966212666302e-15
wsl2_cuda,gpu,96,0,82,37,-3.5546034421757972e-17,-3.1173035540612152e-17
wsl2_cuda,gpu,96,0,82,38,-3.1938029771979286e-20,-2.4506912186915196e-20
wsl2_cuda,gpu,96,0,82,39,-1.4508274816645823e-24,-9.6941193055452903e-25
wsl2_cuda,gpu,96,0,82,40,-9.8469675335442784e-30,-5.685149356193303e-30
wsl2_cuda,gpu,96,0,82,41,-3.9955388579756175e-35,-1.9703817123410143e-35
wsl2_cuda,gpu,96,0,82,42,-3.2790919459354678e-41,-1.3582443562748563e-41
wsl2_cuda,gpu,96,0,82,43,-7.5274153650846211e-51,-2.5552132039115866e-51
wsl2_cuda,gpu,96,0,82,44,-3.5629041458364709e-64,-9.5467728858638392e-65
wsl2_cuda,gpu,96,0,82,45,-5.0505747133987856e-81,-1.0046217728699914e-81
wsl2_cuda,gpu,96,0,82,46,-1.2291744097400051e-99,-1.6182388101278489e-100
wsl2_cuda,gpu,96,0,82,47,-6.440736206312556e-117,-4.2214815404120948e-118
wsl2_cuda,gpu,96,0,82,48,2.7253929447441119e-117,3.3376437461996532e-133
wsl2_cuda,gpu,96,0,82,49,2.0614397130812764e-100,-1.3511389718019722e-101
wsl2_cuda,gpu,96,0,82,50,3.0549642380201014e-81,-4.0219367197552368e-82
wsl2_cuda,gpu,96,0,82,51,2.0436821669591408e-64,-4.0651365800142852e-65
wsl2_cuda,gpu,96,0,82,52,5.500528556105107e-51,-1.4738621845526903e-51
wsl2_cuda,gpu,96,0,82,53,4.1412295501631785e-41,-1.4057580077337502e-41
wsl2_cuda,gpu,96,0,82,54,6.2320156000576475e-35,-2.5813853824645796e-35
wsl2_cuda,gpu,96,0,82,55,5.6533119847769335e-30,-2.7879049472207004e-30
wsl2_cuda,gpu,96,0,82,56,1.1587572718030068e-24,-6.6900882280090022e-25
wsl2_cuda,gpu,96,0,82,57,2.789083687697307e-20,-1.863606139488522e-20
wsl2_cuda,gpu,96,0,82,58,3.0906096243519249e-17,-2.3715081740727472e-17
wsl2_cuda,gpu,96,0,82,59,6.1436835356888142e-15,-5.3878658568752025e-15
wsl2_cuda,gpu,96,0,82,60,8.7828122579605801e-13,-8.782812257960572e-13
wsl2_cuda,gpu,96,0,82,61,7.1549682193819505e-11,-8.158677594339298e-11
wsl2_cuda,gpu,96,0,82,62,1.2280858839621098e-09,-1.6004726840075425e-09
wsl2_cuda,gpu,96,0,82,63,1.2546502282681525e-08,-1.8777167617556853e-08
wsl2_cuda,gpu,96,0,82,64,1.1016919745153432e-07,-1.9081864741514429e-07
wsl2_cuda,gpu,96,0,82,65,4.9014721389209651e-07,-9.9392022721707668e-07
wsl2_cuda,gpu,96,0,82,66,1.2900890455640106e-06,-3.1145504704695899e-06
wsl2_cuda,gpu,96,0,82,67,2.7104113145683884e-06,-7.9846142559645405e-06
wsl2_cuda,gpu,96,0,82,68,3.7116239953378447e-06,-1.3851969329192576e-05
wsl2_cuda,gpu,96,0,82,69,2.7022693902048254e-06,-1.3585225623739528e-05
wsl2_cuda,gpu,96,0,82,70,1.104747758365971e-06,-8.3913923291321569e-06
wsl2_cuda,gpu,96,0,82,71,2.5707513506646488e-07,-3.9222086234768668e-06
wsl2_cuda,gpu,96,0,82,72,6.5772682251490415e-22,-3.5804980558358497e-06
wsl2_cuda,gpu,96,0,82,73,-5.4717316361489624e-07,-8.3482492397043354e-06
