backend_label,actual_backend,L,seed,tick,x,plane_loss_real,plane_loss_imag
windows_msvc_cpu,cpu,128,0,110,65,8.9944619673760864e-106,-4.4186958182846633e-107
windows_msvc_cpu,cpu,128,0,110,66,6.2633859453315005e-87,-6.1688967152323085e-88
windows_msvc_cpu,cpu,128,0,110,67,9.5866883293939332e-70,-1.4220508805630014e-70
windows_msvc_cpu,cpu,128,0,110,68,6.3058244992603146e-56,-1.2543064794285103e-56
windows_msvc_cpu,cpu,128,0,110,69,6.6381552963746473e-46,-1.6627713414667015e-46
windows_msvc_cpu,cpu,128,0,110,70,6.0773689240186069e-39,-1.8435497081593721e-39
windows_msvc_cpu,cpu,128,0,110,71,9.2418954591667863e-34,-3.3068030710805889e-34
windows_msvc_cpu,cpu,128,0,110,72,6.3701878565484207e-29,-2.63861820504676e-29
windows_msvc_cpu,cpu,128,0,110,73,3.5030906083631237e-24,-1.6568384645114426e-24
windows_msvc_cpu,cpu,128,0,110,74,1.6543969527203889e-20,-8.8429359451210078e-21
windows_msvc_cpu,cpu,128,0,110,75,4.2711470717730601e-18,-2.5600270351838606e-18
windows_msvc_cpu,cpu,128,0,110,76,4.3196305790115802e-16,-2.8862848765984979e-16
windows_msvc_cpu,cpu,128,0,110,77,3.7672065879735813e-14,-2.793950823890216e-14
windows_msvc_cpu,cpu,128,0,110,78,2.789945350734311e-12,-2.2896489769186768e-12
windows_msvc_cpu,cpu,128,0,110,79,4.1879082345316242e-11,-3.7956987724797001e-11
windows_msvc_cpu,cpu,128,0,110,80,3.3982692711186955e-10,-3.3982692711186924e-10
windows_msvc_cpu,cpu,128,0,110,81,2.7516815635855484e-09,-3.0360127527770961e-09
windows_msvc_cpu,cpu,128,0,110,82,1.7862770796962195e-08,-2.1765849192868353e-08
windows_msvc_cpu,cpu,128,0,110,83,5.685947389353971e-08,-7.6666125548411227e-08
windows_msvc_cpu,cpu,128,0,110,84,1.2699511712585312e-07,-1.9006162412093006e-07
windows_msvc_cpu,cpu,128,0,110,85,4.0479413892056027e-07,-6.7535821979992169e-07
windows_msvc_cpu,cpu,128,0,110,86,6.6218812807163497e-07,-1.2388668514711659e-06
windows_msvc_cpu,cpu,128,0,110,87,1.0172893218564648e-06,-2.1508775572966176e-06
windows_msvc_cpu,cpu,128,0,110,88,1.3337423433349514e-06,-3.2199388539905056e-06
windows_msvc_cpu,cpu,128,0,110,89,1.7150086868697343e-06,-4.7931281829956396e-06
windows_msvc_cpu,cpu,128,0,110,90,1.3998795507732859e-06,-4.6147844246265491e-06
windows_msvc_cpu,cpu,128,0,110,91,1.1340104244079541e-06,-4.5272233873646213e-06
windows_msvc_cpu,cpu,128,0,110,92,5.9698718183356665e-07,-3.0012572355247987e-06
windows_msvc_cpu,cpu,128,0,110,93,3.3879318888317135e-07,-2.2839581581346606e-06
windows_msvc_cpu,cpu,128,0,110,94,8.6265976733723939e-08,-8.7587316043099461e-07
windows_msvc_cpu,cpu,128,0,110,95,1.6938157102843071e-08,-3.4478410853386255e-07
windows_msvc_cpu,cpu,128,0,110,96,2.4499561638212924e-22,-2.2856724516414329e-07
windows_msvc_cpu,cpu,128,0,110,97,-5.3025456814418645e-08,-1.0793579694860822e-06
windows_msvc_cpu,cpu,128,0,110,98,-1.8975363811882822e-07,-1.9266010194891445e-06
windows_msvc_cpu,cpu,128,0,110,99,-5.0849077970316852e-07,-3.4279663899612845e-06
windows_msvc_cpu,cpu,128,0,1
