backend_label,actual_backend,L,seed,dx,dy,dz,n,tick,omega,tau,target_transition,phase_error,initial_source_real,initial_source_imag,initial_occupancy,initial_signed_state,source_before_real,source_before_imag,expected_loss_real,expected_loss_imag,predicted_next_real,predicted_next_imag,source_after_real,source_after_imag,source_hazard,expected_removals,removal_variance,actual_removed,occupancy_before,occupancy_after,signed_state_after,eligible_sites,mean_site_probability,min_site_probability,max_site_probability,mean_local_energy,max_local_energy,plane_closure_rel,history_evaporation,history_other,history_required,history_enabled,toggles_valid,structural_valid,execution_valid
wsl2_cuda,gpu,96,0,1,0,0,1,0,0.037782989895756729,82.148333741121249,82,0.0056044922419840049,0.020833333333333336,-0.63639249972670942,884736,0,0.020833333333331899,-0.63639249972471967,0.0020812970302584088,-0.063577047348705798,0.01875203630307349,-0.57281545237601383,0.018753374878530859,-0.57285680979558873,0.099902257453075682,87199.200768947238,78574.543066121172,87093,884736,797643,423,884736,0.098559571181626199,0.070982009395745213,0.10000000000000001,0.0042567889958589266,0.087568230771977076,0,0,0,0,0,1,1,1
wsl2_cuda,gpu,96,0,1,0,0,1,1,0.037782989895756729,82.148333741121249,82,0.0056044922419840049,0.020833333333333336,-0.63639249972670942,884736,0,0.018753374878527761,-0.57285680979360376,0.0017862234610725154,-0.054484434945412413,0.016967151417455244,-0.51837237484819132,0.016752558080312709,-0.5181658727585744,0.095110189291127079,72689.807864761649,65857.677445670997,73106,797643,724537,-193,797643,0.091130753814377671,0.016357036448720441,0.10000000000000001,0.032636208983339535,0.46257107088345301,0,0,0,0,0,1,1,1
wsl2_cuda,gpu,96,0,1,0,0,1,2,0.037782989895756729,82.148333741121249,82,0.0056044922419840049,0.020833333333333336,-0.63639249972670942,884736,0,0.016752558080308393,-0.51816587275710446,0.001481866844826087,-0.045990402011048322,0.015270691235482305,-0.47217547074605615,0.015240300066282112,-0.47238109232390363,0.0887558253468098,59937.921375877668,54649.425709556737,59722,724537,664815,-343,724537,0.082725825424895719,0.0013182585545885141,0.09999118496339679,0.084065080058424294,1.1059881060116568,0,0,0,0,0,1,1,1
wsl2_cuda,gpu,96,0,1,0,0,1,3,0.037782989895756729,82.148333741121249,82,0.0056044922419840049,0.020833333333333336,-0.63639249972670942,884736,0,0.015240300066273669,-0.47238109232358305,0.0012951127469041646,-0.04009550441612196,0.013945187319369504,-0.43228558790746108,0.01422920585103922,-0.43213789803812835,0.084879674780347025,51199.111086679724,46851.621346196887,51310,664815,613505,-679,664815,0.077012569040529652,4.2969539773265027e-05,0.099444408837193993,0.1538025588172843,1.9806837251330991,0,0,0,0,0,1,1,1
wsl2_cuda,gpu,96,0,1,0,0,1,4,0.037782989895756729,82.148333741121249,82,0.0056044922419840049,0.020833333333333336,-0.63639249972670942,884736,0,0.014229205851034109,-0.43213789803800534,0.0011926443678072006,-0.035482109419348172,0.013036561483226908,-0.39665578861865719,0.013307370989199475,-0.39671028242333295,0.082110153097803437,44487.194750507428,40809.802872133827,44437,613505,569068,-690,613505,0.072513173895090391,7.1636135500425352e-07,0.098618276954025488,0.25226972547839954,3.0266832237973684,0,0,0,0,0,1,1,1
wsl2_cuda,gpu,96,0,1,0,0,1,5,0.037782989895756729,82.148333741121249,82,0.0056044922419840049,0.020833333333333336,-0.63639249972670942,884736,0,0.013307370989188754,-0.39671028242346906,0.0011150559729516539,-0.032120390601691848,0.012192315016237101,-0.3645898918217772,0.012263356140948534,-0.3646208121395409,0.080970047577511778,39538.470972171963,36286.784795661537,39550,569068,529518,-658,569068,0.069479343368757274,7.6629328339386156e-09,0.098277869433370094,0.38461487112730108,4.1860515854042575,0,0,0,0,0,1,1,1
wsl2_cuda,gpu,96,0,1,0,0,1,6,0.037782989895756729,82.148333741121249,82,0.0056044922419840049,0.020833333333333336,-0.63639249972670942,884736,0,0.012263356140946802,-0.36462081213974878,0.00098606324020208708,-0.028316492399787112,0.011277292900744716,-0.33630431973996167,0.01152311223795981,-0.33658307933734688,0.077663214130178015,34221.993833794142,31495.567363112183,33839,529518,495679,-643,529518,0.064628575107539582,5.9321859315553082e-11,0.096818093148544893,0.57089021229710746,5.4280414817321008,0,0,0,0,0,1,1,1
wsl2_cuda,gpu,96,0,1,0,0,1,7,0.037782989895756729,82.148333741121249,82,0.0056044922419840049,0.020833333333333336,-0.63639249972670942,884736,0,0.011523112237957763,-0.33658307933759307,0.00088775874205229222,-0.025186403973188356,0.010635353495905471,-0.31139667536440474,0.010663511759987077,-0.31137197745128492,0.074832269035801438,29908.807143975377,27582.773834062034,29836,495679,465843,-529,495679,0.060339064483214695,2.0303182760927898e-13,0.095245583796424185,0.80646433645308635,6.8785633641051351,0,0,0,0,0,1,1,1
wsl2_cuda,gpu,96,0,1,0,0,1,8,0.037782989895756729,82.148333741121249,82,0.0056044922419840049,0.020833333333333336,-0.63639249972670942,884736,0,0.010663511759986723,-0.31137197745173467,0.00079276717768328876,-0.022561190074851974,0.0098707445823034354,-0.2888107873768827,0.0096953945510773864,-0.28892043888543861,0.072459565588466238,26351.687269648592,24337.619366957322,26198,465843,439645,-367,465843,0.056567743359132998,6.9077653911000761e-16,0.094733326987035543,1.0950782022962489,8.3306006355039273,0,0,0,0,0,1,1,1
wsl2_cuda,gpu,96,0,1,0,0,1,9,0.037782989895756729,82.148333741121249,82,0.0056044922419840049,0.020833333333333336,-0.63639249972670942,884736,0,0.0096953945510761495,-0.28892043888517721,0.00070844111606027129,-0.020417297500893321,0.0089869534350158781,-0.26850314138428388,0.0089395967425443378,-0.26849684821985437,0.070670245059831022,23470.681063337255,21689.860530243532,23491,439645,416154,-542,439645,0.053385529377878188,1.2885774991543926e-18,0.094798400769083704,1.4390473771954613,9.9361823379645067,0,0,0,0,0,1,1,1
