backend_label,actual_backend,L,seed,tick,x,plane_loss_real,plane_loss_imag
wsl2_cuda,gpu,64,0,54,0,9.6874077587142451e-100,0
wsl2_cuda,gpu,64,0,54,1,9.2697074598076205e-83,-9.1298649642682367e-84
wsl2_cuda,gpu,64,0,54,2,7.0887400590786333e-65,-1.4100380668903478e-65
wsl2_cuda,gpu,64,0,54,3,4.8724212917486135e-49,-1.4780328399897406e-49
wsl2_cuda,gpu,64,0,54,4,1.4704880911073483e-37,-6.0909611064478764e-38
wsl2_cuda,gpu,64,0,54,5,9.6690486665569255e-30,-5.1682141863248304e-30
wsl2_cuda,gpu,64,0,54,6,7.5485297710474265e-24,-5.0437663407117453e-24
wsl2_cuda,gpu,64,0,54,7,8.5451403103433985e-19,-7.0128154173538613e-19
wsl2_cuda,gpu,64,0,54,8,1.7947879192368915e-14,-1.7947879192368915e-14
wsl2_cuda,gpu,64,0,54,9,1.4789275169230652e-11,-1.8020783934598305e-11
wsl2_cuda,gpu,64,0,54,10,1.8917556424622058e-09,-2.8312123960638856e-09
wsl2_cuda,gpu,64,0,54,11,1.0117851030465819e-07,-1.8929167888089234e-07
wsl2_cuda,gpu,64,0,54,12,1.5416881985145221e-06,-3.7219645578043016e-06
wsl2_cuda,gpu,64,0,54,13,6.7267610443615817e-06,-2.2175159340356651e-05
wsl2_cuda,gpu,64,0,54,14,9.7902685949112079e-06,-4.9219003945716466e-05
wsl2_cuda,gpu,64,0,54,15,3.8494508950301082e-06,-3.9084130835974061e-05
wsl2_cuda,gpu,64,0,54,16,9.1293568192300681e-21,-3.2227673251065576e-05
wsl2_cuda,gpu,64,0,54,17,-4.6107871947988951e-06,-4.6814108009798502e-05
wsl2_cuda,gpu,64,0,54,18,-4.5208661379074227e-06,-2.2727928873716453e-05
wsl2_cuda,gpu,64,0,54,19,-1.2944635401525864e-06,-4.2672744094613793e-06
wsl2_cuda,gpu,64,0,54,20,-7.7031377863873949e-08,-1.8597019716725115e-07
wsl2_cuda,gpu,64,0,54,21,-1.5136199335176483e-09,-2.8317837210729281e-09
wsl2_cuda,gpu,64,0,54,22,-1.1512103704197607e-11,-1.7229080744104874e-11
wsl2_cuda,gpu,64,0,54,23,-1.1502164238527356e-14,-1.4015427676537501e-14
wsl2_cuda,gpu,64,0,54,24,-5.9811333157057658e-19,-5.9811333157057715e-19
wsl2_cuda,gpu,64,0,54,25,-3.8177317392830393e-24,-3.1331314675030012e-24
wsl2_cuda,gpu,64,0,54,26,-7.5308807282623795e-30,-5.0319736273430404e-30
wsl2_cuda,gpu,64,0,54,27,-1.8619109031798571e-37,-9.9521211189782811e-38
wsl2_cuda,gpu,64,0,54,28,-7.6560372710314315e-49,-3.1712344716951236e-49
wsl2_cuda,gpu,64,0,54,29,-5.1862602317898558e-64,-1.5732348416381056e-64
wsl2_cuda,gpu,64,0,54,30,-5.7862909568629889e-83,-1.1509648325771273e-83
wsl2_cuda,gpu,64,0,54,31,-4.4968994889889439e-99,-4.4290594142663869e-100
wsl2_cuda,gpu,64,0,54,32,6.2656988937300192e-98,3.5498560803377494e-113
wsl2_cuda,gpu,64,0,54,33,7.9655788980013135e-83,-7.8454104421635935e-84
wsl2_cuda,gpu,64,0,54,34,9.1124152965480536e-64,-1.8125720991829742e-64
wsl2_cuda,gpu,64,0,54,35,3.7362571665321954e-49,-1.1333812205717063e-49
wsl2_cuda,gpu,64,0,54,36,2.7855387354185589e-37,-1.1538079227259638e-37
wsl2_cuda,gpu,64,0,54,37,1.9019685873006018e-29,-1.0166233901407666e-29
