backend_label,actual_backend,L,seed,dx,dy,dz,n,tick,omega,target_transition,phase_error,initial_source_real,initial_source_imag,initial_occupancy,initial_signed_state,source_before_real,source_before_imag,expected_loss_real,expected_loss_imag,predicted_next_real,predicted_next_imag,source_after_real,source_after_imag,source_hazard,expected_removals,removal_variance,actual_removed,occupancy_before,occupancy_after,signed_state_after,eligible_sites,mean_site_probability,min_site_probability,max_site_probability,mean_local_energy,max_local_energy,history_evaporation,history_other,history_required,history_enabled,toggles_valid,structural_valid,execution_valid
wsl2_cuda,gpu,48,0,1,0,0,1,0,0.075538987083082362,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.041666666666667712,-0.6357104870107374,0.0041504190709353711,-0.063323158293195736,0.037516247595732341,-0.57238732871754161,0.038188478406081819,-0.57235703104505364,0.099610057702455609,10740.600192126692,9690.3557669441871,10716,110592,99876,-8,110592,0.097119142362256702,0.070982009395745213,0.10000000000000001,0.0085135779917164239,0.087568230771977076,0,0,0,0,1,1,1
wsl2_cuda,gpu,48,0,1,0,0,1,1,0.075538987083082362,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.038188478406082992,-0.5723570310448941,0.0035905079950558959,-0.053868212152768748,0.034597970411027093,-0.51848881889212539,0.035231293274979182,-0.51664667648022744,0.094116026144212966,8672.3458483514733,7871.7295595656051,8936,99876,90940,32,99876,0.086831129083578373,0.016991968737970611,0.10000000000000001,0.05318474868477735,0.45284126746434444,0,0,0,0,1,1,1
wsl2_cuda,gpu,48,0,1,0,0,1,2,0.075538987083082362,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.03523129327498209,-0.51664667647985407,0.003052475657806301,-0.044825126119951472,0.032178817617175788,-0.47182155035990259,0.032077997394034226,-0.47168224046883372,0.086761107122926867,6915.0371163043301,6316.3406228471813,6951,90940,83989,-5,90940,0.076039554830705194,0.0013391070959202708,0.099960338454094591,0.13900071900550398,1.1019790666398943,0,0,0,0,1,1,1
wsl2_cuda,gpu,48,0,1,0,0,1,3,0.075538987083082362,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.032077997394037015,-0.47168224046855184,0.0026286814902986328,-0.038514813939138456,0.029449315903738383,-0.43316742652941337,0.028990969139275683,-0.43307817127002529,0.081655499390026559,5730.0788840652858,5252.8155199504872,5744,83989,78245,-5,83989,0.068224158926350906,4.2415276710763494e-05,0.099013785761606216,0.26613635014760134,1.9840007478079218,0,0,0,0,1,1,1
wsl2_cuda,gpu,48,0,1,0,0,1,4,0.075538987083082362,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.028990969139277664,-0.43307817126985065,0.0022338843004548925,-0.033540645077705364,0.026757084838822772,-0.39953752619214528,0.026708819706776667,-0.39918015433244886,0.077445340759604159,4835.0982435513743,4443.6933277206499,4893,78245,73352,-30,78245,0.061794341409053287,7.4416499070794988e-07,0.097228393156376075,0.44985456619256775,3.0169545931133666,0,0,0,0,1,1,1
wsl2_cuda,gpu,48,0,1,0,0,1,5,0.075538987083082362,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.026708819706778755,-0.39918015433232668,0.0019829058502028691,-0.02968788449313757,0.024725913856575885,-0.36949226983918909,0.024580786544862274,-0.36932455869518843,0.074371563666633292,4153.9952054427295,3819.8270788079553,4176,73352,69176,-82,73352,0.056630974008107883,6.3074076730958372e-09,0.097150683720321207,0.69961225111306335,4.2357881904233379,0,0,0,0,1,1,1
wsl2_cuda,gpu,48,0,1,0,0,1,6,0.075538987083082362,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.024580786544863217,-0.36932455869505104,0.0016817729499617933,-0.02545534549193158,0.022899013594901423,-0.34386921320311947,0.022519366995278928,-0.34420082834536042,0.06892182215356181,3462.3747544324324,3193.5362478874054,3430,69176,65746,-102,69176,0.050051676223436342,3.9406969106977754e-11,0.095774273958903589,1.0381360455825506,5.532546637724117,0,0,0,0,1,1,1
wsl2_cuda,gpu,48,0,1,0,0,1,7,0.075538987083082362,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.022519366995280635,-0.34420082834526838,0.0014245511572902624,-0.021886419529694764,0.021094815837990371,-0.32231440881557361,0.021035175428311226,-0.32266044355262952,0.063584795924951046,2897.4878015400172,2678.8689321230713,2864,65746,62882,-88,65746,0.0440709366583521,1.76200185285191e-13,0.094620578879815759,1.45925708005888,6.9147772873055775,0,0,0,0,1,1,1
wsl2_cuda,gpu,48,0,1,0,0,1,8,0.075538987083082362,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.021035175428313596,-0.32266044355252932,0.0012475094889869678,-0.01888973962114315,0.01978766593932663,-0.30377070393138617,0.01978092524873656,-0.30345193160915362,0.058546936153715069,2438.8984008727239,2258.8127811925128,2481,62882,60401,-71,62882,0.038785318547004288,8.5003634540600883e-16,0.09369878316992844,1.9621860089424563,8.2775955996197688,0,0,0,0,1,1,1
wsl2_cuda,gpu,48,0,1,0,0,1,9,0.075538987083082362,41,0.031044803899666462,0.04166666666666665,-0.63571048701123523,110592,0,0.019780925248739367,-0.30345193160904416,0.001091092801350753,-0.016359468719875456,0.018689832447388616,-0.28709246288916868,0.018640347943704449,-0.28720185735943082,0.053916515010416367,2066.2560628656329,1915.1559714464543,2050,60401,58351,-37,60401,0.034208971090969237,3.7605895206041782e-18,0.093659057769720389,2.548195318000178,9.662541151597134,0,0,0,0,1,1,1
