tag,L,A,gamma,T,thermostat,coupling,seed,n_samples,n_mean,n_min,n_max,k_mean
N,32,60.0000,0.0200,0.00500,on,on,0xE0102000,50,190.0000,190,190,0.052778
N,32,60.0000,0.0200,0.00500,on,on,0xE0102001,50,190.0000,190,190,0.052778
N,32,60.0000,0.0200,0.00500,on,on,0xE0102002,50,193.0000,193,193,0.053611
N,32,60.0000,0.0200,0.00500,on,on,0xE0102003,50,194.0000,194,194,0.053889
N,32,60.0000,0.0200,0.00500,on,on,0xE0102004,50,191.0000,191,191,0.053056
N,32,60.0000,0.0200,0.00500,on,on,0xE0102005,50,194.0000,194,194,0.053889
N,32,60.0000,0.0200,0.00500,on,on,0xE0102006,50,199.0000,199,199,0.055278
N,32,60.0000,0.0200,0.00500,on,on,0xE0102007,50,187.0000,187,187,0.051944
