y,z,J_total_mag2,J_A_mag2,J_B_mag2,classification
1,29,4.74462311e-09,1.70801481e-08,1.70795803e-08,-1
1,30,6.08467060e-12,8.09987749e-09,8.09949669e-09,1
1,31,7.48403482e-10,2.11196504e-09,2.11180930e-09,-1
1,32,5.95730156e-17,7.63754024e-10,7.63643925e-10,0
1,33,7.48440408e-10,2.11203779e-09,2.11185336e-09,-1
1,34,6.07336101e-12,8.09985881e-09,8.09960068e-09,1
1,35,4.74477317e-09,1.70803050e-08,1.70801049e-08,-1
1,36,2.44799979e-08,1.45505432e-08,1.45508252e-08,-1
1,37,1.46398969e-09,5.15674670e-10,5.15729358e-10,-1
1,38,1.26601544e-08,6.22460297e-09,6.22451722e-09,-1
1,39,6.50173812e-09,4.94228533e-09,4.94263798e-09,-1
1,40,1.01892699e-10,3.01525027e-09,3.01522697e-09,0
1,41,8.79821644e-09,3.02285830e-09,3.02289944e-09,-1
1,42,3.09182670e-08,8.30744142e-09,8.30766118e-09,-1
1,43,1.31758413e-08,1.66408828e-08,1.66395863e-08,-1
1,44,1.61797792e-09,4.45630296e-09,4.45595330e-09,-1
1,45,8.82782218e-09,2.46712501e-09,2.46699202e-09,-1
1,46,9.32694096e-09,1.69091399e-08,1.69071948e-08,-1
1,47,1.02803756e-08,1.52353201e-08,1.52352763e-08,-1
1,48,4.75551856e-09,1.30563735e-08,1.30580431e-08,-1
1,49,1.75781525e-09,1.27909204e-09,1.27931693e-09,-1
1,50,3.03290996e-09,1.27386260e-08,1.27407093e-08,-1
1,51,4.82979220e-08,2.78970756e-08,2.78999080e-08,-1
1,52,2.70363236e-08,3.03066992e-08,3.03066367e-08,-1
1,53,5.06316999e-09,1.07222093e-08,1.07212474e-08,-1
1,54,1.78354168e-08,1.94783833e-08,1.94776026e-08,-1
1,55,1.35923298e-09,3.48652608e-09,3.48663695e-09,-1
1,56,6.97324918e-11,2.35149574e-08,2.35151740e-08,1
1,57,8.07429006e-09,3.92053288e-09,3.92007885e-09,-1
1,58,1.48891993e-08,1.08519212e-08,1.08524472e-08,-1
1,59,4.04454032e-10,7.55314483e-09,7.55301207e-09,1
1,60,1.29853058e-08,1.54378643e-08,1.54371226e-08,-1
1,61,5.82640329e-13,9.66019354e-09,9.66162596e-09,1
1,62,4.32859076e-09,9.30065095e-09,9.30196178e-09,-1
1,63,4.19539522e-12,1.01130197e-08,1.01120577e-08,1
2,0,2.99489345e-17,3.48280325e-08,3.48298465e-08,1
2,1,3.64639768e-08,1.33406636e-08,1.33406779e-08,-1
2,2,9.44065763e-10,6.95650075e-09,6.95628070e-09,-1
2,3,2.12921482e-08,3.20562876e-08,3.20567251e-08,-1
2,4,1.02594400e-08,7.07700137e-09,7.07682427e-09,-1
2,5,7.29756916e-10,1.27028239e-08,1.27028498e-08,1
2,6,5.78126527e-08,1.72899031e-08,1.72899253e-08,-1
2,7,3.13387136e-11,2.11187770e-08,2.11187952e-08,1
2,8,3.12799769e-08,2.17207622e-08,2.17213325e-08,-1
2,9,3.47668535e-09,2.31309183e-08,2.31309518e-08,-1
2,10,2.60445657e-09,3.56132840e-09,3.56145038e-09,-1
2,11,5.39688660e-09,1.71073822e-08,1.71073659e-08,-1
2,12,4.26105685e-09,1.73683496e-08,1.73686084e-08,-1
2,13,9.85443237e-09,3.22771801e-09,3.22777819e-09,-1
2,14,1.93271904e-09,2.52696257e-08,2.52682355e-08,-1
