y,z,Jx,Jy,Jz,mag,phase,state
52,29,6.70201293e-05,9.91001723e-06,2.59193768e-04,2.67901690e-04,1.46802530e-01,0
52,30,3.47537896e-05,9.72482772e-05,1.62083006e-04,1.92187289e-04,1.22756938e+00,0
52,31,-1.43380830e-04,4.21005927e-05,-4.24574174e-05,1.55348494e-04,2.85599215e+00,0
52,32,-3.20778997e-11,1.68548112e-10,-2.10780380e-04,2.10780380e-04,1.75886609e+00,0
52,33,1.43380923e-04,-4.21002106e-05,-4.24585318e-05,1.55348781e-04,-2.85597875e-01,0
52,34,-3.47538627e-05,-9.72479303e-05,1.62086363e-04,1.92189959e-04,-1.91402507e+00,0
52,35,-6.70200880e-05,-9.90962528e-06,2.59190620e-04,2.67898619e-04,-2.99479576e+00,0
52,36,-3.23285378e-05,-1.05003683e-05,3.34138451e-04,3.35862914e-04,-2.82754000e+00,0
52,37,5.23709843e-05,-1.57642652e-04,3.41329949e-05,1.69584749e-04,-1.25005415e+00,0
52,38,-1.71984113e-05,-1.33366765e-05,2.10672868e-04,2.11794026e-04,-2.48199539e+00,0
52,39,6.08601571e-05,1.84443099e-04,-1.15933034e-04,2.26193908e-04,1.25207842e+00,0
52,40,3.53247595e-05,3.64945796e-05,1.04821566e-04,1.16478554e-04,8.01685096e-01,0
52,41,-3.03327629e-05,-9.16466463e-05,1.31001332e-04,1.62728403e-04,-1.89042302e+00,0
52,42,-7.81608077e-05,-3.66975267e-05,4.17453259e-04,4.26289859e-04,-2.70263061e+00,0
52,43,-7.90953080e-05,5.99540905e-05,-8.73081204e-05,1.32186492e-04,2.49299240e+00,0
52,44,1.51221172e-05,5.55529013e-06,2.69972342e-05,3.14386757e-05,3.52057520e-01,0
52,45,-5.24689312e-05,1.59348068e-05,5.67926438e-05,7.89449884e-05,2.84674496e+00,0
52,46,-3.24804385e-05,-3.87005798e-05,8.85782734e-05,1.01974626e-04,-2.26903107e+00,0
52,47,6.57243473e-05,3.73539725e-05,-2.25010594e-04,2.37370547e-04,5.16816974e-01,0
52,48,1.29488087e-04,-3.99812448e-06,-4.79996597e-04,4.97171885e-04,-3.08665822e-02,0
52,49,4.21091423e-06,-1.18779431e-04,1.72663577e-04,2.09616306e-04,-1.53535962e+00,0
52,50,-1.70345556e-04,7.08475921e-05,-1.08490541e-04,2.14026137e-04,2.74745058e+00,0
