x,y,z,winding,filament_id,J_mag
6,43,0,-6.283185,0,9.95099843e-05
6,50,0,6.283185,0,2.15297882e-04
6,52,0,6.283185,0,2.43780556e-04
6,57,0,-6.283185,0,1.96700676e-04
6,59,0,-6.283185,0,1.83032049e-04
6,61,0,-6.283185,0,1.65996633e-04
7,1,0,6.283185,0,1.14388296e-04
7,21,0,6.283185,0,1.63080462e-04
7,27,0,6.283185,0,4.18754219e-04
7,36,0,6.283185,0,4.18754304e-04
7,42,0,6.283185,0,1.63080127e-04
7,62,0,6.283185,0,1.14388101e-04
8,3,0,6.283185,0,1.05581616e-04
8,5,0,6.283185,0,1.59664199e-04
8,7,0,6.283185,0,1.35383012e-04
8,9,0,-6.283185,0,1.76476362e-04
8,12,0,-6.283185,0,2.05735842e-04
8,20,0,-6.283185,0,1.13372676e-04
8,24,0,-6.283185,0,1.87910364e-04
8,31,0,-6.283185,0,2.04213552e-04
8,39,0,-6.283185,0,1.87910220e-04
8,43,0,-6.283185,0,1.13372500e-04
8,51,0,-6.283185,0,2.05735712e-04
8,54,0,-6.283185,0,1.76476913e-04
8,56,0,6.283185,0,1.35382836e-04
8,58,0,6.283185,0,1.59664240e-04
8,60,0,6.283185,0,1.05581545e-04
9,0,0,-6.283185,2,1.14390783e-04
9,2,0,-6.283185,0,1.60537470e-04
9,4,0,-6.283185,0,1.68587041e-04
9,8,0,6.283185,0,1.73416907e-04
9,10,0,6.283185,0,2.57488425e-04
9,14,0,-6.283185,0,1.38308726e-04
9,17,0,-6.283185,0,1.69487798e-04
9,18,0,6.283185,0,1.57559076e-04
9,22,0,6.283185,0,2.11038316e-04
9,28,0,6.283185,0,2.56624488e-04
9,32,0,-6.283185,0,9.22174483e-05
9,35,0,6.283185,0,2.56624351e-04
9,41,0,6.283185,0,2.11038305e-04
9,45,0,6.283185,0,1.57559187e-04
9,46,0,-6.283185,0,1.69487977e-04
9,49,0,-6.283185,0,1.38308527e-04
9,53,0,6.283185,0,2.57488069e-04
9,55,0,6.283185,0,1.73417293e-04
9,59,0,-6.283185,0,1.68586961e-04
9,61,0,-6.283185,0,1.60537705e-04
10,3,0,6.283185,0,1.10381441e-04
10,6,0,-6.283185,0,1.82233316e-04
10,8,0,-6.283185,0,1.77002916e-04
10,9,0,-6.283185,0,2.08602980e-04
10,13,0,6.283185,0,2.03997963e-04
10,21,0,-6.283185,0,1.65782930e-04
10,22,0,6.283185,0,1.82548514e-04
10,24,0,-6.283185,0,1.27910838e-04
10,27,0,6.283185,0,3.58911317e-04
10,32,0,6.283185,0,8.70303199e-05
10,36,0,6.283185,0,3.58911046e-04
10,39,0,-6.283185,0,1.27911226e-04
10,41,0,6.283185,0,1.82548553e-04
10,42,0,-6.283185,0,1.65783184e-04
10,50,0,6.283185,0,2.03997706e-04
10,54,0,-6.283185,0,2.08602752e-04
10,55,0,-6.283185,0,1.77002489e-04
10,57,0,-6.283185,0,1.82233395e-04
10,60,0,6.283185,0,1.10381276e-04
11,1,0,6.283185,0,9.82984668e-05
11,4,0,6.283185,0,1.09189247e-04
11,8,0,6.283185,0,1.75072920e-04
11,11,0,6.283185,0,2.06004079e-04
11,12,0,-6.283185,0,2.14278302e-04
11,15,0,6.283185,0,1.50028820e-04
11,20,0,6.283185,0,1.66577806e-04
11,21,0,-6.283185,0,1.43561988e-04
11,24,0,-6.283185,0,1.39007703e-04
11,30,0,-6.283185,0,1.11811102e-04
11,33,0,-6.283185,0,1.11810909e-04
11,39,0,-6.283185,0,1.39007704e-04
11,42,0,-6.283185,0,1.43561938e-04
11,43,0,6.283185,0,1.66577776e-04
11,48,0,6.283185,0,1.50029614e-04
11,51,0,-6.283185,0,2.14278121e-04
11,52,0,6.283185,0,2.06003777e-04
11,55,0,6.283185,0,1.75072810e-04
11,59,0,6.283185,0,1.09188895e-04
11,62,0,6.283185,0,9.82988699e-05
12,9,0,-6.283185,0,1.23011007e-04
12,14,0,-6.283185,0,1.86800642e-04
12,19,0,6.283185,0,2.09816750e-04
12,23,0,6.283185,0,2.63825819e-04
12,27,0,6.283185,3,3.71898769e-04
12,32,0,6.283185,0,7.99243992e-05
12,36,0,6.283185,4,3.71898911e-04
12,40,0,6.283185,0,2.63825535e-04
12,44,0,6.283185,0,2.09816611e-04
12,49,0,-6.283185,0,1.86801072e-04
12,54,0,-6.283185,0,1.23010355e-04
13,0,0,-6.283185,0,1.56076148e-04
13,2,0,-6.283185,0,2.06300097e-04
13,4,0,-6.283185,0,2.25706829e-04
13,8,0,6.283185,0,9.72255013e-05
13,11,0,6.283185,0,2.23479235e-04
13,13,0,6.283185,0,1.77359901e-04
13,16,0,-6.283185,0,1.45337104e-04
13,18,0,-6.283185,0,1.82169253e-04
13,20,0,-6.283185,0,1.79648323e-04
13,25,0,-6.283185,0,2.05126419e-04
13,31,0,-6.283185,0,1.99454091e-04
13,38,0,-6.283185,0,2.05126234e-04
13,43,0,-6.283185,0,1.79648502e-04
13,45,0,-6.283185,0,1.82169253e-04
13,47,0,-6.283185,0,1.45336490e-04
13,50,0,6.283185,0,1.77360426e-04
13,52,0,6.283185,0,2.23479044e-04
13,55,0,6.283185,0,9.72251794e-05
13,59,0,-6.283185,0,2.25707020e-04
13,61,0,-6.283185,0,2.06299828e-04
14,0,0,6.283185,0,1.36894285e-04
14,1,0,6.283185,0,1.64040015e-04
14,10,0,-6.283185,0,2.06965207e-04
14,14,0,-6.283185,0,5.86592063e-05
14,15,0,6.283185,0,9.25012247e-05
14,16,0,6.283185,0,1.57977485e-04
14,19,0,6.283185,0,2.23861747e-04
14,23,0,6.283185,0,3.19129286e-04
14,27,0,6.283185,0,9.30223799e-05
14,28,0,-6.283185,0,1.05632868e-04
14,35,0,-6.283185,0,1.05632591e-04
14,36,0,6.283185,0,9.30220573e-05
14,40,0,6.283185,0,3.19129731e-04
14,44,0,6.283185,0,2.23861716e-04
14,47,0,6.283185,0,1.57977077e-04
14,48,0,6.283185,0,9.25008495e-05
14,49,0,-6.283185,0,5.86590936e-05
14,53,0,-6.283185,0,2.06965136e-04
14,62,0,6.283185,0,1.64040008e-04
15,3,0,6.283185,0,1.74272996e-04
15,15,0,-6.283185,0,1.46311280e-04
15,18,0,-6.283185,0,1.28264328e-04
15,21,0,-6.283185,0,2.00676909e-04
15,27,0,-6.283185,0,2.72773767e-04
15,28,0,6.283185,0,2.71264079e-04
15,35,0,6.283185,0,2.71263590e-04
15,36,0,-6.283185,0,2.72773125e-04
15,42,0,-6.283185,0,2.00677182e-04
15,45,0,-6.283185,0,1.28264069e-04
15,48,0,-6.283185,0,1.46311211e-04
15,60,0,6.283185,0,1.74273641e-04
16,2,0,-6.283185,0,2.77797566e-04
16,12,0,-6.283185,0,2.19484461e-04
16,14,0,6.283185,0,9.10053125e-05
