backend_label,actual_backend,L,arm,dx,dy,dz,base,duty,orientation,n,source_real,source_imag,source_abs,omega,final_tick,samples,z_real,z_imag,z_exact,relative_error,fit_residual,initial_charge,final_charge,state_unchanged,forbidden_toggles_off,valid
wsl2-cuda-gcc,gpu,32,primary_100,1,0,0,1,2,1,1,0.031250000000000014,-0.3172865746127847,0.31882178866808053,0.11324094111196269,111,17,0.25381151634496557,-2.0599280387552311e-17,0.25381151634495458,4.3304606907004671e-14,5.8357314170550321e-14,0,0,1,1,1
wsl2-cuda-gcc,gpu,32,primary_100,1,0,0,1,2,1,3,0.031249999999999896,-0.10301744402933344,0.1076529436399063,0.3367812122369585,111,17,0.23467868225652824,-1.6493177201545151e-14,0.23467868225655983,1.3459188004155757e-13,3.4114568688089222e-13,0,0,1,1,1
wsl2-cuda-gcc,gpu,32,primary_100,1,0,0,1,2,-1,1,-0.031250000000000014,0.3172865746127847,0.31882178866808053,0.11324094111196269,111,17,0.25381151634496557,-2.0599280387552311e-17,0.25381151634495458,4.3304606907004671e-14,5.8357314170550321e-14,0,0,1,1,1
wsl2-cuda-gcc,gpu,32,primary_100,1,0,0,1,2,-1,3,-0.031249999999999896,0.10301744402933344,0.1076529436399063,0.3367812122369585,111,17,0.23467868225652824,-1.6493177201545151e-14,0.23467868225655983,1.3459188004155757e-13,3.4114568688089222e-13,0,0,1,1,1
wsl2-cuda-gcc,gpu,32,primary_100,1,0,0,2,2,1,2,0.0625,-0.31420871825785751,0.32036443096768041,0.2257499656675141,56,17,0.24651979507456859,1.6294829534162667e-15,0.24651979507456417,1.7901753169761347e-14,7.1323690602432232e-14,0,0,1,1,1
wsl2-cuda-gcc,gpu,32,primary_100,1,0,0,2,2,-1,2,-0.0625,0.31420871825785751,0.32036443096768041,0.2257499656675141,56,17,0.24651979507456859,1.6294829534162667e-15,0.24651979507456417,1.7901753169761347e-14,7.1323690602432232e-14,0,0,1,1,1
wsl2-cuda-gcc,gpu,32,primary_110,1,1,0,1,2,1,1,0.031250000000000083,-0.31728657461278292,0.31882178866807875,0.15997535317849593,79,17,0.25462694724378554,1.0004679543873634e-15,0.25462694724380225,6.5620927798384494e-14,4.9131800145165943e-14,0,0,1,1,1
wsl2-cuda-gcc,gpu,32,primary_110,1,1,0,1,2,1,3,0.031250000000000014,-0.10301744402934213,0.10765294363991464,0.47168867280700144,79,17,0.24146093303282218,1.2465296403152608e-14,0.24146093303286295,1.6885936812730553e-13,7.0177887145595696e-14,0,0,1,1,1
wsl2-cuda-gcc,gpu,32,primary_110,1,1,0,1,2,-1,1,-0.031250000000000083,0.31728657461278292,0.31882178866807875,0.15997535317849593,79,17,0.25462694724378554,1.0004679543873634e-15,0.25462694724380225,6.5620927798384494e-14,4.9131800145165943e-14,0,0,1,1,1
wsl2-cuda-gcc,gpu,32,primary_110,1,1,0,1,2,-1,3,-0.031250000000000014,0.10301744402934213,0.10765294363991464,0.47168867280700144,79,17,0.24146093303282218,1.2465296403152608e-14,0.24146093303286295,1.6885936812730553e-13,7.0177887145595696e-14,0,0,1,1,1
wsl2-cuda-gcc,gpu,32,primary_110,1,1,0,2,2,1,2,0.062499999999999993,-0.31420871825784719,0.32036443096767031,0.31789065382480303,40,17,0.24968751682573004,-2.4511279039012773e-15,0.24968751682570897,8.4371386123269918e-14,1.2395445463746162e-13,0,0,1,1,1
wsl2-cuda-gcc,gpu,32,primary_110,1,1,0,2,2,-1,2,-0.062499999999999993,0.31420871825784719,0.32036443096767031,0.31789065382480303,40,17,0.24968751682573004,-2.4511279039012773e-15,0.24968751682570897,8.4371386123269918e-14,1.2395445463746162e-13,0,0,1,1,1
wsl2-cuda-gcc,gpu,32,primary_111,1,1,1,1,2,1,1,0.031250000000000111,-0.31728657461277932,0.31882178866807515,0.19571770908907202,65,17,0.25544763456825209,7.1528628638903014e-16,0.25544763456825281,2.8250211329067372e-15,8.236415502223841e-14,0,0,1,1,1
