backend_label,actual_backend,L,profile,orientation,dx,dy,dz,n,delta_source_real,delta_source_imag,delta_source_abs,omega,final_tau,samples,z_real,z_imag,z_exact,z_relative_error,fit_residual,residue_ratio,residue_exact,residue_relative_error,tau0_max_abs,tau1_max_abs,max_outside_cone,final_support_radius,movement_events,reaction_events,exact_hop,states_frozen,toggles_valid,backend_valid,execution_valid,causal_pass,mode_pass,advance
wsl2_cuda,gpu,32,full,1,1,0,0,1,-1.0578212591036171e-05,-3.2088657079842626e-06,1.1054202854707956e-05,0.11324094111196269,111,18,0.25381151634495663,-3.4104684928757362e-16,0.25381151634495458,8.0922750280766316e-15,9.6639572120120709e-15,1.0016050828155674,1.0016050828155723,4.8771530737630766e-15,0,0.12813681465428156,0,16,0,0,1,1,1,1,1,1,1,1
wsl2_cuda,gpu,32,full,1,1,0,0,2,1.4001583857843092e-05,9.3555592308464701e-06,1.6839561723812436e-05,0.2257499656675141,111,18,0.24651979507456467,-1.1955929503459289e-15,0.24651979507456417,2.026613566388077e-15,1.0448250708252697e-14,1.006404375131702,1.006404375131702,0,0,0.12813681465428156,0,16,0,0,1,1,1,1,1,1,1,1
wsl2_cuda,gpu,32,full,1,1,0,0,3,8.6026530091222496e-06,1.0482363021025518e-05,1.3560441486173056e-05,0.3367812122369585,111,18,0.23467868225656086,-1.390964243959065e-16,0.23467868225655983,4.3760101595234009e-15,1.3502510135209885e-14,1.0143471580587888,1.0143471580587864,2.4079435080684575e-15,0,0.12813681465428156,0,16,0,0,1,1,1,1,1,1,1,1
wsl2_cuda,gpu,32,full,1,1,1,0,1,1.0578212591036185e-05,3.2088657079842626e-06,1.1054202854707969e-05,0.15997535317849593,111,18,0.25462694724380186,9.5648049080589793e-17,0.25462694724380225,1.5260680883345232e-15,7.0786200757919562e-15,1.0032075645262466,1.0032075645262442,2.4346812569428628e-15,0,0.12813681465428156,0,16,0,0,1,1,1,1,1,1,1,1
wsl2_cuda,gpu,32,full,1,1,1,0,2,1.4001583857843088e-05,9.3555592308464701e-06,1.6839561723812432e-05,0.31789065382480303,111,18,0.24968751682570917,2.6359867842538983e-16,0.24968751682570897,7.7812872577455789e-16,7.0076577062337986e-15,1.0127661575370217,1.0127661575370208,8.7698272013760358e-16,0,0.12813681465428156,0,16,0,0,1,1,1,1,1,1,1,1
wsl2_cuda,gpu,32,full,1,1,1,0,3,-8.6026530091222903e-06,-1.0482363021025559e-05,1.3560441486173114e-05,0.47168867280700144,111,18,0.24146093303286303,5.1548656156238581e-16,0.24146093303286295,3.4484554416740409e-16,5.2871960576204243e-15,1.0284707475111383,1.0284707475111365,1.7271826580376469e-15,0,0.12813681465428156,0,16,0,0,1,1,1,1,1,1,1,1
wsl2_cuda,gpu,32,full,1,1,1,1,1,-1.0578212591036171e-05,-3.2088657079842626e-06,1.1054202854707956e-05,0.19571770908907202,111,18,0.25544763456825342,-2.3079855810239081e-17,0.25544763456825281,2.3904024970749313e-15,4.6548206723412335e-15,1.004807357938833,1.0048073579388339,8.8392905633379302e-16,0,0.12813681465428156,0,16,0,0,1,1,1,1,1,1,1,1
wsl2_cuda,gpu,32,full,1,1,1,1,2,1.4001583857843092e-05,9.3555592308464701e-06,1.6839561723812436e-05,0.38762082949186993,111,18,0.25293770724831977,-2.0212087994646145e-16,0.25293770724831927,1.9751913090239343e-15,5.1227490004809938e-15,1.0190797437773009,1.0190797437773023,1.3073242184287062e-15,0,0.12813681465428156,0,16,0,0,1,1,1,1,1,1,1,1
wsl2_cuda,gpu,32,full,1,1,1,1,3,8.6026530091222496e-06,1.0482363021025518e-05,1.3560441486173056e-05,0.57178367265481389,111,18,0.2486468665284946,1.0898544622512458e-16,0.24864686652849494,1.3395178151154278e-15,7.9652207229283041e-15,1.0423066813847106,1.0423066813847057,4.6867024797931691e-15,0,0.12813681465428156,0,16,0,0,1,1,1,1,1,1,1,1
wsl2_cuda,gpu,32,full,-1,1,0,0,1,1.0578212591036171e-05,3.2088657079842626e-06,1.1054202854707956e-05,0.11324094111196269,111,18,0.25381151634495663,-3.4104684928757362e-16,0.25381151634495458,8.0922750280766316e-15,9.6639572120120709e-15,1.0016050828155674,1.0016050828155723,4.8771530737630766e-15,0,0.12813681465428156,0,16,0,0,1,1,1,1,1,1,1,1
