backend_label,actual_backend,L,profile,orientation,dx,dy,dz,n,delta_source_real,delta_source_imag,delta_source_abs,omega,final_tau,samples,z_real,z_imag,z_exact,z_relative_error,fit_residual,residue_ratio,residue_exact,residue_relative_error,tau0_max_abs,tau1_max_abs,max_outside_cone,final_support_radius,movement_events,reaction_events,exact_hop,states_frozen,toggles_valid,backend_valid,execution_valid,causal_pass,mode_pass,advance
windows_msvc,cpu,48,full,1,1,0,0,1,-2.0695126627412333e-06,-7.0250488713920149e-07,2.1854966890161998e-06,0.075538987083082362,167,18,0.25517740109607373,-1.3541640746279757e-15,0.25517740109607312,2.3929339389812951e-15,2.6520102957075763e-14,1.0007136915258441,1.0007136915258428,1.331317479546829e-15,0,0.12813681465428156,0,24,2,0,1,1,1,1,1,1,1,1
windows_msvc,cpu,48,full,1,1,0,0,2,2.6484123518288204e-06,2.0321982728550792e-06,3.3382507104042727e-06,0.15086168617564061,167,18,0.25190747322726864,2.1534663026457769e-15,0.25190747322726531,1.3221795412439448e-14,1.8875273290498836e-14,1.0028516662618709,1.0028516662618716,6.6423962504655048e-16,0,0.12813681465428156,0,24,2,0,1,1,1,1,1,1,1,1
windows_msvc,cpu,48,full,1,1,0,0,3,1.5002050875321095e-06,2.2452155791806204e-06,2.7002978172143517e-06,0.2257499656675141,167,18,0.24651979507456509,3.572374898266083e-15,0.24651979507456417,3.7154582050448082e-15,3.2013266123820794e-14,1.00640437513171,1.006404375131702,7.9427375067353542e-15,0,0.12813681465428156,0,24,2,0,1,1,1,1,1,1,1,1
windows_msvc,cpu,48,full,1,1,1,0,1,2.0695126627412324e-06,7.025048871391981e-07,2.1854966890161981e-06,0.10677741119984822,167,18,0.2555417669696099,-1.4680468241317263e-16,0.25554176696960984,2.1722926897449003e-16,7.2562954795871607e-15,1.0014268715148267,1.0014268715148289,2.2172822723355824e-15,0,0.12813681465428156,0,24,2,0,1,1,1,1,1,1,1,1
windows_msvc,cpu,48,full,1,1,1,0,2,2.6484123518288136e-06,2.0321982728550792e-06,3.3382507104042672e-06,0.21294438626678536,167,18,0.25334623382398896,-1.4756783735395332e-16,0.25334623382398863,1.3146708453497042e-15,1.1100292233074503e-14,1.0056950613556697,1.005695061355671,1.3247232493657661e-15,0,0.12813681465428156,0,24,2,0,1,1,1,1,1,1,1,1
windows_msvc,cpu,48,full,1,1,1,0,3,-1.5002050875321086e-06,-2.2452155791806382e-06,2.7002978172143661e-06,0.31789065382480303,167,18,0.24968751682570894,-1.1865761222602087e-16,0.24968751682570897,1.1116124653922255e-16,1.0767945162733665e-14,1.012766157537009,1.0127661575370208,1.1620021041823247e-14,0,0.12813681465428156,0,24,2,0,1,1,1,1,1,1,1,1
windows_msvc,cpu,48,full,1,1,1,1,1,-2.0695126627412333e-06,-7.0250488713920149e-07,2.1854966890161998e-06,0.13071264989119702,167,18,0.25590717488159265,-7.719516031420575e-16,0.25590717488159165,3.9045436011122839e-15,1.1684365696489405e-14,1.0021395323190296,1.0021395323190327,3.1019876660856073e-15,0,0.12813681465428156,0,24,2,0,1,1,1,1,1,1,1,1
windows_msvc,cpu,48,full,1,1,1,1,2,2.6484123518288204e-06,2.0321982728550792e-06,3.3382507104042727e-06,0.26029987471541993,167,18,0.25480152368724379,3.6941190351589628e-16,0.25480152368724379,0,5.9286887827555818e-15,1.0085296947896811,1.0085296947896782,2.8621664577039379e-15,0,0.12813681465428156,0,24,2,0,1,1,1,1,1,1,1,1
windows_msvc,cpu,48,full,1,1,1,1,3,1.5002050875321095e-06,2.2452155791806204e-06,2.7002978172143517e-06,0.38762082949186993,167,18,0.25293770724832065,1.1642471422077937e-15,0.25293770724831927,5.4866425250664843e-15,1.1560285568742421e-14,1.0190797437773005,1.0190797437773023,1.7430989579049417e-15,0,0.12813681465428156,0,24,2,0,1,1,1,1,1,1,1,1
windows_msvc,cpu,48,full,-1,1,0,0,1,2.0695126627412333e-06,7.0250488713920149e-07,2.1854966890161998e-06,0.075538987083082362,167,18,0.25517740109607373,-1.3541640746279757e-15,0.25517740109607312,2.3929339389812951e-15,2.6520102957075763e-14,1.0007136915258441,1.0007136915258428,1.331317479546829e-15,0,0.12813681465428156,0,24,2,0,1,1,1,1,1,1,1,1
