k,lambda,delta_eig,tier_eig
0,252.294,-3.97896,relevant
1,121.765,-2.92796,relevant
2,32.1311,-1.0059,relevant
3,-3.79295,nan,n/a
4,-129.314,nan,n/a
5,null,null,n/a
