#,M_ab(b=2)
row\col,JJ,divJ2,curlJ2,JdotDivJ,J4,stateSq
JJ,15.7874,5.8174,-9.3869,52.8303,8.46781,nan
divJ2,0.00839159,5.84603,0.0286221,6.92548,-0.235918,nan
curlJ2,0.202702,-152.833,6.82035,201.249,-0.926365,nan
JdotDivJ,0.00546946,8.33751,-0.0417522,4.74993,-0.0188463,nan
J4,-2.76476,-27.3186,-2.18414,94.5135,239.88,nan
stateSq,nan,nan,nan,nan,nan,nan
