tick,total_energy,manifested,positive,negative,n_clusters,max_cluster_voxels,total_cluster_energy
250,77835.9,0,0,0,0,0,0
300,79082.7,0,0,0,0,0,0
350,80053.4,0,0,0,0,0,0
400,80249.3,0,0,0,0,0,0
450,80799.3,0,0,0,0,0,0
500,80633.9,0,0,0,0,0,0
550,80948.4,0,0,0,0,0,0
600,84011.5,0,0,0,0,0,0
650,85346,0,0,0,0,0,0
700,85392.9,0,0,0,0,0,0
750,88683.5,0,0,0,0,0,0
800,86906.6,0,0,0,0,0,0
850,84467.1,0,0,0,0,0,0
900,84753,0,0,0,0,0,0
950,83614.3,0,0,0,0,0,0
1000,82675.2,0,0,0,0,0,0
1050,81873.7,0,0,0,0,0,0
1100,79943.9,0,0,0,0,0,0
1150,80522.9,0,0,0,0,0,0
1200,80872.9,0,0,0,0,0,0
1250,81532.3,0,0,0,0,0,0
1300,81137.7,0,0,0,0,0,0
1350,79852.7,0,0,0,0,0,0
1400,79960.1,0,0,0,0,0,0
1450,80821.3,0,0,0,0,0,0
1500,80469.2,0,0,0,0,0,0
1550,81172.7,0,0,0,0,0,0
1600,82694.5,0,0,0,0,0,0
1650,81584.4,0,0,0,0,0,0
1700,81589.6,0,0,0,0,0,0
1750,82629.5,0,0,0,0,0,0
1800,84140.2,0,0,0,0,0,0
1850,84780.9,0,0,0,0,0,0
1900,86920,0,0,0,0,0,0
1950,87839.5,0,0,0,0,0,0
2000,89175.3,0,0,0,0,0,0
2050,85564.2,0,0,0,0,0,0
2100,83725.5,0,0,0,0,0,0
2150,84099.4,0,0,0,0,0,0
2200,83752.1,0,0,0,0,0,0
2250,85544.7,0,0,0,0,0,0
2300,88265.9,0,0,0,0,0,0
2350,87175.5,0,0,0,0,0,0
2400,86885,0,0,0,0,0,0
2450,86979,0,0,0,0,0,0
2500,85666.5,0,0,0,0,0,0
2550,84972.3,0,0,0,0,0,0
2600,83726,0,0,0,0,0,0
2650,82571.8,0,0,0,0,0,0
2700,82963.1,0,0,0,0,0,0
