x,y,density,Jx,Jy,Jz,state
0,0,1.70179617e-03,0.00000000e+00,0.00000000e+00,-1.70179617e-03,0
0,1,9.54597988e-04,0.00000000e+00,0.00000000e+00,9.54597988e-04,0
0,2,8.17480822e-04,0.00000000e+00,0.00000000e+00,8.17480822e-04,0
0,3,1.34399430e-04,0.00000000e+00,0.00000000e+00,1.34399430e-04,0
0,4,3.45769212e-04,0.00000000e+00,0.00000000e+00,3.45769212e-04,0
0,5,1.53008351e-03,0.00000000e+00,0.00000000e+00,-1.53008351e-03,0
0,6,1.49476337e-03,0.00000000e+00,0.00000000e+00,1.49476337e-03,0
0,7,2.60234631e-03,0.00000000e+00,0.00000000e+00,-2.60234631e-03,0
0,8,2.68453557e-04,0.00000000e+00,0.00000000e+00,-2.68453557e-04,0
0,9,3.34497129e-03,0.00000000e+00,0.00000000e+00,3.34497129e-03,0
0,10,8.16797667e-04,0.00000000e+00,0.00000000e+00,8.16797667e-04,0
0,11,1.61000518e-03,0.00000000e+00,0.00000000e+00,1.61000518e-03,0
0,12,2.03148639e-03,0.00000000e+00,0.00000000e+00,-2.03148639e-03,0
0,13,1.13198057e-03,0.00000000e+00,0.00000000e+00,1.13198057e-03,0
0,14,1.43085870e-03,0.00000000e+00,0.00000000e+00,1.43085870e-03,0
0,15,2.45203997e-03,0.00000000e+00,0.00000000e+00,2.45203997e-03,0
0,16,9.94512649e-04,0.00000000e+00,0.00000000e+00,-9.94512649e-04,0
0,17,1.19830429e-04,0.00000000e+00,0.00000000e+00,1.19830429e-04,0
0,18,7.48030183e-04,0.00000000e+00,0.00000000e+00,-7.48030183e-04,0
0,19,7.01699758e-04,0.00000000e+00,0.00000000e+00,7.01699758e-04,0
0,20,8.35172260e-04,0.00000000e+00,0.00000000e+00,-8.35172260e-04,0
0,21,1.94127907e-03,0.00000000e+00,0.00000000e+00,1.94127907e-03,0
0,22,9.90354474e-04,0.00000000e+00,0.00000000e+00,-9.90354474e-04,0
0,23,1.51425939e-05,0.00000000e+00,0.00000000e+00,1.51425939e-05,0
0,24,1.99025587e-03,0.00000000e+00,0.00000000e+00,-1.99025587e-03,0
0,25,2.71680253e-03,0.00000000e+00,0.00000000e+00,2.71680253e-03,0
0,26,2.09930539e-04,0.00000000e+00,0.00000000e+00,2.09930539e-04,0
0,27,3.66776719e-04,0.00000000e+00,0.00000000e+00,3.66776719e-04,0
0,28,8.14605165e-05,0.00000000e+00,0.00000000e+00,8.14605165e-05,0
0,29,1.33538376e-03,0.00000000e+00,0.00000000e+00,1.33538376e-03,0
0,30,1.83165567e-03,0.00000000e+00,0.00000000e+00,1.83165567e-03,0
0,31,9.61720516e-04,0.00000000e+00,0.00000000e+00,9.61720516e-04,0
0,32,1.39932386e-03,0.00000000e+00,0.00000000e+00,1.39932386e-03,0
0,33,9.61720516e-04,0.00000000e+00,0.00000000e+00,9.61720516e-04,0
0,34,1.83165567e-03,0.00000000e+00,0.00000000e+00,1.83165567e-03,0
0,35,1.33538376e-03,0.00000000e+00,0.00000000e+00,1.33538376e-03,0
0,36,8.14605165e-05,0.00000000e+00,0.00000000e+00,8.14605165e-05,0
0,37,3.66776719e-04,0.00000000e+00,0.00000000e+00,3.66776719e-04,0
0,38,2.09930539e-04,0.00000000e+00,0.00000000e+00,2.09930539e-04,0
0,39,2.71680253e-03,0.00000000e+00,0.00000000e+00,2.71680253e-03,0
0,40,1.99025587e-03,0.00000000e+00,0.00000000e+00,-1.99025587e-03,0
0,41,1.51425939e-05,0.00000000e+00,0.00000000e+00,1.51425939e-05,0
0,42,9.90354474e-04,0.00000000e+00,0.00000000e+00,-9.90354474e-04,0
0,43,1.94127907e-03,0.00000000e+00,0.00000000e+00,1.94127907e-03,0
0,44,8.35172260e-04,0.00000000e+00,0.00000000e+00,-8.35172260e-04,0
0,45,7.01699758e-04,0.00000000e+00,0.00000000e+00,7.01699758e-04,0
0,46,7.48030183e-04,0.00000000e+00,0.00000000e+00,-7.48030183e-04,0
0,47,1.19830429e-04,0.00000000e+00,0.00000000e+00,1.19830429e-04,0
0,48,9.94512649e-04,0.00000000e+00,0.00000000e+00,-9.94512649e-04,0
0,49,2.45203997e-03,0.00000000e+00,0.00000000e+00,2.45203997e-03,0
0,50,1.43085870e-03,0.00000000e+00,0.00000000e+00,1.43085870e-03,0
0,51,1.13198057e-03,0.00000000e+00,0.00000000e+00,1.13198057e-03,0
0,52,2.03148639e-03,0.00000000e+00,0.00000000e+00,-2.03148639e-03,0
0,53,1.61000518e-03,0.00000000e+00,0.00000000e+00,1.61000518e-03,0
0,54,8.16797667e-04,0.00000000e+00,0.00000000e+00,8.16797667e-04,0
0,55,3.34497129e-03,0.00000000e+00,0.00000000e+00,3.34497129e-03,0
0,56,2.68453557e-04,0.00000000e+00,0.00000000e+00,-2.68453557e-04,0
0,57,2.60234631e-03,0.00000000e+00,0.00000000e+00,-2.60234631e-03,0
0,58,1.49476337e-03,0.00000000e+00,0.00000000e+00,1.49476337e-03,0
0,59,1.53008351e-03,0.00000000e+00,0.00000000e+00,-1.53008351e-03,0
0,60,3.45769212e-04,0.00000000e+00,0.00000000e+00,3.45769212e-04,0
0,61,1.34399430e-04,0.00000000e+00,0.00000000e+00,1.34399430e-04,0
0,62,8.17480822e-04,0.00000000e+00,0.00000000e+00,8.17480822e-04,0
0,63,9.54597988e-04,0.00000000e+00,0.00000000e+00,9.54597988e-04,0
1,0,9.54597988e-04,0.00000000e+00,0.00000000e+00,9.54597988e-04,0
1,1,8.36297608e-04,0.00000000e+00,0.00000000e+00,8.36297608e-04,0
1,2,3.59209821e-04,0.00000000e+00,0.00000000e+00,3.59209821e-04,0
1,3,1.51594694e-04,0.00000000e+00,0.00000000e+00,1.51594694e-04,0
1,4,5.32018044e-04,0.00000000e+00,0.00000000e+00,5.32018044e-04,0
1,5,4.26291455e-04,0.00000000e+00,0.00000000e+00,4.26291455e-04,0
1,6,3.04177815e-04,0.00000000e+00,0.00000000e+00,-3.04177815e-04,0
1,7,1.12987499e-03,0.00000000e+00,0.00000000e+00,-1.12987499e-03,0
1,8,1.30014641e-03,0.00000000e+00,0.00000000e+00,1.30014641e-03,0
1,9,8.18214533e-04,0.00000000e+00,0.00000000e+00,8.18214533e-04,0
1,10,2.52399730e-03,0.00000000e+00,0.00000000e+00,-2.52399730e-03,0
1,11,9.17277251e-04,0.00000000e+00,0.00000000e+00,-9.17277251e-04,0
1,12,6.27845550e-06,0.00000000e+00,0.00000000e+00,-6.27845550e-06,0
1,13,2.87693076e-04,0.00000000e+00,0.00000000e+00,-2.87693076e-04,0
1,14,1.07553488e-03,0.00000000e+00,0.00000000e+00,-1.07553488e-03,0
1,15,1.74606955e-03,0.00000000e+00,0.00000000e+00,1.74606955e-03,0
1,16,1.88063779e-03,0.00000000e+00,0.00000000e+00,1.88063779e-03,0
1,17,1.57836414e-03,0.00000000e+00,0.00000000e+00,-1.57836414e-03,0
1,18,1.16988252e-03,0.00000000e+00,0.00000000e+00,-1.16988252e-03,0
1,19,6.44187866e-04,0.00000000e+00,0.00000000e+00,-6.44187866e-04,0
1,20,6.02824130e-04,0.00000000e+00,0.00000000e+00,-6.02824130e-04,0
1,21,1.12416599e-03,0.00000000e+00,0.00000000e+00,-1.12416599e-03,0
1,22,1.03782972e-03,0.00000000e+00,0.00000000e+00,-1.03782972e-03,0
1,23,8.53925982e-04,0.00000000e+00,0.00000000e+00,-8.53925982e-04,0
1,24,5.18770090e-04,0.00000000e+00,0.00000000e+00,5.18770090e-04,0
1,25,6.01418987e-04,0.00000000e+00,0.00000000e+00,6.01418987e-04,0
1,26,9.25303565e-04,0.00000000e+00,0.00000000e+00,9.25303565e-04,0
1,27,1.66112151e-04,0.00000000e+00,0.00000000e+00,-1.66112151e-04,0
1,28,2.38829356e-04,0.00000000e+00,0.00000000e+00,-2.38829356e-04,0
1,29,1.83388038e-04,0.00000000e+00,0.00000000e+00,1.83388038e-04,0
1,30,6.42330787e-04,0.00000000e+00,0.00000000e+00,-6.42330787e-04,0
1,31,1.37918171e-04,0.00000000e+00,0.00000000e+00,-1.37918171e-04,0
1,32,9.06576496e-04,0.00000000e+00,0.00000000e+00,-9.06576496e-04,0
1,33,1.37918171e-04,0.00000000e+00,0.00000000e+00,-1.37918171e-04,0
1,34,6.42330787e-04,0.00000000e+00,0.00000000e+00,-6.42330787e-04,0
1,35,1.83388038e-04,0.00000000e+00,0.00000000e+00,1.83388038e-04,0
1,36,2.38829356e-04,0.00000000e+00,0.00000000e+00,-2.38829356e-04,0
1,37,1.66112151e-04,0.00000000e+00,0.00000000e+00,-1.66112151e-04,0
1,38,9.25303565e-04,0.00000000e+00,0.00000000e+00,9.25303565e-04,0
1,39,6.01418987e-04,0.00000000e+00,0.00000000e+00,6.01418987e-04,0
1,40,5.18770090e-04,0.00000000e+00,0.00000000e+00,5.18770090e-04,0
1,41,8.53925982e-04,0.00000000e+00,0.00000000e+00,-8.53925982e-04,0
1,42,1.03782972e-03,0.00000000e+00,0.00000000e+00,-1.03782972e-03,0
1,43,1.12416599e-03,0.00000000e+00,0.00000000e+00,-1.12416599e-03,0
1,44,6.02824130e-04,0.00000000e+00,0.00000000e+00,-6.02824130e-04,0
1,45,6.44187866e-04,0.00000000e+00,0.00000000e+00,-6.44187866e-04,0
1,46,1.16988252e-03,0.00000000e+00,0.00000000e+00,-1.16988252e-03,0
1,47,1.57836414e-03,0.00000000e+00,0.00000000e+00,-1.57836414e-03,0
1,48,1.88063779e-03,0.00000000e+00,0.00000000e+00,1.88063779e-03,0
1,49,1.74606955e-03,0.00000000e+00,0.00000000e+00,1.74606955e-03,0
1,50,1.07553488e-03,0.00000000e+00,0.00000000e+00,-1.07553488e-03,0
1,51,2.87693076e-04,0.00000000e+00,0.00000000e+00,-2.87693076e-04,0
1,52,6.27845550e-06,0.00000000e+00,0.00000000e+00,-6.27845550e-06,0
1,53,9.17277251e-04,0.00000000e+00,0.00000000e+00,-9.17277251e-04,0
1,54,2.52399730e-03,0.00000000e+00,0.00000000e+00,-2.52399730e-03,0
1,55,8.18214533e-04,0.00000000e+00,0.00000000e+00,8.18214533e-04,0
1,56,1.30014641e-03,0.00000000e+00,0.00000000e+00,1.30014641e-03,0
1,57,1.12987499e-03,0.00000000e+00,0.00000000e+00,-1.12987499e-03,0
1,58,3.04177815e-04,0.00000000e+00,0.00000000e+00,-3.04177815e-04,0
1,59,4.26291455e-04,0.00000000e+00,0.00000000e+00,4.26291455e-04,0
1,60,5.32018044e-04,0.00000000e+00,0.00000000e+00,5.32018044e-04,0
1,61,1.51594694e-04,0.00000000e+00,0.00000000e+00,1.51594694e-04,0
1,62,3.59209821e-04,0.00000000e+00,0.00000000e+00,3.59209821e-04,0
1,63,8.36297608e-04,0.00000000e+00,0.00000000e+00,8.36297608e-04,0
2,0,8.17480822e-04,0.00000000e+00,0.00000000e+00,8.17480822e-04,0
2,1,3.59209821e-04,0.00000000e+00,0.00000000e+00,3.59209821e-04,0
2,2,5.21074765e-04,0.00000000e+00,0.00000000e+00,-5.21074765e-04,0
2,3,2.85782292e-04,0.00000000e+00,0.00000000e+00,-2.85782292e-04,0
2,4,4.55816248e-04,0.00000000e+00,0.00000000e+00,4.55816248e-04,0
2,5,2.65756666e-04,0.00000000e+00,0.00000000e+00,2.65756666e-04,0
2,6,5.14565660e-04,0.00000000e+00,0.00000000e+00,-5.14565660e-04,0
2,7,1.25744515e-04,0.00000000e+00,0.00000000e+00,1.25744515e-04,0
2,8,4.91749324e-04,0.00000000e+00,0.00000000e+00,4.91749324e-04,0
2,9,3.60272043e-04,0.00000000e+00,0.00000000e+00,-3.60272043e-04,0
2,10,8.28186663e-04,0.00000000e+00,0.00000000e+00,8.28186663e-04,0
