x,y,density,Jx,Jy,Jz,state
0,0,1.92909834e-02,0.00000000e+00,0.00000000e+00,1.92909834e-02,0
0,1,1.93523271e-03,0.00000000e+00,0.00000000e+00,1.93523271e-03,0
0,2,1.13628657e-02,0.00000000e+00,0.00000000e+00,-1.13628657e-02,0
0,3,2.18531334e-03,0.00000000e+00,0.00000000e+00,-2.18531334e-03,0
0,4,1.41630771e-03,0.00000000e+00,0.00000000e+00,-1.41630771e-03,0
0,5,1.31981349e-04,0.00000000e+00,0.00000000e+00,1.31981349e-04,0
0,6,4.05560831e-03,0.00000000e+00,0.00000000e+00,4.05560831e-03,0
0,7,3.60069989e-05,0.00000000e+00,0.00000000e+00,3.60069989e-05,0
0,8,6.16684022e-04,0.00000000e+00,0.00000000e+00,6.16684022e-04,0
0,9,1.60427697e-03,0.00000000e+00,0.00000000e+00,1.60427697e-03,0
0,10,9.88366046e-04,0.00000000e+00,0.00000000e+00,9.88366046e-04,0
0,11,2.71819190e-05,0.00000000e+00,0.00000000e+00,2.71819190e-05,0
0,12,2.34421933e-03,0.00000000e+00,0.00000000e+00,-2.34421933e-03,0
0,13,4.26067379e-03,0.00000000e+00,0.00000000e+00,-4.26067379e-03,0
0,14,4.18035632e-04,0.00000000e+00,0.00000000e+00,4.18035632e-04,0
0,15,3.15247429e-04,0.00000000e+00,0.00000000e+00,-3.15247429e-04,0
0,16,1.62886475e-03,0.00000000e+00,0.00000000e+00,-1.62886475e-03,0
0,17,3.00457874e-04,0.00000000e+00,0.00000000e+00,3.00457874e-04,0
0,18,2.40080161e-03,0.00000000e+00,0.00000000e+00,-2.40080161e-03,0
0,19,2.70861464e-03,0.00000000e+00,0.00000000e+00,-2.70861464e-03,0
0,20,2.00780506e-03,0.00000000e+00,0.00000000e+00,2.00780506e-03,0
0,21,3.80577755e-03,0.00000000e+00,0.00000000e+00,-3.80577755e-03,0
0,22,7.12230021e-03,0.00000000e+00,0.00000000e+00,-7.12230021e-03,0
0,23,3.28419135e-03,0.00000000e+00,0.00000000e+00,-3.28419135e-03,0
0,24,8.01379722e-03,0.00000000e+00,0.00000000e+00,8.01379722e-03,0
0,25,2.11790131e-03,0.00000000e+00,0.00000000e+00,2.11790131e-03,0
0,26,4.04972948e-03,0.00000000e+00,0.00000000e+00,-4.04972948e-03,0
0,27,3.44710635e-03,0.00000000e+00,0.00000000e+00,-3.44710635e-03,0
0,28,3.97391085e-03,0.00000000e+00,0.00000000e+00,-3.97391085e-03,0
0,29,6.68629460e-04,0.00000000e+00,0.00000000e+00,-6.68629460e-04,0
0,30,8.96696987e-04,0.00000000e+00,0.00000000e+00,8.96696987e-04,0
0,31,5.82772369e-03,0.00000000e+00,0.00000000e+00,5.82772369e-03,0
0,32,2.60470477e-03,0.00000000e+00,0.00000000e+00,2.60470477e-03,0
0,33,5.82772369e-03,0.00000000e+00,0.00000000e+00,5.82772369e-03,0
0,34,8.96696987e-04,0.00000000e+00,0.00000000e+00,8.96696987e-04,0
0,35,6.68629460e-04,0.00000000e+00,0.00000000e+00,-6.68629460e-04,0
0,36,3.97391085e-03,0.00000000e+00,0.00000000e+00,-3.97391085e-03,0
0,37,3.44710635e-03,0.00000000e+00,0.00000000e+00,-3.44710635e-03,0
0,38,4.04972948e-03,0.00000000e+00,0.00000000e+00,-4.04972948e-03,0
0,39,2.11790131e-03,0.00000000e+00,0.00000000e+00,2.11790131e-03,0
0,40,8.01379722e-03,0.00000000e+00,0.00000000e+00,8.01379722e-03,0
0,41,3.28419135e-03,0.00000000e+00,0.00000000e+00,-3.28419135e-03,0
0,42,7.12230021e-03,0.00000000e+00,0.00000000e+00,-7.12230021e-03,0
0,43,3.80577755e-03,0.00000000e+00,0.00000000e+00,-3.80577755e-03,0
0,44,2.00780506e-03,0.00000000e+00,0.00000000e+00,2.00780506e-03,0
0,45,2.70861464e-03,0.00000000e+00,0.00000000e+00,-2.70861464e-03,0
0,46,2.40080161e-03,0.00000000e+00,0.00000000e+00,-2.40080161e-03,0
0,47,3.00457874e-04,0.00000000e+00,0.00000000e+00,3.00457874e-04,0
0,48,1.62886475e-03,0.00000000e+00,0.00000000e+00,-1.62886475e-03,0
0,49,3.15247429e-04,0.00000000e+00,0.00000000e+00,-3.15247429e-04,0
0,50,4.18035632e-04,0.00000000e+00,0.00000000e+00,4.18035632e-04,0
0,51,4.26067379e-03,0.00000000e+00,0.00000000e+00,-4.26067379e-03,0
0,52,2.34421933e-03,0.00000000e+00,0.00000000e+00,-2.34421933e-03,0
0,53,2.71819190e-05,0.00000000e+00,0.00000000e+00,2.71819190e-05,0
0,54,9.88366046e-04,0.00000000e+00,0.00000000e+00,9.88366046e-04,0
0,55,1.60427697e-03,0.00000000e+00,0.00000000e+00,1.60427697e-03,0
0,56,6.16684022e-04,0.00000000e+00,0.00000000e+00,6.16684022e-04,0
0,57,3.60069989e-05,0.00000000e+00,0.00000000e+00,3.60069989e-05,0
0,58,4.05560831e-03,0.00000000e+00,0.00000000e+00,4.05560831e-03,0
0,59,1.31981349e-04,0.00000000e+00,0.00000000e+00,1.31981349e-04,0
0,60,1.41630771e-03,0.00000000e+00,0.00000000e+00,-1.41630771e-03,0
0,61,2.18531334e-03,0.00000000e+00,0.00000000e+00,-2.18531334e-03,0
0,62,1.13628657e-02,0.00000000e+00,0.00000000e+00,-1.13628657e-02,0
0,63,1.93523271e-03,0.00000000e+00,0.00000000e+00,1.93523271e-03,0
1,0,1.93523271e-03,0.00000000e+00,0.00000000e+00,1.93523271e-03,0
1,1,1.15156363e-03,0.00000000e+00,0.00000000e+00,-1.15156363e-03,0
1,2,3.98942477e-04,0.00000000e+00,0.00000000e+00,-3.98942477e-04,0
1,3,2.74238632e-03,0.00000000e+00,0.00000000e+00,2.74238632e-03,0
1,4,2.34712278e-03,0.00000000e+00,0.00000000e+00,-2.34712278e-03,0
1,5,4.50679371e-04,0.00000000e+00,0.00000000e+00,-4.50679371e-04,0
1,6,3.99593098e-03,0.00000000e+00,0.00000000e+00,3.99593098e-03,0
1,7,1.22981162e-03,0.00000000e+00,0.00000000e+00,-1.22981162e-03,0
1,8,7.75621330e-04,0.00000000e+00,0.00000000e+00,-7.75621330e-04,0
1,9,1.38116715e-03,0.00000000e+00,0.00000000e+00,-1.38116715e-03,0
1,10,1.12171662e-03,0.00000000e+00,0.00000000e+00,-1.12171662e-03,0
1,11,1.70465299e-03,0.00000000e+00,0.00000000e+00,1.70465299e-03,0
1,12,1.27286457e-03,0.00000000e+00,0.00000000e+00,-1.27286457e-03,0
1,13,8.13904335e-04,0.00000000e+00,0.00000000e+00,-8.13904335e-04,0
1,14,2.09341878e-03,0.00000000e+00,0.00000000e+00,-2.09341878e-03,0
1,15,7.15712250e-04,0.00000000e+00,0.00000000e+00,-7.15712250e-04,0
1,16,1.45963511e-03,0.00000000e+00,0.00000000e+00,-1.45963511e-03,0
1,17,1.40276487e-03,0.00000000e+00,0.00000000e+00,1.40276487e-03,0
1,18,6.26803617e-04,0.00000000e+00,0.00000000e+00,6.26803617e-04,0
1,19,3.20528678e-04,0.00000000e+00,0.00000000e+00,3.20528678e-04,0
1,20,2.87938406e-03,0.00000000e+00,0.00000000e+00,-2.87938406e-03,0
1,21,4.64736744e-04,0.00000000e+00,0.00000000e+00,-4.64736744e-04,0
1,22,3.51419182e-04,0.00000000e+00,0.00000000e+00,-3.51419182e-04,0
1,23,8.09443188e-04,0.00000000e+00,0.00000000e+00,-8.09443188e-04,0
1,24,4.19639670e-04,0.00000000e+00,0.00000000e+00,4.19639670e-04,0
1,25,1.60587323e-03,0.00000000e+00,0.00000000e+00,-1.60587323e-03,0
1,26,3.33760976e-03,0.00000000e+00,0.00000000e+00,-3.33760976e-03,0
1,27,7.96411024e-04,0.00000000e+00,0.00000000e+00,7.96411024e-04,0
1,28,1.97365039e-03,0.00000000e+00,0.00000000e+00,-1.97365039e-03,0
1,29,3.52647837e-04,0.00000000e+00,0.00000000e+00,-3.52647837e-04,0
1,30,8.56424715e-04,0.00000000e+00,0.00000000e+00,8.56424715e-04,0
1,31,1.61377738e-03,0.00000000e+00,0.00000000e+00,-1.61377738e-03,0
1,32,1.73363171e-03,0.00000000e+00,0.00000000e+00,1.73363171e-03,0
1,33,1.61377738e-03,0.00000000e+00,0.00000000e+00,-1.61377738e-03,0
1,34,8.56424715e-04,0.00000000e+00,0.00000000e+00,8.56424715e-04,0
1,35,3.52647837e-04,0.00000000e+00,0.00000000e+00,-3.52647837e-04,0
1,36,1.97365039e-03,0.00000000e+00,0.00000000e+00,-1.97365039e-03,0
1,37,7.96411024e-04,0.00000000e+00,0.00000000e+00,7.96411024e-04,0
1,38,3.33760976e-03,0.00000000e+00,0.00000000e+00,-3.33760976e-03,0
1,39,1.60587323e-03,0.00000000e+00,0.00000000e+00,-1.60587323e-03,0
1,40,4.19639670e-04,0.00000000e+00,0.00000000e+00,4.19639670e-04,0
1,41,8.09443188e-04,0.00000000e+00,0.00000000e+00,-8.09443188e-04,0
1,42,3.51419182e-04,0.00000000e+00,0.00000000e+00,-3.51419182e-04,0
1,43,4.64736744e-04,0.00000000e+00,0.00000000e+00,-4.64736744e-04,0
1,44,2.87938406e-03,0.00000000e+00,0.00000000e+00,-2.87938406e-03,0
1,45,3.20528678e-04,0.00000000e+00,0.00000000e+00,3.20528678e-04,0
1,46,6.26803617e-04,0.00000000e+00,0.00000000e+00,6.26803617e-04,0
1,47,1.40276487e-03,0.00000000e+00,0.00000000e+00,1.40276487e-03,0
1,48,1.45963511e-03,0.00000000e+00,0.00000000e+00,-1.45963511e-03,0
1,49,7.15712250e-04,0.00000000e+00,0.00000000e+00,-7.15712250e-04,0
1,50,2.09341878e-03,0.00000000e+00,0.00000000e+00,-2.09341878e-03,0
