record,key,value,details
force,0,-1,quadratic,legacy,0.002,0,-0.00017084908620570874,-1.4594705128662849e-05,1.4594705128662849e-05,0,0.0001854437913343716
force,0,-1,quadratic,emergent,0.002,0,-0.00017084908620570874,-1.4594705128662849e-05,0,0,0.00017084908620570874
force,0,-1,affine,legacy,0,0.0010000000000000009,0,0,0,0,0
force,0,-1,affine,emergent,0,0.0010000000000000009,0,0,-8.5424543102854451e-05,0,8.5424543102854451e-05
force,0,1,quadratic,legacy,0.002,0,0.00017084908620570874,1.4594705128662849e-05,-1.4594705128662849e-05,0,0.0001854437913343716
force,0,1,quadratic,emergent,0.002,0,0.00017084908620570874,1.4594705128662849e-05,0,0,0.00017084908620570874
force,0,1,affine,legacy,0,0.0010000000000000009,0,0,0,0,0
force,0,1,affine,emergent,0,0.0010000000000000009,0,0,8.5424543102854451e-05,0,8.5424543102854451e-05
force,1,-1,quadratic,legacy,0.002,0,-0.00017084908620570874,-1.4594705128662849e-05,1.4594705128662849e-05,0,0.0001854437913343716
force,1,-1,quadratic,emergent,0.002,0,-0.00017084908620570874,-1.4594705128662849e-05,0,0,0.00017084908620570874
force,1,-1,affine,legacy,0,0.0010000000000000009,0,0,0,0,0
force,1,-1,affine,emergent,0,0.0010000000000000009,0,0,-8.5424543102854451e-05,0,8.5424543102854451e-05
force,1,1,quadratic,legacy,0.002,0,0.00017084908620570874,1.4594705128662849e-05,-1.4594705128662849e-05,0,0.0001854437913343716
force,1,1,quadratic,emergent,0.002,0,0.00017084908620570874,1.4594705128662849e-05,0,0,0.00017084908620570874
force,1,1,affine,legacy,0,0.0010000000000000009,0,0,0,0,0
force,1,1,affine,emergent,0,0.0010000000000000009,0,0,8.5424543102854451e-05,0,8.5424543102854451e-05
force,2,-1,quadratic,legacy,0.002,0,-0.00017084908620570874,-1.4594705128662849e-05,1.4594705128662849e-05,0,0.0001854437913343716
force,2,-1,quadratic,emergent,0.002,0,-0.00017084908620570874,-1.4594705128662849e-05,0,0,0.00017084908620570874
force,2,-1,affine,legacy,0,0.0010000000000000009,0,0,0,0,0
force,2,-1,affine,emergent,0,0.0010000000000000009,0,0,-8.5424543102854451e-05,0,8.5424543102854451e-05
force,2,1,quadratic,legacy,0.002,0,0.00017084908620570874,1.4594705128662849e-05,-1.4594705128662849e-05,0,0.0001854437913343716
force,2,1,quadratic,emergent,0.002,0,0.00017084908620570874,1.4594705128662849e-05,0,0,0.00017084908620570874
force,2,1,affine,legacy,0,0.0010000000000000009,0,0,0,0,0
force,2,1,affine,emergent,0,0.0010000000000000009,0,0,8.5424543102854451e-05,0,8.5424543102854451e-05
poisson,axis,0,j_independence_residual,0,quadratic_action_residual,0.00016116513759279085,affine_action_residual,9.6839486129477438e-06
poisson,axis,1,j_independence_residual,0,quadratic_action_residual,0.00016069429868694949,affine_action_residual,1.015478751877032e-05
poisson,axis,2,j_independence_residual,0,quadratic_action_residual,0.00015842791370446571,affine_action_residual,1.2421172501276064e-05
summary,source_residual,0,adjoint_residual,2.1684043449710089e-19,worst_formula_residual,0,worst_covariance_residual,0,worst_oddness_residual,0,helper_action_residual,0.00015625438107704588,poisson_j_independence_residual,0,min_poisson_action_residual,9.6839486129477438e-06,legacy_action,false,emergent_action,false,poisson_action,false,valid,true
verdict,NO_PRODUCTION_FORCE_BRANCH_IS_NATIVE_SINGLE_ACTION_PARTNER
