backend_label,actual_backend,L,arm,seed,dx,dy,dz,n,tick,source_before_real,source_before_imag,expected_loss_real,expected_loss_imag,predicted_next_real,predicted_next_imag,source_after_real,source_after_imag,source_hazard,expected_removals,removal_variance,actual_removed,occupancy_before,occupancy_after,eligible_sites,mean_site_probability,min_site_probability,max_site_probability,mean_local_energy,max_local_energy,history_evaporation,history_other,history_required,history_enabled,toggles_valid,structural_valid,execution_valid
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,0,0.0625,-0.63457314922559527,0.0062499999999997766,-0.063457314922570437,0.056250000000000223,-0.57111583430302482,0.057531877738941972,-0.57208831785605307,0.10000000000001699,3276.7999999981153,2949.1200000006443,3228,32768,29540,32768,0.099999999999942482,0.10000000000000001,0.10000000000000001,0,0,3228,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,1,0.057531877738941972,-0.57208831785605307,0.0057531877738940494,-0.057208831785614617,0.051778689965047919,-0.51487948607043843,0.051295264518842365,-0.51371539326821114,0.10000000000001609,2953.9999999984088,2658.6000000001745,2998,29540,26542,29540,0.099999999999946132,0.10000000000000001,0.10000000000000001,0,0,2998,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,2,0.051295264518842365,-0.51371539326821114,0.0051295264518841548,-0.051371539326816526,0.046165738066958208,-0.4623438539413946,0.046864373889280928,-0.4620799251752073,0.099999999999991138,2654.1999999986815,2388.7799999997383,2679,26542,23863,26542,0.099999999999950323,0.10000000000000001,0.10000000000000001,0,0,2679,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,3,0.046864373889280928,-0.4620799251752073,0.0046864373889279401,-0.046207992517521487,0.042177936500352987,-0.41587193265768579,0.042725387198388684,-0.41494573315003436,0.10000000000000159,2386.2999999989252,2147.6699999993484,2405,23863,21458,23863,0.099999999999954958,0.10000000000000001,0.10000000000000001,0,0,2405,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,4,0.042725387198388684,-0.41494573315003436,0.0042725387198386819,-0.041494573315007638,0.038452848478550003,-0.37345115983502675,0.03882953483143517,-0.37363118357422437,0.10000000000001,2145.7999999991439,1931.2199999992933,2165,21458,19293,21458,0.099999999999960107,0.10000000000000001,0.10000000000000001,0,0,2165,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,5,0.03882953483143517,-0.37363118357422437,0.0038829534831434096,-0.037363118357428213,0.034946581348291761,-0.33626806521679614,0.03506919729694162,-0.33597775510921646,0.10000000000001527,1929.2999999993408,1736.3699999994706,1949,19293,17344,19293,0.099999999999965838,0.10000000000000001,0.10000000000000001,0,0,1949,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,6,0.03506919729694162,-0.33597775510921646,0.0035069197296940992,-0.033597775510921732,0.031562277567247519,-0.30237997959829471,0.032432358499611333,-0.30236414296390685,0.10000000000000023,1734.3999999995181,1560.9599999996301,1718,17344,15626,17344,0.099999999999972208,0.10000000000000001,0.10000000000000001,0,0,1718,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,7,0.032432358499611333,-0.30236414296390685,0.0032432358499611185,-0.030236414296386769,0.029189122649650213,-0.27212772866752005,0.028795837248997903,-0.27234288747449903,0.099999999999987196,1562.5999999996743,1406.3399999997707,1540,15626,14086,15626,0.099999999999979161,0.10000000000000001,0.10000000000000001,0,0,1540,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,8,0.028795837248997903,-0.27234288747449903,0.0028795837248997798,-0.027234288747447148,0.025916253524098123,-0.24510859872705187,0.025399104596009928,-0.24542392817324979,0.099999999999989986,1408.5999999998144,1267.7399999998968,1383,14086,12703,14086,0.099999999999986822,0.10000000000000001,0.10000000000000001,0,0,1383,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,0,1,0,0,1,9,0.025399104596009928,-0.24542392817324979,0.0025399104596009942,-0.024542392817323073,0.022859194136408932,-0.22088153535592672,0.02193944650986273,-0.21992658809904453,0.099999999999992317,1270.2999999999402,1143.27000000001,1314,12703,11389,12703,0.099999999999995287,0.10000000000000001,0.10000000000000001,0,0,1314,0,1,1,1,1,1
