tick,total_energy,manifested,positive,negative,n_clusters,max_cluster_voxels,total_cluster_energy
250,1132.72,25,12,13,1,25,0.525478
300,1143.14,25,12,13,1,25,0.401579
350,1088.34,25,12,13,1,25,0.307363
400,1082.95,25,12,13,1,25,0.417269
450,1138.05,25,12,13,1,25,0.420051
500,1097.18,25,12,13,1,25,0.377222
550,1122.47,25,12,13,1,25,0.416396
600,1149.98,25,12,13,1,25,0.483399
650,1269.29,25,12,13,1,25,0.521301
700,1437.76,25,12,13,1,25,0.753822
750,1724.71,25,12,13,1,25,0.791336
800,1930.84,25,12,13,1,25,0.948588
850,1962.96,25,12,13,1,25,1.47969
900,2189.51,25,12,13,1,25,1.07649
950,2697.8,25,12,13,1,25,2.22218
1000,3364.99,25,12,13,1,25,2.03407
1050,3933.71,25,12,13,1,25,2.7299
1100,4784.85,25,12,13,1,25,3.15336
1150,4781.05,25,12,13,1,25,3.02574
1200,4436.53,25,12,13,1,25,2.84932
1250,4320.45,25,12,13,1,25,2.53318
1300,4396.76,25,12,13,1,25,2.76496
1350,3987.51,25,12,13,1,25,2.88742
1400,3753.72,25,12,13,1,25,1.99682
1450,3799.71,25,12,13,1,25,3.02866
1500,4266.15,25,12,13,1,25,3.04687
1550,4667.59,25,12,13,1,25,3.12193
1600,4493.26,25,12,13,1,25,3.12086
1650,4176.35,25,12,13,1,25,2.9604
1700,3789.79,25,12,13,1,25,2.07844
1750,3258.94,25,12,13,1,25,2.20691
1800,3056.77,25,12,13,1,25,1.8364
1850,3108.01,25,12,13,1,25,2.29008
1900,2957.35,25,12,13,1,25,1.51683
1950,3019.53,25,12,13,1,25,1.7784
2000,3148.81,25,12,13,1,25,1.52015
2050,3043.18,25,12,13,1,25,2.10698
2100,3200.76,25,12,13,1,25,2.06498
2150,3485.39,25,12,13,1,25,2.26651
2200,4167.53,25,12,13,1,25,2.78751
2250,4629.63,25,12,13,1,25,2.85812
2300,4694.82,25,12,13,1,25,2.67883
2350,4810.86,25,12,13,1,25,2.93203
2400,5106.11,25,12,13,1,25,2.4489
2450,6041.96,25,12,13,1,25,4.02158
2500,6626.8,25,12,13,1,25,4.38084
2550,6933.11,25,12,13,1,25,5.65452
2600,7227.88,25,12,13,1,25,5.45004
2650,7304.79,25,12,13,1,25,4.54239
2700,7244.32,25,12,13,1,25,5.70909
