identifier,lattice_size,nonzero_modes,mode_orbits,displacement_orbits,max_dx,max_dy,max_dz,pulse_cauchy_sum,gradient_weight_sum,pulse_operator_coefficient,maximum_orbit_coherence,common_step_coefficient,H9_r0,H9_r1,H9_r2,H9_r3,H9_r4,H9_r5,H9_r6,H9_r7,H9_r8,H9_r9,nine_source_bound,maximizing_removed_count,margin,maximum_orbit_invariance_residual,maximum_character_residual,valid,verdict
FTD-0592,9,728,34,34,4,4,4,1219.9274935722003,302.08481963217258,0.21340660233910125,0.36102817687951227,0.30397065730643719,0.91191197191931161,1.0731654545915568,1.1563229677731051,1.2296293171033019,1.2957140622574346,1.3539664636847819,1.4020020271480758,1.4345505542440724,1.4375912274277709,1.2624227824602459,1.4375912274277709,8,0.078794831724206871,1.7763568394002505e-15,2.8421709430404007e-14,true,ARBITRARY_REMOVAL_N_LE_9_CLOSED_BY_ORBIT_COHERENCE
FTD-0592,17,4912,164,164,0,0,1,8457.3787414375602,2042.0798786991397,0.21677610473116635,0.36250597734262191,0.30909222934825492,0.92727668804476471,1.091020950268041,1.1756267154216538,1.2502558145644771,1.3175581048375977,1.3769045273752747,1.425866895505508,1.4590844186151271,1.4622990285954853,1.2843033898481766,1.4622990285954853,8,0.054087030556492444,1.7763568394002505e-15,1.0658141036401503e-14,true,ARBITRARY_REMOVAL_N_LE_9_CLOSED_BY_ORBIT_COHERENCE
FTD-0592,33,35936,968,968,0,0,1,62792.856247811666,14943.611312224693,0.21844645449354122,0.36267617904631827,0.31182601851585356,0.93547805554756069,1.1004236234653892,1.1856395121951437,1.2608010614041074,1.3285749627641685,1.3883245789617402,1.4375994065510374,1.4709908248809893,1.4741144289304433,1.2944253804862866,1.4741144289304433,8,0.042271630221534462,4.5519144009631418e-15,1.7763568394002505e-14,true,ARBITRARY_REMOVAL_N_LE_9_CLOSED_BY_ORBIT_COHERENCE
FTD-0592,65,274624,6544,6544,0,0,1,483557.86777177796,114203.45027148063,0.21929447438975708,0.3627366279728112,0.31324294475519981,0.93972883426559939,1.1052793159707366,1.1907963419893157,1.2662186130411519,1.3342216064566785,1.3941647961490951,1.4435861330989059,1.4770522183956305,1.4801131737725799,1.299530936465854,1.4801131737725799,8,0.036272885379397879,1.5654144647214707e-14,2.1316282072803006e-14,true,ARBITRARY_REMOVAL_N_LE_9_CLOSED_BY_ORBIT_COHERENCE
