arm,actual_backend,L,tick,occupancy,signed_state,flux_x2,flux_y2,flux_z2,wave_x2,wave_y2,wave_z2,total_quadratic,centroid_x,displacement_x,width_x,divergence_normalized,j_dot_curl_normalized,best_shift,best_shift_overlap,right_moving_residual,wave_fraction_x,wave_fraction_y,wave_fraction_z,dispatched,toggles_valid,translating_clause,nontranslating_clause,projection_dominated_clause,execution_valid
dashboard,cpu,33,0,0,0,0,0,378.00630534543001,0,0,6.7139020897492534,384.72020743517925,8.2458177341996155,0,2.1593979902051474,0,0,0,1,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,1,0,0,3.0503803912986482e-31,9.3339414482300737e-33,341.34066949047411,0,0,6.0643774155113581,347.40504690598544,8.8128798322318218,0.56706209803220631,2.1611539134535422,0.10248286142218879,-6.650056016558721e-22,1,0.98978583427802713,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,2,0,0,0.26302084024192418,0.010696615269694438,312.5719965965319,5.8288012123605348e-32,3.8748943339355919e-33,8.0327436634092546,320.87845771545278,9.37265131836695,1.1268335841673345,2.1705766408697902,0.10399446647231088,-6.2864407796277761e-08,1,0.99921045133767072,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,3,0,0,0.95216759322692857,0.038164319219037554,280.36468354070939,0.011130207565646451,0.0016636678798402657,11.839995449792628,293.20780477839349,9.946423135309729,1.7006054011101135,2.1926336405525699,0.09228869364093327,-9.9890927040779108e-08,2,0.99515483085012457,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,4,0,0,2.0707580068588443,0.09630796694030222,248.39260294340528,0.065327343759589776,0.010683581169104252,12.835190669127771,263.4708705112609,10.550886602346184,2.3050688681465683,2.2368262540266626,0.086549788949821196,-1.4360074264451246e-07,2,0.99478128491196594,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,5,0,0,3.3699043140430667,0.18291431678051465,219.01267051672843,0.17788077951062381,0.031524500338143399,12.894205251223317,235.66909967862412,11.170264423434915,2.9244466892352996,2.3184999131933335,0.081436786625946431,-2.7165790040953015e-07,3,0.9997997982089375,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,6,0,0,4.6431829845319506,0.28665607362392592,194.54391172787206,0.34374197535308448,0.060048427992059214,12.899844454865905,212.77738564423896,11.772790180192352,3.5269724459927367,2.4509238064857093,0.076896549826853025,-4.744060750898987e-07,4,0.99089906513838999,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,7,0,0,5.6689614157263915,0.39299603632574015,175.19973221224848,0.54056010978678437,0.091793507312090378,12.495891062148923,194.38993434354842,12.342660041275936,4.0968423070763205,2.635192675236341,0.07394951340070996,-6.9553294823142384e-07,4,0.9964725278242953,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,8,0,0,6.4008374948876474,0.49842531701067522,160.38095538448272,0.74712112888471216,0.1235626750723768,12.254022382707326,180.40492438304545,12.851742481450671,4.6059247472510556,2.8806589985413336,0.070943810210425506,-8.8532410653438229e-07,5,0.99659357909550561,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,9,0,0,6.8817080283675969,0.60056034991243501,149.74076823402368,0.94125808676532385,0.15161611625026722,11.782855229691439,170.09876604501073,13.287189574797681,5.0413718405980656,3.1814194639862561,0.069071368953573339,-1.0724125631478721e-06,5,0.98257996849177331,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,10,0,0,7.1846294484343787,0.69644473433833831,142.33628036027514,1.1013144290132755,0.17452578277852834,11.260183700685543,162.75337845552519,13.644083505269917,5.3982657710703013,3.5196754097727152,0.06772495725393296,-1.2508786802531942e-06,6,0.9867211946925144,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,11,0,0,7.3803502052825856,0.78113827637120536,137.6473633003464,1.220806691389237,0.19022500173243748,10.868168460511237,158.08805193563313,13.914753365911199,5.6689356317115838,3.871019231340354,0.066430658764131276,-1.3391629622889517e-06,7,0.96949419522966418,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,12,0,0,7.5430496605403539,0.8492848501713145,135.06194613756108,1.3019175623822334,0.20014981000947413,10.379367004267648,155.33571502493209,14.113834418663087,5.8680166844634716,4.2055978520344484,0.065230413975872287,-1.3240877906950735e-06,7,0.95236446251253082,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,13,0,0,7.7335252442852394,0.89970639432004751,133.98821220000116,1.350722488085242,0.20722938032186877,10.004053711238059,154.18344941825163,14.247492923402033,6.0016751892024178,4.5077623333891044,0.063190403952585517,-1.2836379125149193e-06,8,0.92994470477159463,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,14,0,0,7.9899375184364319,0.93328613289961426,134.12435074537626,1.3734837733993333,0.21235710234722135,9.6372382074100926,154.27065347986897,14.33156453558045,6.085746801380834,4.7668865933670359,0.060923997981894545,-1.2759208464760035e-06,8,0.89097925557651325,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,15,0,0,8.3323955524852913,0.94956573949979883,134.97109581711013,1.3773307163661259,0.21609735849468023,9.2935103286612293,155.13999551261725,14.392439035199311,6.1466213009996959,4.9805240000212221,0.059143223055330291,-1.3096766673183462e-06,9,0.86359295275011183,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,16,0,0,8.772455512822539,0.9498854326415942,136.23591034768592,1.3694184498664494,0.21899550583654567,9.0415658031147466,156.5882310519678,14.450583346743263,6.2047656125436479,5.1525675241332234,0.057817917227604182,-1.3837733459954551e-06,10,0.81752992011865155,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,17,0,0,9.3074813990879903,0.93774575057195975,137.66541455635388,1.3539158904171611,0.22054266962050309,8.7434573659394808,158.22855763199098,14.536625914454877,6.2908081802552616,5.288212806086328,0.056651223212287445,-1.4808968793133574e-06,10,0.78614051567350651,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,18,0,0,9.920917273549092,0.91642930640522557,139.05344478490821,1.3378382967404987,0.22132522852452896,8.5105865747822751,159.96054146490985,14.666957997995718,6.4211402637961026,5.3954062836844301,0.055159029453271939,-1.5829299005623434e-06,11,0.74616674021508833,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,19,0,0,10.594076538180202,0.89079353463826061,140.39984968554359,1.3230375722331396,0.22133056553950081,8.2950193377101975,161.72410723384488,14.854603043909961,6.6087853097103455,5.4808597310578939,0.053560654209439597,-1.6634775927000239e-06,11,0.71467988974705221,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,20,0,0,11.307793092958089,0.86664484429948974,141.59408799810538,1.3097721307299952,0.22009019807476951,8.091478769673369,163.38986703384106,15.111908524527699,6.8660907903280837,5.5501902242397101,0.052074320500746465,-1.6831737091084415e-06,4,0.7098912388270151,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,21,0,0,12.05118525569293,0.85018214499958322,142.6278537486296,1.299589158321907,0.21821599878924194,7.9520548994451792,164.99908120587847,15.437635440842023,7.1918177066424072,5.6083785466300107,0.050748483443459252,-1.6075413787834068e-06,5,0.72770788845947121,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,22,0,0,12.819623726519428,0.84764012662132437,143.48006484489608,1.2894848538406389,0.21552692220851213,7.7762994509253032,166.42863992501128,15.833156903283815,7.5873391690841991,5.6569007195484131,0.049477538300701,-1.4365857673561796e-06,5,0.73812346201039947,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,23,0,0,13.608213884327613,0.86424146568912497,144.05724630574178,1.2800956063068953,0.21178936080880434,7.6270914819026459,167.64867810477688,16.288588784583176,8.0427710503835605,5.6984346841624456,0.047943197773594647,-1.2112247244571308e-06,6,0.75073869658012515,0.11982113486020295,0,0,1,1,0,0,0,0,0
dashboard,cpu,33,24,0,0,14.414516680955815,0.90407242102170615,144.33161970082972,1.2709645341258247,0.20727406212458735,7.4831865581878505,168.61163395724549,16.790422264590344,8.5446045303907283,5.7347382051526905,0.046238746112944609,-1.0037128833504883e-06,7,0.75528084358753167,0.11982113486020295,0,0,1,1,0,0,0,0,0
wave_only,cpu,33,0,0,0,0,0,378.00630534543001,0,0,6.7139020897492534,384.72020743517925,8.2458177341996155,0,2.1593979902051474,0,0,0,1,0.11982113486020295,0,0,1,1,1,1,0,0,1
wave_only,cpu,33,1,0,0,0,0,377.82467617608813,0,0,6.7255303038484762,384.55020647993661,8.8125622096031506,0.56674447540353512,2.1621822642199375,7.8220331388242863e-17,0,1,0.98978582382133817,0.11982113486020295,0,0,1,1,1,1,0,0,1
wave_only,cpu,33,2,0,0,0,0,377.3414981486186,0,0,6.7530522058575198,384.0945503544761,9.3820838422471287,1.1362661080475132,2.1676138886291092,1.4140325368324392e-16,0,1,0.99909112614588813,0.11982113486020295,0,0,1,1,1,1,0,0,1
wave_only,cpu,33,3,0,0,0,0,376.70481198805697,0,0,6.7998960470423864,383.50470803509938,9.9556341507403658,1.7098164165407503,2.1735475946695675,1.3582988044040675e-16,0,2,0.99535168586931466,0.11982113486020295,0,0,1,1,1,1,0,0,1
wave_only,cpu,33,4,0,0,0,0,376.11034950936812,0,0,6.8461806085410961,382.95653011790921,10.532716668509341,2.2868989343097255,2.1782628350326911,1.279561711802472e-16,0,2,0.99568486651914656,0.11982113486020295,0,0,1,1,1,1,0,0,1
wave_only,cpu,33,5,0,0,0,0,375.69567921778406,0,0,6.8684151180392252,382.56409433582331,11.111815602754609,2.8659978685549934,2.1798685681443146,1.3077073412720451e-16,0,3,0.99901363542404453,0.11982113486020295,0,0,1,1,1,1,0,0,1
wave_only,cpu,33,6,0,0,0,0,375.51246541082548,0,0,6.8725261120858807,382.38499152291138,11.690864594947321,3.4450468607477056,2.1793725522531897,1.3455254194551364e-16,0,3,0.9895763884324783,0.11982113486020295,0,0,1,1,1,1,0,0,1
wave_only,cpu,33,7,0,0,0,0,375.53722997744086,0,0,6.8566116757844151,382.39384165322525,12.268521653702656,4.0227039195030407,2.1779901838588502,1.5810859433537046e-16,0,4,0.99997535957594696,0.11982113486020295,0,0,1,1,1,1,0,0,1
wave_only,cpu,33,8,0,0,0,0,375.68724690129147,0,0,6.8340560354076141,382.5213029366991,12.844406294100921,4.5985885599013052,2.1765844361337705,1.5413622317093332e-16,0,5,0.99107070236122641,0.11982113486020295,0,0,1,1,1,1,0,0,1
wave_only,cpu,33,9,0,0,0,0,375.8836681267772,0,0,6.8170012152764805,382.70066934205369,13.418829048521179,5.1730113143215632,2.1765817527422437,1.8091257861732762e-16,0,5,0.99858135683733806,0.11982113486020295,0,0,1,1,1,1,0,0,1
wave_only,cpu,33,10,0,0,0,0,376.06495691589504,0,0,6.8038364396590492,382.86879335555409,13.992540483220269,5.7467227490206536,2.1774214133496543,1.92841369116267e-16,0,6,0.99622682331296131,0.11982113486020295,0,0,1,1,1,1,0,0,1
wave_only,cpu,33,11,0,0,0,0,376.19971759807009,0,0,6.8017224608944868,383.00144005896459,14.566141114883507,6.3203233806838917,2.1792122424671669,1.8828751304027568e-16,0,6,0.99496702832262252,0.11982113486020295,0,0,1,1,1,1,0,0,1
wave_only,cpu,33,12,0,0,0,0,376.29148035405967,0,0,6.8041754080401313,383.0956557620998,15.140022280749465,6.8942045465498492,2.1815494085007892,2.0318586298741488e-16,0,7,0.99921290795627726,0.11982113486020295,0,0,1,1,1,1,0,0,1
wave_only,cpu,33,13,0,0,0,0,376.35357943338158,0,0,6.809295755940151,383.16287518932171,15.714391352254909,7.4685736180552933,2.1836785549328095,2.0613451751451685e-16,0,7,0.9890865686645528,0.11982113486020295,0,0,1,1,1,1,0,0,1
wave_only,cpu,33,14,0,0,0,0,376.41886157197359,0,0,6.8200041485026368,383.23886572047621,16.2894339975972,8.0436162633975847,2.1864796121222994,2.105067348147911e-16,0,8,0.99994385341303527,0.11982113486020295,0,0,1,1,1,1,0,0,1
wave_only,cpu,33,15,0,0,0,0,376.53178722083021,0,0,6.8316142508896229,383.36340147171984,16.865489053616479,8.619671319416863,2.1895298089216624,2.1021056661449053e-16,0,9,0.99146055361671781,0.11982113486020295,0,0,1,1,1,1,0,0,1
wave_only,cpu,33,16,0,0,0,0,376.75114490196563,0,0,6.8501207541653066,383.60126565613092,17.443029710784824,9.1972119765852085,2.1931904499254093,2.2013466341578336e-16,0,9,0.99837261442285519,0.11982113486020295,0,0,1,1,1,1,0,0,1
wave_only,cpu,33,17,0,0,0,0,377.15936581736179,0,0,6.8713407478552577,384.03070656521703,18.022391027429947,9.7765732932303315,2.197201118743608,2.2677580062718783e-16,0,10,0.99658275091055171,0.11982113486020295,0,0,1,1,1,1,0,0,1
wave_only,cpu,33,18,0,0,0,0,377.83187199024275,0,0,6.8875278493623942,384.71939983960516,18.603235552130453,10.357417817930838,2.1999896954223281,2.276979206187264e-16,0,10,0.9943102906181509,0.11982113486020295,0,0,1,1,1,1,0,0,1
wave_only,cpu,33,19,0,0,0,0,378.81463425766867,0,0,6.8927680395843884,385.70740229725305,19.184332748112251,10.938515013912635,2.2009939002528411,2.4860148602923359e-16,0,11,0.99945872978307282,0.11982113486020295,0,0,1,1,1,1,0,0,1
wave_only,cpu,33,20,0,0,0,0,380.08391331593964,0,0,6.8749187292615339,386.95883204520118,19.763759763723133,11.517942029523518,2.1996527373620967,2.5423264015101747e-16,0,11,0.98725599879384218,0.11982113486020295,0,0,1,1,1,1,0,0,1
wave_only,cpu,33,21,0,0,0,0,381.53078361151216,0,0,6.8401574880602292,388.37094109957241,20.340009276471108,12.094191542271492,2.1974278254772606,2.6141552722386583e-16,0,12,0.99971392371590018,0.11982113486020295,0,0,1,1,1,1,0,0,1
wave_only,cpu,33,22,0,0,0,0,383.00561801630425,0,0,6.8015019555060547,389.80711997181032,20.913040835766999,12.667223101567384,2.1965975231300923,2.6203959889867197e-16,0,13,0.99284576069402664,0.11982113486020295,0,0,1,1,1,1,0,0,1
