arm,actual_backend,L,tick,occupancy,signed_state,flux_x2,flux_y2,flux_z2,wave_x2,wave_y2,wave_z2,total_quadratic,centroid_x,displacement_x,width_x,divergence_normalized,j_dot_curl_normalized,best_shift,best_shift_overlap,right_moving_residual,wave_fraction_x,wave_fraction_y,wave_fraction_z,dispatched,toggles_valid,translating_clause,nontranslating_clause,projection_dominated_clause,execution_valid
dashboard,cpu,33,0,0,0,0,0,157.02453196968241,157.02453196968241,0,0,314.04906393936483,8,0,2.120340095656271,0.22930403748516204,0,0,1,1,1,0,0,1,1,0,0,0,1
dashboard,cpu,33,1,0,0,97.613619872251505,16.036596169940179,91.346365550683586,157.0047388059908,0,0.75829931404644646,362.75961971291247,8.038178563077393,0.03817856307739298,2.8383351202709561,0.056752094816422433,-5.0543348255227387e-11,0,0.99416904303299325,1,1,0,0,1,1,0,0,0,1
dashboard,cpu,33,2,0,0,333.35284168784329,40.25858418423293,96.630197046759861,145.89345142307945,0.12631780879398657,2.084111676077923,618.34550382678731,8.0994210384952545,0.099421038495254521,3.6307793453889809,0.052035519364776683,-3.6271075049078403e-09,0,0.97146482803922851,1,1,0,0,1,1,0,0,0,1
dashboard,cpu,33,3,0,0,660.39474713671746,75.364026010014655,116.69125846640915,127.21089480985322,0.71189823427530818,3.9411328306731099,984.31395748794296,8.1643470014375694,0.16434700143756942,4.1422325769334289,0.048649698007261079,2.4517706860049769e-07,0,0.9450714447603602,1,1,0,0,1,1,0,0,0,1
dashboard,cpu,33,4,0,0,1020.5584718335201,111.03391911145262,141.3934892707496,106.26230573508437,2.213428437701868,6.4248648853789758,1387.8864792738875,8.2294375994835942,0.22943759948359421,4.4521865580681235,0.047208013492628077,3.4647915971686742e-07,0,0.92470821681181836,1,1,0,0,1,1,0,0,0,1
dashboard,cpu,33,5,0,0,1347.3416483278686,143.18791571928398,165.67505663633099,87.580603688919112,4.8487238577235292,9.3862484273253557,1758.0201966574518,8.3126839087480295,0.31268390874802954,4.6804858583635038,0.046967606633074144,3.0046734128773638e-07,0,0.90565701632660878,1,1,0,0,1,1,0,0,0,1
dashboard,cpu,33,6,0,0,1597.8061899172374,165.35067674811216,185.02719796972201,74.059400044187043,8.7488847152672946,12.953417122368739,2043.9457665168945,8.4204318148567854,0.42043181485678538,4.8921775703137387,0.047366120332258711,2.3385070485530688e-07,0,0.88709391955874295,1,1,0,0,1,1,0,0,0,1
dashboard,cpu,33,7,0,0,1753.9182557755476,174.8798441573893,195.36946063042842,66.441953654654995,13.785806537577143,17.366137326124118,2221.7614580817221,8.5636469829343689,0.56364698293436888,5.1213476291143163,0.048326472196926026,1.5281979045299229e-07,0,0.86774060452077229,1,1,0,0,1,1,0,0,0,1
dashboard,cpu,33,8,0,0,1820.2252459423091,171.76302315952438,194.68528445946109,63.796730889980282,19.519859041134524,22.381582272466254,2292.3717257648759,8.7513754579814051,0.75137545798140515,5.3815610260223563,0.049775475626038033,4.6046903876558101e-08,0,0.84719995960987549,1,1,0,0,1,1,0,0,0,1
dashboard,cpu,33,9,0,0,1814.0889672479173,158.66504493479226,184.07771820198724,64.350793505799544,25.390968784247832,27.734308840052467,2274.3078015147971,8.9910568102970867,0.9910568102970867,5.6727757620422272,0.051497374664906941,-4.224481757681109e-08,0,0.82489404613561312,1,1,0,0,1,1,0,0,0,1
dashboard,cpu,33,10,0,0,1758.5414729646691,139.46445824082272,166.65845022800249,66.620425859578759,30.740118658412385,32.831653179376872,2194.8565791308629,9.2829298171156989,1.2829298171156989,5.9833083582885296,0.053320415107666802,-1.3639481113973337e-08,1,0.80666236158400972,1,1,0,0,1,1,0,0,0,1
dashboard,cpu,33,11,0,0,1675.3146014777469,118.22218554136747,146.49475794774614,69.691366069134119,35.028875866981572,37.012421718921139,2081.7642086218975,9.6159503741713568,1.6159503741713568,6.2934126745723189,0.054963374921004358,1.6443849126551191e-07,1,0.78672495552178634,1,1,0,0,1,1,0,0,0,1
dashboard,cpu,33,12,0,0,1581.095695492023,98.538972915157728,127.67412284391909,73.360705744743342,37.942995994294542,39.955684642058699,1958.5681776321965,9.9656469211212091,1.9656469211212091,6.5834202070092847,0.056283422677318992,3.5047366426822181e-07,2,0.76692974203678155,1,1,0,0,1,1,0,0,0,1
