arm,actual_backend,L,tick,occupancy,signed_state,flux_x2,flux_y2,flux_z2,wave_x2,wave_y2,wave_z2,total_quadratic,centroid_x,displacement_x,width_x,divergence_normalized,j_dot_curl_normalized,best_shift,best_shift_overlap,right_moving_residual,wave_fraction_x,wave_fraction_y,wave_fraction_z,dispatched,toggles_valid,translating_clause,nontranslating_clause,projection_dominated_clause,execution_valid
dashboard,cpu,33,0,0,0,0,0,157.02453196968241,157.02453196968241,0,0,314.04906393936483,8,0,2.120340095656271,0.22930403748516204,0,0,1,1,1,0,0,1,0,0,1,0,0
dashboard,cpu,33,1,0,0,99.094895041204296,16.386951742877976,91.733431620202623,157.02453196968241,0,0.76052392357817655,365.00033429754546,8.001151360169299,0.0011513601692989539,2.9044591645423088,0.040245048284027446,-3.1394999817755741e-18,0,0.99403581408095254,1,1,0,0,1,0,0,1,0,0
dashboard,cpu,33,2,0,0,342.87205775339771,41.105267389093207,98.673903123810788,145.93387121793799,0.1042856623034646,2.0664607275744427,630.75584587411754,8.0012015134928003,0.001201513492800288,3.7511865430788687,0.019617899659993897,5.468454545336748e-18,0,0.97073967293676433,1,1,0,0,1,0,0,1,0,0
dashboard,cpu,33,3,0,0,691.48823749663131,76.924522718921921,120.85555042100908,126.93164698027425,0.53460618451643582,3.7162148634127394,1020.4507786647657,8.0008580863995924,0.00085808639959239486,4.3108501628671396,0.0089752638892033314,-3.7684807779117101e-18,0,0.94297867515716072,1,1,0,0,1,0,0,1,0,0
dashboard,cpu,33,4,0,0,1093.7977964111763,113.47452192660472,147.63422103409246,105.18352260099671,1.6763413560494451,5.73030415674212,1467.4967074856615,8.0000228599041243,2.2859904124317154e-05,4.6640803594507272,0.0059361174191131091,-1.2369314045345277e-18,0,0.92104221728686742,1,1,0,0,1,0,0,1,0,0
dashboard,cpu,33,5,0,0,1488.0283373622976,147.57459052661724,174.54012521222595,85.245124854038252,3.7294488676480353,8.0672087943437631,1907.1848356171708,7.9997437472108039,-0.00025625278919605421,4.9389233128467556,0.0047170644199968055,1.2648796807974055e-17,0,0.89935619089864172,1,1,0,0,1,0,0,1,0,0
dashboard,cpu,33,6,0,0,1833.426986566966,173.28341134488602,198.29258757378545,70.023517804340372,6.7260180283085642,10.775824286027792,2292.5283456043144,7.9992212132836009,-0.00077878671639908248,5.1973418345324705,0.0035970323133103967,2.9266836445835564e-18,0,0.87710228811911084,1,1,0,0,1,0,0,1,0,0
dashboard,cpu,33,7,0,0,2111.4412928990032,188.56165978469392,215.3093099844063,60.269731930645769,10.419300480211138,13.913271764060578,2599.9145668430206,7.9994304743920237,-0.00056952560797629559,5.472233064017276,0.0032617110540184391,-5.3758772632079543e-18,0,0.85288519360125303,1,1,0,0,1,0,0,1,0,0
dashboard,cpu,33,8,0,0,2323.4651773061746,193.36634731493379,223.5259501545774,55.073587127593619,14.349942121614284,17.169062217927856,2826.9500662428218,7.9999679007243394,-3.2099275660613102e-05,5.7750995343998159,0.0032225697543002084,1.187226487439604e-17,0,0.82683927431957638,1,1,0,0,1,0,0,1,0,0
dashboard,cpu,33,9,0,0,2481.6050433118635,189.61557202368471,223.35033528144595,52.744150420207923,18.080223801191256,20.354645164024344,2985.7499700024177,8.0005154579178956,0.00051545791789564532,6.1010507648749472,0.0026921310953439497,-1.638209621406341e-17,0,0.79930094680236052,1,1,0,0,1,0,0,1,0,0
dashboard,cpu,33,10,0,0,2602.6290196455157,179.66733294936427,216.22268027546082,51.89129439378965,21.217809070176934,23.157208059117416,3094.7853443934246,8.0005980508580752,0.0005980508580751831,6.4349388428368606,0.0027205288188188238,-4.6781914579209835e-18,0,0.77139939715428574,1,1,0,0,1,0,0,1,0,0
