k,lambda,delta_eig,tier_eig
0,265.82,-4.05431,relevant
1,123.978,-2.95394,relevant
2,38.5477,-1.26857,relevant
3,-24.9291,nan,n/a
4,-112.474,nan,n/a
5,null,null,n/a
